NB_BENEFICIAIRES,ANNEE,COMMUNE
493,2010,Commune Ludon Médoc
710,2010,Commune Belin Beliet
32,2010,Commune Mouillac
402,2010,Commune Le Verdon sur Mer
23,2010,Commune Martres
763,2010,Commune Vendays Montalivet
269,2010,Commune Preignac
140,2010,Commune Eynesse
153,2010,Commune Cénac
45,2010,Commune Cauvignac
1734,2010,Commune Langon
47,2010,Commune Fosses et Baleyssac
101,2010,Commune Ste Radegonde
145,2010,Commune Gajac
464,2010,Commune Latresne
36,2010,Commune Birac
230,2010,Commune Caudrot
535,2010,Commune Toulenne
288,2010,Commune Sablons
1126,2010,Commune Audenge 
612,2010,Commune Sauveterre de Guyenne
125,2010,Commune St Pierre de Mons
567,2010,Commune Galgon
390,2010,Commune Montagne
1180,2010,Commune St Denis de Pile
146,2010,Commune Virelade
125,2010,Commune Haux
3837,2010,Commune Talence
270,2010,Commune Pellegrue
65,2010,Commune Cursan
276,2010,Commune Villandraut
37,2010,Commune St Pierre de Bat
343,2010,Commune Landiras
852,2010,Commune St Laurent du Médoc
2902,2010,Commune Andernos les Bains
375,2010,Commune Ste Hélène
24,2010,Commune St Martin de Lerm
128,2010,Commune Cars
315,2010,Commune Vensac
62,2010,Commune St Germain de la Rivière
59,2010,Commune Labarde
69,2010,Commune Tizac de Curton
201,2010,Commune Hure
321,2010,Commune Cézac
46,2010,Commune St Androny
226,2010,Commune Fargues St Hilaire
737,2010,Commune Captieux
58,2010,Commune Gabarnac
1201,2010,Commune Lège Cap Ferret
51,2010,Commune St Laurent des Combes 
167,2010,Commune St Ciers de Canesse
442,2010,Commune Carcans
5319,2010,Commune Libourne
163,2010,Commune Salaunes
70,2010,Commune Croignon
74,2010,Commune Pomerol
591,2010,Commune Abzac
1741,2010,Commune Biganos 
24574,2010,Commune Bordeaux
120,2010,Commune St Laurent du Bois
314,2010,Commune St Ciers d Abzac
63,2010,Commune Brannens
114,2010,Commune Lerm et Musset
67,2010,Commune St Quentin de Baron
1214,2010,Commune Lesparre Médoc
197,2010,Commune Coimères
48,2010,Commune Les Salles de castillon
291,2010,Commune Auros
117,2010,Commune Saucats
300,2010,Commune Bouliac
47,2010,Commune Naujan et Postiac
63,2010,Commune Ladaux
127,2010,Commune Pujols sur Ciron
199,2010,Commune Rions
407,2010,Commune Barsac
149,2010,Commune St Christophe des Bardes
60,2010,Commune Masseilles
277,2010,Commune St Louis de Montferrand
26,2010,Commune St Léon
371,2010,Commune Etauliers
53,2010,Commune Pleine Selve
369,2010,Commune Rauzan
21,2010,Commune Auriolles
483,2010,Commune St Emilion
82,2010,Commune St Vivien de Monségur
94,2010,Commune Le Nizan
142,2010,Commune Pessac sur Dordogne
61,2010,Commune Balizac
298,2010,Commune Canéjan
330,2010,Commune Listrac Médoc
3323,2010,Commune Gujan Mestras
133,2010,Commune Cadillac en Fronsadais
179,2010,Commune Lignan de Bordeaux
53,2010,Commune Cardan
184,2010,Commune St Magne
366,2010,Commune Jau Dignac et Loirac
37,2010,Commune Ste Gemme
661,2010,Commune Cadaujac
79,2010,Commune Lugaignac
890,2010,Commune Soulac sur Mer
134,2010,Commune Sigalens
33,2010,Commune Semens
160,2010,Commune Illats
133,2010,Commune St Seurin de Cursac
1779,2010,Commune Bruges
254,2010,Commune St Mariens
410,2010,Commune Carignan de Bordeaux
43,2010,Commune Lartigue
28,2010,Commune Jugazan
12,2010,Commune Ste Florence
103,2010,Commune St Vincent de Pertignas
146,2010,Commune Le Fieu
181,2010,Commune Leogeats
1664,2010,Commune Blanquefort
259,2010,Commune Laruscade
1235,2010,Commune Carbon Blanc
51,2010,Commune St Pardon de Conques
149,2010,Commune Loupiac
194,2010,Commune Naujac sur Mer
137,2010,Commune Mazères
288,2010,Commune Quinsac
95,2010,Commune Generac
187,2010,Commune Tauriac
170,2010,Commune Les Lèves et Thoumeyragues
2099,2010,Commune Eysines
92,2010,Commune Baurech
93,2010,Commune St Genès de Castillon
315,2010,Commune Fargues de Langon
13,2010,Commune St Germain de Grave
379,2010,Commune Cérons
153,2010,Commune Lalande de Pomerol
168,2010,Commune Lapouyade
66,2010,Commune Villenave de Rions
120,2010,Commune Villeneuve
44,2010,Commune Blesignac
412,2010,Commune St Vivien de Médoc
528,2010,Commune Artigues près Bordeaux
395,2010,Commune Marcheprime 
104,2010,Commune St Genès de Blaye
52,2010,Commune Isle St Georges
34,2010,Commune Cours les Bains
431,2010,Commune Braud et St Louis
95,2010,Commune St Paul
212,2010,Commune Fontet
190,2010,Commune Anglade
79,2010,Commune Mazion
119,2010,Commune Faleyras
8,2010,Commune Madirac
677,2010,Commune Castelnau du Médoc
156,2010,Commune St Laurent d Arce
37,2010,Commune Prignac en Médoc
118,2010,Commune Bommes
56,2010,Commune St Michel de Lapujade
251,2010,Commune St Gervais
269,2010,Commune St Aubin de Blaye
188,2010,Commune St Sauveur
886,2010,Commune Le Haillan
110,2010,Commune St Yzans de Médoc
40,2010,Commune St Léger de Balson
9506,2010,Commune Mérignac
16,2010,Commune Blaignan
737,2010,Commune Lacanau
40,2010,Commune Mérignas
25,2010,Commune St Hilaire du Bois
12,2010,Commune Bossugan
42,2010,Commune Blaignac
167,2010,Commune Gours
93,2010,Commune Cartelègue
42,2010,Commune St Martin du Puy
138,2010,Commune Le Tourne
154,2010,Commune Nérigean
12,2010,Commune Coutures
50,2010,Commune Arbis
670,2010,Commune Ste Eulalie
61,2010,Commune Fours
79,2010,Commune Massugas
379,2010,Commune St Caprais de Bordeaux
1457,2010,Commune Lanton 
36,2010,Commune Camiac et St Denis
159,2010,Commune Pompignac
356,2010,Commune Lagorce
181,2010,Commune Plassac
65,2010,Commune St André et Appelles
254,2010,Commune St Médard d Eyrans
61,2010,Commune Caplong
155,2010,Commune St Seurin de Cadourne
NC,2010,Commune St Avit de Soulège
42,2010,Commune Neuffons
54,2010,Commune Daignac
61,2010,Commune St Caprais de Blaye
48,2010,Commune Aubiac
267,2010,Commune Les Artigues de Lussac
216,2010,Commune Begadan
188,2010,Commune Gauriac
123,2010,Commune St Morillon
358,2010,Commune Vayres
162,2010,Commune Bayas
49,2010,Commune Rimons
200,2010,Commune Vertheuil
45,2010,Commune Dardenac
44,2010,Commune St Vivien de Blaye
1499,2010,Commune Cestas
63,2010,Commune Cabara
662,2010,Commune St Seurin sur l'Isle
166,2010,Commune Roaillan
420,2010,Commune St Savin
82,2010,Commune Soulignac
80,2010,Commune Lavazan
63,2010,Commune St Pey d Armens
51,2010,Commune Bellefond
39,2010,Commune St Sauveur de Puynormand
30,2010,Commune Daubeze
147,2010,Commune St Christoly Médoc
353,2010,Commune Reignac
69,2010,Commune Gans
