ANNEE,COMMUNE,NB_PRESTATATION_STOCK,NB_PRESTATATION_FLUX
2010,Commune Ludon Médoc,NC,NC
2010,Commune Belin Beliet,NC,7
2010,Commune Bassens,13,13
2010,Commune Le Verdon sur Mer,NC,NC
2010,Commune Vendays Montalivet,NC,NC
2010,Commune Ambarès et Lagrave,12,14
2010,Commune Preignac,NC,NC
2010,Commune Cénac,NC,NC
2010,Commune Langon,14,15
2010,Commune Mongauzy,NC,NC
2010,Commune St Ciers sur Gironde,NC,6
2010,Commune Le Pian Médoc,11,11
2010,Commune Beguey,NC,NC
2010,Commune Castres Gironde,NC,NC
2010,Commune Latresne,7,9
2010,Commune St Selve,NC,NC
2010,Commune Caudrot,NC,NC
2010,Commune Sablons,NC,NC
2010,Commune Toulenne,NC,NC
2010,Commune Guillos,NC,NC
2010,Commune Cubzac les Ponts,NC,NC
2010,Commune Audenge ,6,7
2010,Commune St Brice,9,9
2010,Commune Sauveterre de Guyenne,NC,NC
2010,Commune Verac,NC,NC
2010,Commune St Pierre de Mons,NC,NC
2010,Commune La Rivière,NC,NC
2010,Commune Grezillac,NC,NC
2010,Commune Galgon,10,12
2010,Commune St Sulpice de Faleyrens,NC,NC
2010,Commune Montagne,6,6
2010,Commune Aillas,NC,NC
2010,Commune St Julien Beychevelle ,NC,NC
2010,Commune Monprimblanc,NC,NC
2010,Commune St Denis de Pile,14,14
2010,Commune Haux,NC,NC
2010,Commune Talence,44,47
2010,Commune La Lande de Fronsac,NC,NC
2010,Commune Lussac,NC,NC
2010,Commune Pellegrue,NC,NC
2010,Commune Castets en Dorthe,NC,NC
2010,Commune St Antoine sur l Isle,NC,NC
2010,Commune Villandraut,NC,NC
2010,Commune Lugon et l Ile du Carney,NC,NC
2010,Commune Juillac,NC,NC
2010,Commune Ayguemorte les Graves,NC,NC
2010,Commune Aubie et Espessas,NC,NC
2010,Commune Maransin,NC,NC
2010,Commune St Laurent du Médoc,10,10
2010,Commune Andernos les Bains,17,19
2010,Commune Listrac de Dureze,NC,NC
2010,Commune Ste Hélène,NC,NC
2010,Commune Créon,NC,NC
2010,Commune Morizès,NC,NC
2010,Commune Cars,NC,NC
2010,Commune Vensac,NC,NC
2010,Commune Capian,NC,NC
2010,Commune Arveyres,NC,NC
2010,Commune St Germain de la Rivière,NC,NC
2010,Commune St Michel de Rieufret,NC,NC
2010,Commune Blasimon,NC,NC
2010,Commune Frontenac,NC,NC
2010,Commune Cazats,NC,NC
