ANNEE,CANTON,NB_BENEFICIAIRES
2010,Canton Arcachon,142710
2010,Canton Audenge,922590
2010,Canton Auros,102510
2010,Canton Bazas,215070
2010,Canton Belin-Beliet,271350
2010,Canton Blanquefort,902490
2010,Canton Blaye,365820
2010,Canton Bordeaux 1,958770
2010,Canton Bordeaux 2,582900
2010,Canton Bordeaux 3,663300
2010,Canton Bordeaux 4,711540
2010,Canton Bordeaux 5,510540
2010,Canton Bordeaux 6,681390
2010,Canton Bordeaux 7,432150
2010,Canton Bordeaux 8,659280
2010,Canton Bourg sur Gironde,283410
2010,Canton Branne,237180
2010,Canton Bègles,375870
2010,Canton Cadillac,283410
2010,Canton Captieux,52260
2010,Canton Carbon Blanc,663300
2010,Canton Castelnau du Médoc,584910
2010,Canton Castillon la Bataille,277380
2010,Canton Cenon,631140
2010,Canton Coutras,512550
2010,Canton Créon,709530
2010,Canton Floirac,414060
2010,Canton Fronsac,255270
2010,Canton Gradignan,647220
2010,Canton Grignols,72360
2010,Canton Guîtres,349740
2010,Canton La Brède,530640
2010,Canton La Réole,339690
2010,Canton La Teste de Buch,641190
2010,Canton Langon,391950
2010,Canton Le Bouscat,492450
2010,Canton Lesparre Médoc,333660
2010,Canton Libourne,699480
2010,Canton Lormont,619080
2010,Canton Lussac,152760
2010,Canton Monségur,148740
2010,Canton Mérignac 1,886410
2010,Canton Mérignac 2,804000
2010,Canton Pauillac,379890
2010,Canton Pellegrue,46230
2010,Canton Pessac 1,617070
2010,Canton Pessac 2,651240
2010,Canton Podensac,357780
2010,Canton Pujols,158790
2010,Canton Sauveterre de Guyenne,205020
2010,Canton St André de Cubzac,355770
2010,Canton St Ciers sur Gironde,303510
2010,Canton St Laurent du Médoc,174870
2010,Canton St Macaire,247230
2010,Canton St Médard en Jalles,775860
2010,Canton St Savin,532650
2010,Canton St Symphorien,98490
2010,Canton St Vivien du Médoc,176880
2010,Canton Ste Foy la Grande,275370
2010,Canton Talence,498480
2010,Canton Targon,138690
2010,Canton Villandraut,108540
2010,Canton Villenave d'Ornon,375870
2011,Canton Arcachon,146803
2011,Canton Audenge,1007511
2011,Canton Auros,110605
2011,Canton Bazas,207133
2011,Canton Belin-Beliet,303661
2011,Canton Blanquefort,971313
2011,Canton Blaye,394156
2011,Canton Bordeaux 1,975335
2011,Canton Bordeaux 2,641509
2011,Canton Bordeaux 3,719938
2011,Canton Bordeaux 4,776246
2011,Canton Bordeaux 5,542970
2011,Canton Bordeaux 6,796356
2011,Canton Bordeaux 7,466552
2011,Canton Bordeaux 8,732004
2011,Canton Bourg sur Gironde,297628
2011,Canton Branne,267463
2011,Canton Bègles,390134
2011,Canton Cadillac,303661
2011,Canton Captieux,58319
2011,Canton Carbon Blanc,691784
2011,Canton Castelnau du Médoc,661619
2011,Canton Castillon la Bataille,301650
2011,Canton Cenon,669663
2011,Canton Coutras,528893
2011,Canton Créon,770213
2011,Canton Floirac,432365
2011,Canton Fronsac,271485
2011,Canton Gradignan,695806
2011,Canton Grignols,78429
2011,Canton Guîtres,378068
2011,Canton La Brède,599278
2011,Canton La Réole,349914
2011,Canton La Teste de Buch,695806
2011,Canton Langon,430354
2011,Canton Le Bouscat,500739
2011,Canton Lesparre Médoc,355947
2011,Canton Libourne,721949
2011,Canton Lormont,643520
2011,Canton Lussac,168924
2011,Canton Monségur,140770
2011,Canton Mérignac 1,1005500
2011,Canton Mérignac 2,866741
2011,Canton Pauillac,412255
2011,Canton Pellegrue,48264
2011,Canton Pessac 1,717927
2011,Canton Pessac 2,750103
2011,Canton Podensac,418288
2011,Canton Pujols,160880
2011,Canton Sauveterre de Guyenne,213166
2011,Canton St André de Cubzac,398178
2011,Canton St Ciers sur Gironde,353936
2011,Canton St Laurent du Médoc,201100
2011,Canton St Macaire,269474
2011,Canton St Médard en Jalles,804400
2011,Canton St Savin,597267
2011,Canton St Symphorien,114627
2011,Canton St Vivien du Médoc,205122
2011,Canton Ste Foy la Grande,301650
2011,Canton Talence,494706
2011,Canton Targon,150825
2011,Canton Villandraut,120660
2011,Canton Villenave d'Ornon,380079
2012,Canton Arcachon,154924
2012,Canton Audenge,1048252
2012,Canton Auros,120720
2012,Canton Bazas,215284
2012,Canton Belin-Beliet,329968
2012,Canton Blanquefort,985880
2012,Canton Blaye,400388
2012,Canton Bordeaux 1,1052276
2012,Canton Bordeaux 2,714260
2012,Canton Bordeaux 3,748464
2012,Canton Bordeaux 4,841016
2012,Canton Bordeaux 5,583480
2012,Canton Bordeaux 6,861136
2012,Canton Bordeaux 7,478856
2012,Canton Bordeaux 8,758524
2012,Canton Bourg sur Gironde,342040
2012,Canton Branne,267596
2012,Canton Bègles,408436
2012,Canton Cadillac,340028
2012,Canton Captieux,56336
2012,Canton Carbon Blanc,694140
2012,Canton Castelnau du Médoc,686092
2012,Canton Castillon la Bataille,313872
2012,Canton Cenon,700176
2012,Canton Coutras,553300
2012,Canton Créon,792728
2012,Canton Floirac,442640
2012,Canton Fronsac,287716
2012,Canton Gradignan,694140
2012,Canton Grignols,82492
2012,Canton Guîtres,400388
2012,Canton La Brède,637804
2012,Canton La Réole,340028
2012,Canton La Teste de Buch,704200
2012,Canton Langon,452700
2012,Canton Le Bouscat,539216
2012,Canton Lesparre Médoc,404412
2012,Canton Libourne,736392
2012,Canton Lormont,637804
2012,Canton Lussac,173032
2012,Canton Monségur,138828
2012,Canton Mérignac 1,1064348
2012,Canton Mérignac 2,885280
2012,Canton Pauillac,444652
2012,Canton Pellegrue,50300
2012,Canton Pessac 1,708224
2012,Canton Pessac 2,792728
2012,Canton Podensac,424532
2012,Canton Pujols,162972
2012,Canton Sauveterre de Guyenne,229368
2012,Canton St André de Cubzac,440628
2012,Canton St Ciers sur Gironde,394352
2012,Canton St Laurent du Médoc,201200
2012,Canton St Macaire,261560
2012,Canton St Médard en Jalles,820896
2012,Canton St Savin,597564
2012,Canton St Symphorien,118708
2012,Canton St Vivien du Médoc,203212
2012,Canton Ste Foy la Grande,315884
2012,Canton Talence,496964
2012,Canton Targon,164984
2012,Canton Villandraut,114684
2012,Canton Villenave d'Ornon,382280
