ANNEE,COMMUNE,NB_BENEFICIAIRES
2010,Commune Abzac,24
2010,Commune Aillas,8
2010,Commune Ambarès et Lagrave,143
2010,Commune Ambès,42
2010,Commune Andernos les Bains,87
2010,Commune Anglade,9
2010,Commune Arbanats,6
2010,Commune Arbis,NC
2010,Commune Arcachon,74
2010,Commune Arcins,NC
2010,Commune Arsac,28
2010,Commune Artigues près Bordeaux,70
2010,Commune Arveyres,15
2010,Commune Arès,38
2010,Commune Asques,NC
2010,Commune Aubiac,NC
2010,Commune Aubie et Espessas,13
2010,Commune Audenge ,44
2010,Commune Auros,6
2010,Commune Avensan,23
2010,Commune Ayguemorte les Graves,8
2010,Commune Bagas,NC
2010,Commune Baigneaux,6
2010,Commune Balizac,NC
2010,Commune Barie,NC
2010,Commune Baron,7
2010,Commune Barsac,27
2010,Commune Bassanne,NC
2010,Commune Bassens,76
2010,Commune Baurech,6
2010,Commune Bayas,NC
2010,Commune Bayon sur Gironde,10
2010,Commune Bazas,42
2010,Commune Beautiran,19
2010,Commune Begadan,9
2010,Commune Beguey,17
2010,Commune Belin Beliet,44
2010,Commune Bellebat,NC
2010,Commune Bellefond,NC
2010,Commune Belvès de Castillon,NC
2010,Commune Bernos Beaulac,18
2010,Commune Berson,11
2010,Commune Berthez,NC
2010,Commune Beychac et Caillau,8
2010,Commune Bieujac,NC
2010,Commune Biganos ,93
2010,Commune Birac,NC
2010,Commune Blaignac,NC
2010,Commune Blanquefort,177
2010,Commune Blasimon,17
2010,Commune Blaye,89
2010,Commune Blesignac,NC
2010,Commune Bommes,7
2010,Commune Bonnetan,NC
2010,Commune Bonzac,NC
2010,Commune Bordeaux,2441
2010,Commune Bouliac,19
2010,Commune Bourg sur Gironde,29
2010,Commune Bourideys,NC
2010,Commune Brach,7
2010,Commune Branne,16
2010,Commune Brannens,NC
2010,Commune Braud et St Louis,18
2010,Commune Brouqueyran,NC
2010,Commune Bruges,124
2010,Commune Budos,7
2010,Commune Bègles,291
2010,Commune Cabanac et Villagrains,18
2010,Commune Cabara,NC
2010,Commune Cadarsac,NC
2010,Commune Cadaujac,41
2010,Commune Cadillac,59
2010,Commune Cadillac en Fronsadais,7
2010,Commune Camarsac,10
2010,Commune Cambes,7
2010,Commune Camblanes et Meynac,23
2010,Commune Camiac et St Denis,NC
2010,Commune Camiran,NC
2010,Commune Camps sur l Isle,6
2010,Commune Campugnan,10
2010,Commune Cantenac,10
2010,Commune Canéjan,47
2010,Commune Capian,NC
2010,Commune Caplong,NC
2010,Commune Captieux,19
2010,Commune Carbon Blanc,91
2010,Commune Carcans,15
2010,Commune Cardan,NC
2010,Commune Carignan de Bordeaux,27
2010,Commune Cars,14
2010,Commune Cartelègue,12
2010,Commune Casseuil,8
2010,Commune Castelmoron d Albret,NC
2010,Commune Castelnau du Médoc,43
2010,Commune Castets en Dorthe,9
2010,Commune Castillon de Castets,NC
2010,Commune Castillon la Bataille,54
2010,Commune Castres Gironde,11
2010,Commune Caudrot,12
2010,Commune Caumont,NC
2010,Commune Cavignac,22
2010,Commune Cazalis,NC
2010,Commune Cazats,NC
2010,Commune Cazaugitat,NC
2010,Commune Cenon,333
2010,Commune Cessac,NC
2010,Commune Cestas,151
2010,Commune Chamadelle,NC
2010,Commune Cissac Médoc,26
2010,Commune Civrac de Blaye,8
2010,Commune Civrac de Dordogne,NC
2010,Commune Civrac en Médoc,NC
2010,Commune Cleyrac,NC
2010,Commune Coimères,14
2010,Commune Coirac,NC
2010,Commune Comps,6
2010,Commune Couqueques,NC
2010,Commune Cours les Bains,NC
2010,Commune Coutras,100
2010,Commune Croignon,NC
2010,Commune Créon,39
2010,Commune Cubnezais,17
2010,Commune Cubzac les Ponts,17
2010,Commune Cudos,6
2010,Commune Cursan,NC
2010,Commune Cussac Fort Médoc,21
2010,Commune Cénac,18
2010,Commune Cérons,21
2010,Commune Cézac,22
2010,Commune Daignac,NC
2010,Commune Dardenac,NC
2010,Commune Daubeze,NC
2010,Commune Dieulivol,NC
2010,Commune Donnezac,11
2010,Commune Donzac,NC
2010,Commune Doulezon,NC
2010,Commune Escaudes,NC
2010,Commune Escoussans,NC
2010,Commune Espiet,NC
2010,Commune Etauliers,25
2010,Commune Eynesse,NC
2010,Commune Eyrans,7
2010,Commune Eysines,217
2010,Commune Faleyras,NC
2010,Commune Fargues St Hilaire,20
2010,Commune Fargues de Langon,11
2010,Commune Flaujagues,NC
2010,Commune Floirac,198
2010,Commune Fontet,7
2010,Commune Fours,NC
2010,Commune Francs,NC
2010,Commune Fronsac,NC
2010,Commune Frontenac,10
2010,Commune Gabarnac,NC
2010,Commune Gaillan en Médoc,14
2010,Commune Gajac,NC
2010,Commune Galgon,30
2010,Commune Gans,NC
2010,Commune Gardegan et Tourtirac,NC
2010,Commune Gauriac,9
2010,Commune Gauriaguet,10
2010,Commune Generac,10
2010,Commune Genissac,12
2010,Commune Gensac,13
2010,Commune Gironde sur Dropt,12
2010,Commune Giscos,NC
2010,Commune Gornac,7
2010,Commune Gours,NC
2010,Commune Gradignan,222
2010,Commune Grayan et L Hopital,13
2010,Commune Grezillac,9
2010,Commune Grignols,19
2010,Commune Guillac,NC
2010,Commune Guillos,6
2010,Commune Guitres,26
2010,Commune Gujan Mestras,174
2010,Commune Haux,8
2010,Commune Hostens,12
2010,Commune Hourtin,34
2010,Commune Hure,NC
2010,Commune Illats,10
2010,Commune Isle St Georges,6
2010,Commune Izon,45
2010,Commune Jau Dignac et Loirac,9
2010,Commune Jugazan,NC
2010,Commune Juillac,NC
2010,Commune La Brède,20
2010,Commune La Lande de Fronsac,24
2010,Commune La Rivière,NC
2010,Commune La Roquille,6
2010,Commune La Réole,84
2010,Commune La Sauve,6
2010,Commune La Teste de Buch,214
2010,Commune Labarde,7
2010,Commune Lacanau,31
2010,Commune Ladaux,NC
