NB_PRESTATATION,ANNEE,COMMUNE
42,2010,Commune Abzac
14,2010,Commune Aillas
377,2010,Commune Ambarès et Lagrave
41,2010,Commune Ambès
137,2010,Commune Andernos les Bains
29,2010,Commune Anglade
,2010,Commune Arbanats
,2010,Commune Arbis
239,2010,Commune Arcachon
,2010,Commune Arcins
13,2010,Commune Arsac
97,2010,Commune Artigues près Bordeaux
38,2010,Commune Arveyres
62,2010,Commune Arès
7,2010,Commune Asques
,2010,Commune Aubiac
19,2010,Commune Aubie et Espessas
88,2010,Commune Audenge 
,2010,Commune Auriolles
7,2010,Commune Auros
23,2010,Commune Avensan
,2010,Commune Ayguemorte les Graves
,2010,Commune Bagas
,2010,Commune Baigneaux
6,2010,Commune Balizac
,2010,Commune Barie
8,2010,Commune Baron
52,2010,Commune Barsac
,2010,Commune Bassanne
149,2010,Commune Bassens
6,2010,Commune Baurech
6,2010,Commune Bayas
14,2010,Commune Bayon sur Gironde
112,2010,Commune Bazas
31,2010,Commune Beautiran
13,2010,Commune Begadan
17,2010,Commune Beguey
51,2010,Commune Belin Beliet
,2010,Commune Bellebat
,2010,Commune Bellefond
,2010,Commune Belvès de Castillon
16,2010,Commune Bernos Beaulac
22,2010,Commune Berson
,2010,Commune Berthez
13,2010,Commune Beychac et Caillau
20,2010,Commune Bieujac
95,2010,Commune Biganos 
,2010,Commune Birac
,2010,Commune Blaignac
,2010,Commune Blaignan
285,2010,Commune Blanquefort
14,2010,Commune Blasimon
233,2010,Commune Blaye
,2010,Commune Blesignac
12,2010,Commune Bommes
18,2010,Commune Bonnetan
6,2010,Commune Bonzac
9931,2010,Commune Bordeaux
,2010,Commune Bossugan
14,2010,Commune Bouliac
7,2010,Commune Bourdelles
72,2010,Commune Bourg sur Gironde
,2010,Commune Bourideys
8,2010,Commune Brach
34,2010,Commune Branne
,2010,Commune Brannens
34,2010,Commune Braud et St Louis
,2010,Commune Brouqueyran
156,2010,Commune Bruges
,2010,Commune Budos
616,2010,Commune Bègles
13,2010,Commune Cabanac et Villagrains
,2010,Commune Cabara
,2010,Commune Cadarsac
47,2010,Commune Cadaujac
69,2010,Commune Cadillac
12,2010,Commune Cadillac en Fronsadais
,2010,Commune Camarsac
13,2010,Commune Cambes
18,2010,Commune Camblanes et Meynac
,2010,Commune Camiac et St Denis
10,2010,Commune Camiran
6,2010,Commune Camps sur l Isle
10,2010,Commune Campugnan
12,2010,Commune Cantenac
,2010,Commune Cantois
50,2010,Commune Canéjan
8,2010,Commune Capian
,2010,Commune Caplong
25,2010,Commune Captieux
87,2010,Commune Carbon Blanc
35,2010,Commune Carcans
,2010,Commune Cardan
20,2010,Commune Carignan de Bordeaux
13,2010,Commune Cars
31,2010,Commune Cartelègue
9,2010,Commune Casseuil
,2010,Commune Castelmoron d Albret
58,2010,Commune Castelnau du Médoc
,2010,Commune Castelviel
22,2010,Commune Castets en Dorthe
,2010,Commune Castillon de Castets
214,2010,Commune Castillon la Bataille
30,2010,Commune Castres Gironde
33,2010,Commune Caudrot
,2010,Commune Caumont
,2010,Commune Cauvignac
60,2010,Commune Cavignac
,2010,Commune Cazalis
,2010,Commune Cazats
,2010,Commune Cazaugitat
1004,2010,Commune Cenon
,2010,Commune Cessac
93,2010,Commune Cestas
16,2010,Commune Chamadelle
24,2010,Commune Cissac Médoc
13,2010,Commune Civrac de Blaye
,2010,Commune Civrac de Dordogne
14,2010,Commune Civrac en Médoc
,2010,Commune Cleyrac
10,2010,Commune Coimères
,2010,Commune Coirac
,2010,Commune Comps
,2010,Commune Coubeyrac
,2010,Commune Couqueques
,2010,Commune Courpiac
,2010,Commune Cours de Monségur
,2010,Commune Cours les Bains
293,2010,Commune Coutras
,2010,Commune Coutures
,2010,Commune Croignon
58,2010,Commune Créon
20,2010,Commune Cubnezais
43,2010,Commune Cubzac les Ponts
13,2010,Commune Cudos
,2010,Commune Cursan
41,2010,Commune Cussac Fort Médoc
10,2010,Commune Cénac
15,2010,Commune Cérons
26,2010,Commune Cézac
9,2010,Commune Daignac
,2010,Commune Daubeze
,2010,Commune Dieulivol
9,2010,Commune Donnezac
,2010,Commune Doulezon
8,2010,Commune Escaudes
7,2010,Commune Escoussans
6,2010,Commune Espiet
50,2010,Commune Etauliers
14,2010,Commune Eynesse
29,2010,Commune Eyrans
451,2010,Commune Eysines
,2010,Commune Faleyras
25,2010,Commune Fargues St Hilaire
51,2010,Commune Fargues de Langon
12,2010,Commune Flaujagues
572,2010,Commune Floirac
6,2010,Commune Floudes
29,2010,Commune Fontet
,2010,Commune Fosses et Baleyssac
,2010,Commune Fours
,2010,Commune Francs
22,2010,Commune Fronsac
15,2010,Commune Frontenac
,2010,Commune Gabarnac
49,2010,Commune Gaillan en Médoc
14,2010,Commune Gajac
43,2010,Commune Galgon
6,2010,Commune Gans
7,2010,Commune Gardegan et Tourtirac
16,2010,Commune Gauriac
12,2010,Commune Gauriaguet
,2010,Commune Generac
17,2010,Commune Genissac
12,2010,Commune Gensac
38,2010,Commune Gironde sur Dropt
8,2010,Commune Giscos
8,2010,Commune Gornac
6,2010,Commune Gours
334,2010,Commune Gradignan
28,2010,Commune Grayan et L Hopital
7,2010,Commune Grezillac
22,2010,Commune Grignols
,2010,Commune Guillac
9,2010,Commune Guillos
77,2010,Commune Guitres
291,2010,Commune Gujan Mestras
,2010,Commune Haux
29,2010,Commune Hostens
68,2010,Commune Hourtin
7,2010,Commune Hure
16,2010,Commune Illats
,2010,Commune Isle St Georges
54,2010,Commune Izon
17,2010,Commune Jau Dignac et Loirac
,2010,Commune Jugazan
,2010,Commune Juillac
25,2010,Commune La Brède
24,2010,Commune La Lande de Fronsac
,2010,Commune La Rivière
6,2010,Commune La Roquille
243,2010,Commune La Réole
12,2010,Commune La Sauve
412,2010,Commune La Teste de Buch
12,2010,Commune Labarde
,2010,Commune Labescau
101,2010,Commune Lacanau
,2010,Commune Ladaux
6,2010,Commune Lados
43,2010,Commune Lagorce
15,2010,Commune Lalande de Pomerol
16,2010,Commune Lamarque
28,2010,Commune Lamothe Landerron
,2010,Commune Landerrouat
,2010,Commune Landerrouet sur Ségur
20,2010,Commune Landiras
46,2010,Commune Langoiran
366,2010,Commune Langon
15,2010,Commune Lansac
78,2010,Commune Lanton 
7,2010,Commune Lapouyade
,2010,Commune Laroque
,2010,Commune Lartigue
81,2010,Commune Laruscade
35,2010,Commune Latresne
,2010,Commune Lavazan
17,2010,Commune Le Barp
344,2010,Commune Le Bouscat
9,2010,Commune Le Fieu
95,2010,Commune Le Haillan
6,2010,Commune Le Nizan
68,2010,Commune Le Pian Médoc
9,2010,Commune Le Pian sur Garonne
24,2010,Commune Le Porge
,2010,Commune Le Pout
,2010,Commune Le Puy
129,2010,Commune Le Taillan Médoc
72,2010,Commune Le Teich
,2010,Commune Le Temple
15,2010,Commune Le Tourne
,2010,Commune Le Tuzan
42,2010,Commune Le Verdon sur Mer
9,2010,Commune Leogeats
18,2010,Commune Lerm et Musset
21,2010,Commune Les Artigues de Lussac
14,2010,Commune Les Billaux
151,2010,Commune Les Eglisottes et Chalaures
,2010,Commune Les Esseintes
13,2010,Commune Les Lèves et Thoumeyragues
65,2010,Commune Les Peintures
15,2010,Commune Les Salles de castillon
257,2010,Commune Lesparre Médoc
20,2010,Commune Lestiac sur Garonne
939,2010,Commune Libourne
,2010,Commune Lignan de Bazas
11,2010,Commune Lignan de Bordeaux
,2010,Commune Ligueux
33,2010,Commune Listrac Médoc
,2010,Commune Listrac de Dureze
1046,2010,Commune Lormont
,2010,Commune Loubens
19,2010,Commune Louchats
,2010,Commune Loupes
15,2010,Commune Loupiac
14,2010,Commune Loupiac de la Réole
,2010,Commune Lucmau
30,2010,Commune Ludon Médoc
,2010,Commune Lugaignac
,2010,Commune Lugasson
8,2010,Commune Lugon et l Ile du Carney
,2010,Commune Lugos
23,2010,Commune Lussac
98,2010,Commune Lège Cap Ferret
95,2010,Commune Léognan
49,2010,Commune Macau
,2010,Commune Madirac
15,2010,Commune Maransin
7,2010,Commune Marcenais
39,2010,Commune Marcheprime 
34,2010,Commune Marcillac
34,2010,Commune Margaux
,2010,Commune Margueron
,2010,Commune Marimbault
,2010,Commune Marions
19,2010,Commune Marsas
37,2010,Commune Martignas sur Jalles
17,2010,Commune Martillac
,2010,Commune Martres
,2010,Commune Masseilles
,2010,Commune Massugas
,2010,Commune Mauriac
7,2010,Commune Mazion
7,2010,Commune Mazères
,2010,Commune Mesterrieux
80,2010,Commune Mios
,2010,Commune Mombrier
24,2010,Commune Mongauzy
,2010,Commune Monprimblanc
30,2010,Commune Monségur
25,2010,Commune Montagne
,2010,Commune Montagoudin
,2010,Commune Montignac
23,2010,Commune Montussan
10,2010,Commune Morizès
,2010,Commune Mouillac
9,2010,Commune Mouliets et Villemartin
12,2010,Commune Moulis en Médoc
18,2010,Commune Moulon
,2010,Commune Mourens
1171,2010,Commune Mérignac
,2010,Commune Mérignas
18,2010,Commune Naujac sur Mer
,2010,Commune Naujan et Postiac
,2010,Commune Neuffons
,2010,Commune Noaillac
28,2010,Commune Noaillan
,2010,Commune Néac
22,2010,Commune Nérigean
,2010,Commune Omet
8,2010,Commune Ordonnac
,2010,Commune Origne
18,2010,Commune Paillet
90,2010,Commune Parempuyre
176,2010,Commune Pauillac
24,2010,Commune Pellegrue
1165,2010,Commune Pessac
17,2010,Commune Pessac sur Dordogne
15,2010,Commune Petit Palais et Cornemps
19,2010,Commune Peujard
107,2010,Commune Pineuilh
18,2010,Commune Plassac
,2010,Commune Pleine Selve
35,2010,Commune Podensac
18,2010,Commune Pomerol
16,2010,Commune Pompignac
,2010,Commune Pompéjac
,2010,Commune Pondaurat
14,2010,Commune Porchères
33,2010,Commune Portets
83,2010,Commune Preignac
6,2010,Commune Prignac en Médoc
16,2010,Commune Prignac et Marcamps
21,2010,Commune Préchac
31,2010,Commune Pugnac
12,2010,Commune Puisseguin
17,2010,Commune Pujols
6,2010,Commune Pujols sur Ciron
10,2010,Commune Puybarban
10,2010,Commune Puynormand
7,2010,Commune Périssac
37,2010,Commune Queyrac 
12,2010,Commune Quinsac
23,2010,Commune Rauzan
37,2010,Commune Reignac
,2010,Commune Rimons
,2010,Commune Riocaud
24,2010,Commune Rions
14,2010,Commune Roaillan
10,2010,Commune Romagne
10,2010,Commune Roquebrune
,2010,Commune Ruch
47,2010,Commune Sablons
41,2010,Commune Sadirac
,2010,Commune Saillans
7,2010,Commune Salaunes
11,2010,Commune Salignac
16,2010,Commune Salleboeuf
55,2010,Commune Salles
10,2010,Commune Samonac
16,2010,Commune Saucats
