CD_DEPOT,LB_DEPOT,TYPE_DEPOT,LB_TYPE_DEPOT,COORD_TEL,COORD_FAX,COORD_MAIL,COORD_SITEWEB,ADR_L1,ADR_L2,ADR_L3,ADR_L4_NUM,ADR_L4_NUMEXT,ADR_L4_VOIE,ADR_L5,ADR_L6_CP,ADR_L6_COMM,INSEE_COMMUNE,CD_CANTON,RESPONSABLE,FL_DESSERVI,FL_INTERNET,NB_POSTEINT,NB_POSTEPUB,NB_MULT,ACCESS_HANDICAPES,H_DEB_MATIN_LUNDI,H_FIN_MATIN_LUNDI,H_DEB_APRM_LUNDI,H_FIN_APRM_LUNDI,H_DEB_MATIN_MARDI,H_FIN_MATIN_MARDI,H_DEB_APRM_MARDI,H_FIN_APRM_MARDI,H_DEB_MATIN_MERCREDI,H_FIN_MATIN_MERCREDI,H_DEB_APRM_MERCREDI,H_FIN_APRM_MERCREDI,H_DEB_MATIN_JEUDI,H_FIN_MATIN_JEUDI,H_DEB_APRM_JEUDI,H_FIN_APRM_JEUDI,H_DEB_MATIN_VENDREDI,H_FIN_MATIN_VENDREDI,H_DEB_APRM_VENDREDI,H_FIN_APRM_VENDREDI,H_DEB_MATIN_SAMEDI,H_FIN_MATIN_SAMEDI,H_DEB_APRM_SAMEDI,H_FIN_APRM_SAMEDI,H_DEB_MATIN_DIMANCHE,H_FIN_MATIN_DIMANCHE,H_DEB_APRM_DIMANCHE,H_FIN_APRM_DIMANCHE
1751,Cadaujac,17,,0556235761,,bibliotheque.cadaujac@orange.fr,,BDP Cadaujac,,,45,,AVENUE DU GÉNÉRAL DE GAULLE,,33140,CADAUJAC,33080,27,,Oui,0,0,,0,,,,,,,, 16h00, 19h00,10h00, 12h00, 14h00, 19h00,,,,,10h00, 12h00,,,10h00, 12h00,,,,,,
1580,Saint-Sève,25,,0556612829,0556612829,saint-seve@wanadoo.fr,,BDP Saint-Sève,,MAIRIE,,B,,,33190,SAINT SÈVE,33479,38,BRETON Aurélie,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Saint-Maixant,27,,0556620308,0556620436,,,BDP Saint-Maixant,,,,,PLACE DE LA MAIRIE,,33490,SAINT MAIXANT,,43,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Marcenais,26,,0557687014,0557680454,marcenais.mairie@wanadoo.fr,,BDP Marcenais,,MAIRIE,,B,,,33620,MARCENAIS,33266,44,Massias Alain,Non,0,0,,0,Accès aux personnes à mobilité réduite,08h30, 12h00,,,,, 15h30, 17h00,,,,,08h30, 12h00,,,,,,,08h30, 12h00,,,,,,
1603,Loupiac,26,,,,acsosloupiac@neuf.fr,,BDP Loupiac,,,54 ,,BERTHOUMIEU,,33410,LOUPIAC,33253,17,,Oui,0,0,,0,,,,,,,,,,,,,,,,,,,,,,10h00, 12h00,,,,,,
2018,La Teste de Buch,32,,0556546563,0556546563,bibliotheque.lateste@orange.fr,,BDP La Teste de Buch,,,,,PLACE JEAN HAMEAU,,33260,LA TESTE,33529,49,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Ambarès et Lagrave,32,,0557801520,,bibliotheque@ville-ambaresetlagrave.fr,http://www.ville-ambaresetlagrave.fr/,BDP Ambarès et Lagrave,,,9,,RUE EDMOND FAULAT,,33440,AMBARÈS ET LAGRAVE,33003,19,,Non,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Saint-Laurent-du-Bois,25,,0606474429,0556762033,mairie.stlaurentdubois@orange.fr,,BDP Saint-Laurent-du-Bois,,,,,PLACE DE LA MAIRIE,,33540,SAINT LAURENT DU BOIS,33427,43,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,,,,,,,,,13h00, 13h45, 16h30, 18h45,,,,,,,,
1597,Saint-Vivien-de-Médoc,21,,0557750462,,bibliothequestvivien@orange.fr,http://bibliothequestvivien.over-blog.com,BDP Saint-Vivien-de-Médoc,,,,,RUE PIERRE LASALLE,,33590,SAINT VIVIEN DE MÉDOC,33490,46,,Oui,0,0,,0,Accès aux personnes à mobilité réduite,,,,,,,,,10h30, 12h00, 12h30, 15h30,,, 16h00, 18h00,,,,,10h30, 12h00, 15h00, 17h00,,,,
1608,Lugasson,25,,0556239678,0556239678,lugasson@bdp33.fr,,BDP Lugasson,,MAIRIE,,B,,,33760,LUGASSON,33258,48,COVER Martine,Non,0,0,,0,,08h00, 12h00,,,,, 14h00, 18h00,,,,,,, 14h00, 18h00,,,,,,,,,,,,
