CANTON_4CAR,CANTON_2CAR,CANTON_2NUM,CANTON_LIBMIN,CANTON_LIBMAJ,ARR_V3CAR,ARR_V1CAR,ARR_LIBMIN,COMPOS_TYPE_CODE,COMPOS_TYPE_LIB,CHEFLIEU,TNC_CODE,TNC_ARTMAJ,TNC_CHARNMAJ,TNC_LIBMAJ,TNC_ARTMIN,TNC_CHARNMIN,TNC_LIBMIN,ELU_MR_MME,ELU_NOM,ELU_PRENOM
3332,32,32,Monségur,MONSEGUR,333,3,Langon,1,canton composé de commune(s) entière(s),33289,0,,DE,MONSEGUR,,de,Monségur,Monsieur,DUSSAUT,BERNARD
3333,33,33,Pauillac,PAUILLAC,334,4,Lesparre Médoc,1,canton composé de commune(s) entière(s),33314,0,,DE,PAUILLAC,,de,Pauillac,Monsieur,HOURNAU,SEBASTIEN
3334,34,34,Pellegrue,PELLEGRUE,333,3,Langon,1,canton composé de commune(s) entière(s),33316,0,,DE,PELLEGRUE,,de,Pellegrue,Monsieur,BLUTEAU,JOSE
3335,35,35,Pessac  1er Canton,PESSAC  1ER CANTON,332,2,Bordeaux,4,canton composé d'une fraction de commune,33318,0,,DE,PESSAC 1ER CANTON,,de,Pessac 1er Canton,Madame,CARNUS,EDITH
3336,36,36,Podensac,PODENSAC,333,3,Langon,1,canton composé de commune(s) entière(s),33327,0,,DE,PODENSAC,,de,Podensac,Monsieur,GILLE,HERVE
3337,37,37,Pujols,PUJOLS,335,5,Libourne,1,canton composé de commune(s) entière(s),33344,0,,DE,PUJOLS,,de,Pujols,Madame,PRADET,LILIANE
3338,38,38,Réole (La),REOLE (LA),333,3,Langon,1,canton composé de commune(s) entière(s),33352,3,LA,DE LA,REOLE,la,de la,Réole,Monsieur,CASTAGNET,BERNARD
3339,39,39,Saint-André-de-Cubzac,SAINT-ANDRE-DE-CUBZAC,331,1,Blaye,1,canton composé de commune(s) entière(s),33366,0,,DE,SAINT-ANDRE-DE-CUBZAC,,de,Saint-André-de-Cubzac,Monsieur,MAUGEIN,JACQUES
3340,40,40,Saint-Ciers-sur-Gironde,SAINT-CIERS-SUR-GIRONDE,331,1,Blaye,1,canton composé de commune(s) entière(s),33389,0,,DE,SAINT-CIERS-SUR-GIRONDE,,de,Saint-Ciers-sur-Gironde,Monsieur,PLISSON,PHILIPPE
3341,41,41,Sainte-Foy-la-Grande,SAINTE-FOY-LA-GRANDE,335,5,Libourne,1,canton composé de commune(s) entière(s),33402,0,,DE,SAINTE-FOY-LA-GRANDE,,de,Sainte-Foy-la-Grande,Monsieur,PROVAIN,ROBERT
