UAI,NOM_LONG,NOM_COURT,INSEE_COMMUNE,CONTRAT,TEL,FAX,MAIL,CHEF,ADJOINT,GESTIONNAIRE,N_ZAP,N_SECTEUR,RRS,SEGPA,UPI,SECTION_INTERNATIONAL,SECTION_EURO,TECHNO,ENS_SPE,DATEOUVERTURE,DATEFERMETURE,EFFECTIF_ANNEE_2007,EFFECTIF_ANNEE_2008,EFFECTIF_ANNEE_2009,EFFECTIF_ANNEE_2010,EFFECTIF_ANNEE_2011,EFFECTIF_ANNEE_2012,LONGITUDE,LATITUDE
0330083L,Collège Jules Ferry,Jules Ferry,33227,PUBLIC,0557980240,0557980242,ce.0330083L@ac-bordeaux.fr,MONSIEUR VILLARD ANDRE,MADAME LEROUX MARTINE,MONSIEUR BUCHARD CYRIL,06,0330603,,0,,,,,,01/05/1965,,440,474,507,494,476,490,-0.25222874,44.54898
0332490C,Collège St Genes,St Genes,33063,PRIVE,0556338484,0556338485,ce.0332490C@ac-bordeaux.fr,MONSIEUR MARC SEGARRA,,,01,0330106,,0,,,,,,01/09/1980,,1090,1087,1151,1171,1203,1182,,
0332491D,Collège Albert Le Grand,Albert Le Grand,33063,PRIVE,0556963862,0556967165,ce.0332491D@ac-bordeaux.fr,MONSIEUR BERTRAND GAUFRYAU,,,01,0330106,,0,,,,,,01/09/1980,,190,168,171,187,161,151,,
0332492E,Collège Ste Marie Bastide,Ste Marie Bastide,33063,PRIVE,0557801200,0557801202,ce.0332492E@ac-bordeaux.fr,MONSIEUR JEAN-JACQUESGIRET,,,03,0330304,,0,,,,,,01/10/1980,,588,619,646,671,714,716,,
0331507J,Collège St Joseph,St Joseph,33243,PRIVE,0557553890,0557253643,ce.0331507J@ac-bordeaux.fr,MONSIEUR JEAN-PIERRE DUCOURNAU,,,04,0330406,,0,,,,,,15/03/1967,,618,616,622,648,673,675,,
0332704K,Collège Panchon,Panchon,33012,PUBLIC,0556588530,0557885370,ce.0332704K@ac-bordeaux.fr,MONSIEUR DEL MEDICO PHILIPPE,MADAME GATINEAUD ANNE CATHERINE,MADAME VILLENEUVE CHANTAL,08,0330801,,0,,,,,,01/09/1985,,561,528,544,555,594,611,-0.69438297,44.989807
0332706M,Collège Léo Drouyn,Léo Drouyn,33542,PUBLIC,0557844352,0557843693,ce.0332706M@ac-bordeaux.fr,MONSIEUR JOYET FRANÇOIS,MADAME LARTIGUE NELLY,MADAME RIBETTE CORINNE,04,0330413,,0,,,,,,01/09/1985,,433,446,442,490,562,624,-0.33880162,44.991528
0332723F,Collège Emile Durkheim,Emile Durkheim,33321,PUBLIC,0557940260,0557680395,ce.0332723F@ac-bordeaux.fr,MADAME FERRANDIERE CATHERINE,MONSIEUR DRUELLE ARNAUD,MADAME DESTREM HELENE,10,0331003,,0,,,,,,01/09/1986,,325,356,379,410,476,523,-0.4214589,45.04325
0332746F,Collège Emile Combes,Emile Combes,33063,PUBLIC,0556249495,0556901880,ce.0332746F@ac-bordeaux.fr,MONSIEUR CONGY JEAN-YVES,,MADAME DEL CORTE CHRISTELLE,01,0330108,,0,,,,,,01/09/1987,,391,394,384,396,378,394,-0.6094056,44.834763
0332934K,Collège du Pian Sur Garonne,Le Pian Sur Garonne,33323,PUBLIC,0557981150,0556768433,ce.0332934K@ac-bordeaux.fr,MONSIEUR CHICHE STEPHANE,,MONSIEUR PROVOST YANN,06,0330611,,0,,,,,,01/09/1996,,315,330,388,428,456,471,-0.22810443,44.569874
