COMMUNE_INSEE,COMMUNE_LIBMIN,COMMUNE_LIBSNA,COMMUNE_LIBDOC,ARR_V3CAR,ARR_V1CAR,ARR_LIBMIN,CANTON_V4CAR,CANTON_V2CAR,CANTON_LIBMIN,MAIRIE_ADR_L1,MAIRIE_ADR_L2,MAIRIE_ADR_L3,MAIRIE_ADR_L4NUM,MAIRIE_ADR_L4B,MAIRIE_ADR_L4VOIE,MAIRIE_ADR_L4_COMPLET,MAIRIE_ADR_L5,MAIRIE_ADR_L6CP,MAIRIE_ADR_L6COMMUNE,MAIRE_MR_MME,MAIRE_NOM,MAIRE_PRENOM,MAIRIE_TEL,MAIRIE_FAX,MAIRIE_MAIL,MAIRIE_SITE
33493,Saint-Yzans-de-Médoc,ST YZANS DE MEDOC                     ,,334,4,,3329,29,Lesparre-Médoc,,,,,,,HOTEL DE VILLE,1 PLACE DE LA MAIRIE,33340,SAINT YZANS DE MEDOC,Monsieur,CIMBRON,Segundo,0556090506,0556090594,mairie.yzans@wanadoo.fr,
33494,Salaunes,SALAUNES                              ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,1 PLACE DE L¿EGLISE,,33160,SALAUNES,Monsieur,CASTAGNEAU,Jean-Marie,0556585873,0557889718,secretariat@mairie salaunes.fr,
33495,Salignac,SALIGNAC                              ,,331,1,,3339,39,Saint-André-de-Cubzac,,,,,,,38 LE BOURG,,33240,SALIGNAC,Monsieur,MERCADIER,Armand,0557431305,0557433077,mairie salignac@wanadoo.fr,
33496,Salleboeuf,SALLEBOEUF                            ,,332,2,,3323,23,Créon,,,,,,,HOTEL DE VILLE,3 AVENUE DE LA TOUR,33370,SALLEBOEUF,Monsieur,AVINEN,Marc,0556212133,0556683370,mairie@salleboeuf.fr,www.salleboeuf.fr
33498,Salles,SALLES                                ,,336,6,,3305,05,Belin-Béliet,,,,,,,4 PLACE DE LA MAIRIE,,33770,SALLES,Monsieur,NUCHY,Vincent,0557719860,0556884395,mairie.de.salles@wanadoo.fr,www.ville de salles.com
33499,Les Salles-de-Castillon,LES SALLES DE CASTILLON               ,,335,5,,3321,21,Castillon-la-Bataille,,,,,,,LE BOURG,,33350,LES SALLES DE CASTILLON,Madame,LAVIGNAC,Marie-Claude,0557406421,0557406930,mairielessallesdecastillon@wanadoo.fr,
33500,Samonac,SAMONAC                               ,,331,1,,3315,15,Bourg,,,,,,,161 LE BOURG,,33710,SAMONAC,Monsieur,SOU,Bernard,0557684351,0557683839,mairie.samonac@wanadoo.fr,
33501,Saucats,SAUCATS                               ,,332,2,,3327,27,Brède (La),,,,,,,4 CHEMIN DE LA MAIRIE,,33650,SAUCATS,Monsieur,DARRIET,Bernard,0557977020,0557977029,mairie@mairie saucats.fr,www.mairie saucats.fr
33502,Saugon,SAUGON                                ,,331,1,,3344,44,Saint-Savin,,,,,,,9 LE BOURG,,33920,SAUGON,Monsieur,FRAPPE,Janick,0557425286,0557424256,mairie.saugon@wanadoo.fr,
33503,Saumos,SAUMOS                                ,,334,4,,3320,20,Castelnau-de-Médoc,,,,,,,HOTEL DE VILLE,,33680,SAUMOS,Monsieur,GAILLARDO,Fernand,0556265265,0556265813,mairie.saumos@orange.fr,
