NB_PRESTATION,ANNEE,CANTON
440,2010,Canton Arcachon
1422,2010,Canton Audenge
168,2010,Canton Auros
347,2010,Canton Bazas
366,2010,Canton Belin-Beliet
1825,2010,Canton Blanquefort
791,2010,Canton Blaye
2830,2010,Canton Bordeaux 1
2127,2010,Canton Bordeaux 2
1897,2010,Canton Bordeaux 3
2113,2010,Canton Bordeaux 4
2350,2010,Canton Bordeaux 5
3012,2010,Canton Bordeaux 6
1286,2010,Canton Bordeaux 7
1068,2010,Canton Bordeaux 8
579,2010,Canton Bourg sur Gironde
417,2010,Canton Branne
1163,2010,Canton Bègles
545,2010,Canton Cadillac
80,2010,Canton Captieux
1374,2010,Canton Carbon Blanc
890,2010,Canton Castelnau du Médoc
605,2010,Canton Castillon la Bataille
2144,2010,Canton Cenon
1397,2010,Canton Coutras
868,2010,Canton Créon
1177,2010,Canton Floirac
454,2010,Canton Fronsac
918,2010,Canton Gradignan
120,2010,Canton Grignols
836,2010,Canton Guîtres
667,2010,Canton La Brède
761,2010,Canton La Réole
1552,2010,Canton La Teste de Buch
1093,2010,Canton Langon
1029,2010,Canton Le Bouscat
932,2010,Canton Lesparre Médoc
2087,2010,Canton Libourne
2340,2010,Canton Lormont
302,2010,Canton Lussac
148,2010,Canton Monségur
1373,2010,Canton Mérignac 1
1123,2010,Canton Mérignac 2
525,2010,Canton Pauillac
122,2010,Canton Pellegrue
1128,2010,Canton Pessac 1
940,2010,Canton Pessac 2
598,2010,Canton Podensac
298,2010,Canton Pujols
266,2010,Canton Sauveterre de Guyenne
732,2010,Canton St André de Cubzac
680,2010,Canton St Ciers sur Gironde
331,2010,Canton St Laurent du Médoc
418,2010,Canton St Macaire
1025,2010,Canton St Médard en Jalles
1012,2010,Canton St Savin
186,2010,Canton St Symphorien
398,2010,Canton St Vivien du Médoc
779,2010,Canton Ste Foy la Grande
2857,2010,Canton Talence
182,2010,Canton Targon
178,2010,Canton Villandraut
916,2010,Canton Villenave d'Ornon
423,2011,Canton Arcachon
1480,2011,Canton Audenge
154,2011,Canton Auros
435,2011,Canton Bazas
378,2011,Canton Belin-Beliet
1854,2011,Canton Blanquefort
768,2011,Canton Blaye
2827,2011,Canton Bordeaux 1
2157,2011,Canton Bordeaux 2
1920,2011,Canton Bordeaux 3
2128,2011,Canton Bordeaux 4
2410,2011,Canton Bordeaux 5
3216,2011,Canton Bordeaux 6
1286,2011,Canton Bordeaux 7
1047,2011,Canton Bordeaux 8
562,2011,Canton Bourg sur Gironde
424,2011,Canton Branne
1141,2011,Canton Bègles
589,2011,Canton Cadillac
78,2011,Canton Captieux
1446,2011,Canton Carbon Blanc
945,2011,Canton Castelnau du Médoc
631,2011,Canton Castillon la Bataille
