NB_PRESTATATION,ANNEE,COMMUNE
88,2010,Commune Abzac
24,2010,Commune Aillas
585,2010,Commune Ambarès et Lagrave
99,2010,Commune Ambès
257,2010,Commune Andernos les Bains
52,2010,Commune Anglade
20,2010,Commune Arbanats
9,2010,Commune Arbis
440,2010,Commune Arcachon
16,2010,Commune Arcins
31,2010,Commune Arsac
196,2010,Commune Artigues près Bordeaux
70,2010,Commune Arveyres
121,2010,Commune Arès
14,2010,Commune Asques
,2010,Commune Aubiac
36,2010,Commune Aubie et Espessas
182,2010,Commune Audenge 
,2010,Commune Auriolles
22,2010,Commune Auros
37,2010,Commune Avensan
13,2010,Commune Ayguemorte les Graves
11,2010,Commune Bagas
8,2010,Commune Baigneaux
12,2010,Commune Balizac
,2010,Commune Barie
24,2010,Commune Baron
97,2010,Commune Barsac
,2010,Commune Bassanne
347,2010,Commune Bassens
13,2010,Commune Baurech
17,2010,Commune Bayas
30,2010,Commune Bayon sur Gironde
210,2010,Commune Bazas
58,2010,Commune Beautiran
25,2010,Commune Begadan
32,2010,Commune Beguey
122,2010,Commune Belin Beliet
6,2010,Commune Bellebat
,2010,Commune Bellefond
9,2010,Commune Belvès de Castillon
29,2010,Commune Bernos Beaulac
57,2010,Commune Berson
,2010,Commune Berthez
30,2010,Commune Beychac et Caillau
34,2010,Commune Bieujac
252,2010,Commune Biganos 
7,2010,Commune Birac
,2010,Commune Blaignac
7,2010,Commune Blaignan
519,2010,Commune Blanquefort
52,2010,Commune Blasimon
394,2010,Commune Blaye
8,2010,Commune Blesignac
24,2010,Commune Bommes
27,2010,Commune Bonnetan
15,2010,Commune Bonzac
16683,2010,Commune Bordeaux
,2010,Commune Bossugan
33,2010,Commune Bouliac
8,2010,Commune Bourdelles
161,2010,Commune Bourg sur Gironde
,2010,Commune Bourideys
13,2010,Commune Brach
54,2010,Commune Branne
10,2010,Commune Brannens
66,2010,Commune Braud et St Louis
,2010,Commune Brouqueyran
352,2010,Commune Bruges
6,2010,Commune Budos
1163,2010,Commune Bègles
38,2010,Commune Cabanac et Villagrains
7,2010,Commune Cabara
,2010,Commune Cadarsac
98,2010,Commune Cadaujac
142,2010,Commune Cadillac
33,2010,Commune Cadillac en Fronsadais
17,2010,Commune Camarsac
23,2010,Commune Cambes
41,2010,Commune Camblanes et Meynac
11,2010,Commune Camiac et St Denis
15,2010,Commune Camiran
17,2010,Commune Camps sur l Isle
24,2010,Commune Campugnan
25,2010,Commune Cantenac
,2010,Commune Cantois
89,2010,Commune Canéjan
17,2010,Commune Capian
,2010,Commune Caplong
46,2010,Commune Captieux
200,2010,Commune Carbon Blanc
65,2010,Commune Carcans
,2010,Commune Cardan
42,2010,Commune Carignan de Bordeaux
45,2010,Commune Cars
49,2010,Commune Cartelègue
17,2010,Commune Casseuil
,2010,Commune Castelmoron d Albret
116,2010,Commune Castelnau du Médoc
6,2010,Commune Castelviel
42,2010,Commune Castets en Dorthe
8,2010,Commune Castillon de Castets
345,2010,Commune Castillon la Bataille
52,2010,Commune Castres Gironde
64,2010,Commune Caudrot
12,2010,Commune Caumont
,2010,Commune Cauvignac
105,2010,Commune Cavignac
14,2010,Commune Cazalis
7,2010,Commune Cazats
8,2010,Commune Cazaugitat
1801,2010,Commune Cenon
,2010,Commune Cessac
221,2010,Commune Cestas
28,2010,Commune Chamadelle
47,2010,Commune Cissac Médoc
29,2010,Commune Civrac de Blaye
,2010,Commune Civrac de Dordogne
22,2010,Commune Civrac en Médoc
6,2010,Commune Cleyrac
