Saison,Commune,Nom du Tiers,Nom EMS,Tarification annuelle,Nb semaines fonctionnement annuel,Nb jeunes inscrits
2010/2011,ABZAC,COMMUNE D'ABZAC,Abzac,"13,0 €",30,60
2010/2011,AMBARES-ET-LAGRAVE,ASSOCIATION SPORTIVE AMBARESIENNE,A.S.Ambares,"0,0 €",34,91
2010/2011,AMBARES-ET-LAGRAVE,ASSOCIATION SPORTIVE AMBARESIENNE,A.S.Ambares Handiscole,"70,0 €",34,10
2010/2011,ARES,COMMUNE D'ARES,Ares,"15,0 €",31,98
2010/2011,ARTIGUES-PRES-BORDEAUX,COMMUNE D'ARTIGUES PRES BORDEAUX,Artigues de Bordeaux,"0,0 €",30,24
2010/2011,AUBIE-ET-ESPESSAS,COMMUNE D'AUBIE ET ESPESSAS,Aubie et Espessas,"15,0 €",28,32
2010/2011,AUDENGE,COMMUNE D'AUDENGE,Audenge,"20,0 €",25,53
2010/2011,AVENSAN,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Avensan,"30,0 €",33,44
2010/2011,BARIE,BARIE CASTETS BASKET CLUB,Barie Castets Basket,"0,0 €",31,19
2010/2011,BASSENS,COMMUNE DE BASSENS,Bassens,"45,0 €",33,60
2010/2011,BAZAS,COMMUNE DE BAZAS,BAZAS,"0,0 €",30,70
2010/2011,BEAUTIRAN,SI DES CENTRES D'ACCUEIL ET DE LOISIRS,SICAL Beautiran,"52,0 €",33,36
2010/2011,BEGLES,CLUB ATHLETIQUE BEGLAIS,C.A Bèglais,"100,0 €",33,65
2010/2011,BEYCHAC-ET-CAILLAU,ASSOCIATION POUR LOISIRS ENFANTS ET JEUNES,ALEJ Beychac,"53,0 €",35,39
2010/2011,BIGANOS,COMMUNE DE BIGANOS,Biganos,"0,0 €",30,45
2010/2011,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Blanquefort Baychac,"29,0 €",29,40
2010/2011,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Blanquefort Renney,"30,0 €",30,39
2010/2011,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Blanquefort Saturne,"29,0 €",29,43
