SAISON,COMMUNE,NOM_DU_TIERS,NOM_EMS,MT_TARIF_ANNUEL,NB_SEMAINES_FONCTIONNEMENT_ANNUEL,NB_JEUNE_INSCRIT,NB_FILLES_INSCRITES,NB_PLAQUETTE_CG33,NB_JEUNES_6_7_ans,NB_JEUNES_8_9_ans,NB_JEUNES_10_11_ans
2008/2009,ABZAC,COMMUNE D'ABZAC,Ecole Abzac,13,32,60,29,120,29,21,10
2008/2009,AMBARES-ET-LAGRAVE,ASSOCIATION SPORTIVE AMBARESIENNE,Ecole Ambarès,66,34,73,30,1500,42,21,10
2008/2009,ANDERNOS-LES-BAINS,COMMUNE D'ANDERNOS LES BAINS,Ecole Andernos Ferry,38,24,24,9,0,8,8,7
2008/2009,ANDERNOS-LES-BAINS,COMMUNE D'ANDERNOS LES BAINS,Ecole Andernos Capsus,38,24,46,18,0,19,18,9
2008/2009,ANDERNOS-LES-BAINS,COMMUNE D'ANDERNOS LES BAINS,Ecole Andernos Betey,35,24,24,4,0,6,12,7
2008/2009,ANGLADE,CDC DE L'ESTUAIRE-CANTON DE ST CIERS S/GIRONDE,Ecole CDC Estuaire Anglade,20,13,8,6,0,0,7,1
2008/2009,ARES,COMMUNE D'ARES,Ecole Ares,15,32,90,45,0,45,31,10
2008/2009,ARTIGUES-PRES-BORDEAUX,COMMUNE D'ARTIGUES PRES BORDEAUX,Ecole Artigues-Prés-Bordeaux,0,30,20,7,400,12,6,6
2008/2009,AUBIE-ET-ESPESSAS,COMMUNE D'AUBIE ET ESPESSAS,Ecole Aubié-Espessas,15,31,49,24,50,24,13,12
2008/2009,AUDENGE,COMMUNE D'AUDENGE,Ecole Audenge,15,25,40,19,430,19,10,22
2008/2009,AVENSAN,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Ecole Francas Avensan,30,33,24,7,200,13,8,3
2008/2009,BASSENS,COMMUNE DE BASSENS,Ecole Bassens,45,34,68,20,0,37,17,14
2008/2009,BAYON-SUR-GIRONDE,COMMUNE DE BAYON,Ecole Bayon sur Gironde,26,26,11,8,0,0,6,5
2008/2009,BAZAS,COMMUNE DE BAZAS,Ecole Bazas,6,22,24,9,0,7,8,9
2008/2009,BEAUTIRAN,SI DES CENTRES D'ACCUEIL ET DE LOISIRS,Ecole S.I.C.A.L Beautiran,50,32,24,8,300,13,11,0
2008/2009,BEAUTIRAN,SI DES CENTRES D'ACCUEIL ET DE LOISIRS,Ecole S.I.C.A.L Castres,50,32,24,5,300,10,6,8
2008/2009,BEGADAN,CDC DU COEUR MEDOC,Ecole CDC COeur du Médoc Bégadan,18,28,18,9,0,0,5,13
2008/2009,BEGLES,CLUB ATHLETIQUE BEGLAIS,Ecole C.A.Béglais,112,32,0,14,0,56,14,0
2008/2009,BEYCHAC-ET-CAILLAU,ASSOCIATION POUR LOISIRS ENFANTS ET JEUNES,Ecole A.L.E.J Beychac et Cailleau,40,35,40,6,200,8,22,10
2008/2009,BIGANOS,COMMUNE DE BIGANOS,Ecole Biganos,35,30,35,15,0,13,9,13
2008/2009,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Ecole Blanquefort Renney,32,29,43,7,0,17,11,15
2008/2009,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Ecole Blanquefort Saturne,32,29,36,10,0,13,15,8
2008/2009,BLANQUEFORT,ESB OMNISPORT,Ecole ESB Blanquefort,65,29,52,8,0,43,5,4
2008/2009,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Ecole Blanquefort Caychac,32,28,46,5,0,13,21,12
2008/2009,BLAYE,COMMUNE DE BLAYE,Ecole Blaye Malbeteau,21,27,14,5,0,0,4,10
2008/2009,BLAYE,COMMUNE DE BLAYE,Ecole Blaye Vallaeys,21,26,21,8,0,0,10,13
2008/2009,BONZAC,COMMUNE DE BONZAC,Ecole Bonzac,20,24,14,9,0,0,10,4
2008/2009,BORDEAUX,GIRONDINS DE BORDEAUX HAND BALL CLUB,Ecole Bastide Girondins,35,35,89,47,0,44,26,9
2008/2009,BORDEAUX,LES JEUNES DE SAINT AUGUSTIN,Ecole J.S.A Bordeaux,90,33,115,26,0,34,46,35
2008/2009,BORDEAUX,UNION SAINT BRUNO,Ecole Union St Bruno Bordeaux,0,31,24,5,0,18,6,0
2008/2009,BORDEAUX,ASPTT BORDEAUX,Ecole A.S.P.T.T Bordeaux,200,34,66,26,0,33,26,7
2008/2009,BORDEAUX,CLUB PYRENEES AQUITAINE,Ecole C.P.A Tauzin,80,32,24,7,0,8,8,8
2008/2009,BORDEAUX,STADE BORDELAIS,Ecole Stade Bordelais,140,30,18,7,0,5,7,6
2008/2009,BORDEAUX,UNION SAINT JEAN,Ecole Union St Jean bordeaux,75,34,63,22,0,31,22,10
2008/2009,BORDEAUX,COQS ROUGES,Ecole Les Coqs rouges,140,35,9,2,0,3,3,3
2008/2009,BOULIAC,COMMUNE DE BOULIAC,Ecole Bouliac,0,34,30,15,300,18,2,10
2008/2009,BRUGES,COMMUNE DE BRUGES,Ecole Bruges Laurencin,44,32,21,7,800,21,0,0
2008/2009,BRUGES,COMMUNE DE BRUGES,Ecole Bruges Claudel,44,32,25,8,800,0,14,11
2008/2009,BRUGES,COMMUNE DE BRUGES,Ecole Bruges Prevert,44,32,55,19,800,25,16,14
2008/2009,BRUGES,COMMUNE DE BRUGES,Ecole Bruges La Marianne,44,32,26,14,800,10,5,11
2008/2009,CADAUJAC,CCAS DE CADAUJAC,Ecole C.C.A.S Cadaujac,106,24,50,15,50,10,20,20
2008/2009,CAMARSAC,FRIMOUSSE DES COTEAUX,Ecole Frimousse des Côteaux,0,30,29,12,0,10,2,17
2008/2009,CAMBLANES-ET-MEYNAC,CDC PORTES ENTRE DEUX MERS,Ecole CDC E2M Camblanes,30,30,24,3,0,0,19,5
2008/2009,CANEJAN,COMMUNE DE CANEJAN,Ecole Canejan,0,32,45,25,300,7,19,28
2008/2009,CAPIAN,CDC DU VALLON D ARTOLIE,Ecole CDC Artolie Capian,51,32,14,7,0,6,5,3
2008/2009,CARBON-BLANC,COMMUNE DE CARBON BLANC,Ecole Carbon-Blanc Barbou,26,31,48,29,500,48,0,0
