COMMUNE_EQUIPEMENT,CODE_EQUIPEMENT_PERE,EQUIPEMENT_PERE,CODE_EQUIPEMENT,EQUIPEMENT,CD_TYPE_EQUIPEMENT,TYPE_EQUIPEMENT,DATE_MAJ_EQUIPEMENT,ACTIVITE_PRATIQUE,NUM_DE_RUE,ADRESSE,CODE_POSTAL,GESTIONNAIRE,PROPRIETAIRE,ACCES_PMR,NATURE_DU_SOL,TYPE_ECLAIRAGE,LONGUEUR,LARGEUR,HAUTEUR,PROFONDEUR_MIN,PROFONDEUR_MAX,NB_VEST_ARBITRES_EQUIPEMENT,NB_DOUCHES_EQUIPEMENT,NB_PLACE_TRIBUNE_EQUIPEMENT,NB_TRIBUNES_EQUIPEMENT,NB_VEST_JEUNES_EQUIPEMENT,CAPACITE_DEBOUT_EQUIPEMENT,CAPACITE_TOTAL_EQUIPEMENT,NB_UNITE_EQUIPEMENT,UNITES_EQUIPEMENT,LONGITUDE,LATITUDE
YVRAC                                 ,,,9156,Domaine Public YVRAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YVRAC                                 ,,,4774,Aéro club d'Yvrac,418,"Aérodrome",16-09-2009,,,"CHEMIN DE MIREFLEURS",33370,ASSO,ASSO,,"Prairie","Non éclairé",685,60,,,,,,,,,,,,,-0.48104534,44.87623
YVRAC                                 ,,,8272,Stade municipal,80,"Complexe Sportif",,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,,,,,,,,,,,,,,,,,,
YVRAC                                 ,8272,Stade municipal,4770,Court de tennis n°1,201,"Court de tennis",16-09-2009,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Bitumineux","Entrainement",35,17,,,,,2,,,2,,,,,-0.4763398,44.872776
YVRAC                                 ,8272,Stade municipal,4771,Court de tennis n°2,201,"Court de tennis",16-09-2009,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Bitumineux","Entrainement",35,17,,,,,,,,,,,,,-0.47608697,44.872784
YVRAC                                 ,8272,Stade municipal,4772,Court de tennis n°3,201,"Court de tennis",16-09-2009,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Bitumineux","Entrainement",44,22,,,,,,,,,,,,,-0.477393,44.872326
YVRAC                                 ,8272,Stade municipal,4773,Fronton tennis,223,"Fronton ou mur d'entrainement tennis",16-09-2009,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Béton","Non éclairé",16,8,4,,,,,,,,,,,,-0.47623506,44.87296
YVRAC                                 ,,,4779,Maison des Associations,510,"Maison des Associations",16-09-2009,,,"AV DE BLANZAC",33370,COMMUNE D'YVRAC,COMMUNE D'YVRAC,,"Carrelage","Entrainement",12,6,2,,,,,,,,,,,,,
YVRAC                                 ,8270,Ecole intercommunale,4768,Plateau polyvalent ,202,"Plateau polyvalent (surface goudronnée: hand, basket...)",16-09-2009,,,"AVENUE DE BLANZAC",33370,Commune,Commune,,"Béton poreux (Quick)","Non éclairé",40,22,,,,,,,,,,,,,-0.4594868,44.881
YVRAC                                 ,8272,Stade municipal,4776,Salle de danse,114,"Salle de danse",16-09-2009,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Parquet","Entrainement",19,9,2,,,,,,,,,,,,-0.47923368,44.872684
YVRAC                                 ,8272,Stade municipal,4775,Salle Omnisports,101,"Salle de sport / Gymnase/Salle Omnisports",14-10-2011,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Béton","Entrainement",44,25,9,,,2,4,50,1,4,,,,,-0.47913927,44.87232
YVRAC                                 ,8272,Stade municipal,5727,Salle de tennis de table,108,"Salle de tennis de table",16-09-2009,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Parquet","Entrainement",24,12,5,,,,,,,,,,,,-0.47913477,44.872482
YVRAC                                 ,,,4777,Salle Polyvalente des Fêtes,500,"Salle polyvalente (sport+socioculturelle)",16-09-2009,,,"AV DE BLANZAC",33370,Commune,Commune,,"Parquet","Entrainement",20,13,7,,,,,,,,,,,,,
YVRAC                                 ,8272,Stade municipal,4764,Terrain de football honneur,200,"Terrain de football",16-09-2009,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Pelouse","Compétition",98,59,,,,1,2,,,3,,,,,-0.47831896,44.872368
YVRAC                                 ,8272,Stade municipal,4765,Terrain de football annexe,200,"Terrain de football",19-05-2011,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Pelouse","Compétition",100,60,,,,,,,,,,,,,-0.48108655,44.872784
YVRAC                                 ,8272,Stade municipal,4766,Terrain de football stabilisé,200,"Terrain de football",16-09-2009,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Sol stabilisé (cendré ou gravé)","Entrainement",94,53,,,,,,,,,,,,,-0.47998807,44.872585
YVRAC                                 ,8270,Ecole intercommunale,4767,Terrain de hand ball,203,"Terrain de hand ball",16-09-2009,,,"AVENUE DE BLANZAC",33370,Commune,Commune,,"Bitumineux","Non éclairé",26,16,,,,,,,,,,,,,-0.46074843,44.880913
YVRAC                                 ,,,4769,Boulodrome avenue de la Garonne,215,"Terrain de pétanque",16-09-2009,,,"CHEMIN DE LA CURE",33370,Commune,Commune,,"Gravier","Non éclairé",20,10,,,,,,,,,,,,,-0.46227425,44.88029
YVRAC                                 ,,,8270,Ecole intercommunale,20,"Terrain de sport et plaine de jeux",,,,"AVENUE DE BLANZAC",33370,Commune,Commune,,,,,,,,,,,,,,,,,,,
YVRAC                                 ,8272,Stade municipal,10347,Vestiaires football,802,"Vestiaires joueurs",21-03-2012,,,"AVENUE DE TÉCHENEY",33370,Commune,Commune,,"Carrelage","Normal",17,10,4,,,,,,,,,,,,,
VIRSAC                                ,,,8771,Complexe sportif du Berdat,80,"Complexe Sportif",,,,"LIEU DIT BERDAT",33240,Commune,Commune,,,,,,,,,,,,,,,,,,,
