PERIODE,TYPE_DE_PRODUIT,PRODUIT,ACTIVITE
2003/2004,JAS,JAS GIRONDINS DE BORDEAUX F.C ,Football
2004/2005,JAS,JAS CRITERIUM CYCLISTE DE CASTI,Cyclisme sur route
2004/2005,JAS,JAS JUMPING BORD,Equitation
2004/2005,JAS,JAS SUPERMO,Moto Cross
2004/2005,JAS,JAS DECA,Athlétisme
2004/2005,JAS,JAS GRAND PRIX ECHEC,Echecs
2004/2005,JAS,JAS GIRONDINS DE BORDEAUX HAND ,Handball
2004/2005,JAS,JAS SBUC RUGBY ,Rugby
2005/2006,JAS,JAS JUMPING BORD,Equitation
2005/2006,JAS,JAS CHAMPIONNAT DU MONDE DE CYCLISME SUR P,Cyclisme sur Piste
2005/2006,JAS,JAS GIRONDINS DE BORDEAUX F.C ,Football
2005/2006,JAS,JAS GIRONDINS DE BORDEAUX HAND ,Handball
2005/2006,JAS,JAS JSA BORDEAUX BASKET ,Basket Ball
2005/2006,JAS,JAS GRAND PRIX ECHEC,Echecs
2005/2006,JAS,JAS SBUC RUGBY ,Rugby
2005/2006,JAS,JAS CRITERIUM CYCLISTE DE CASTI,Cyclisme
2005/2006,JAS,JAS DECA,Athlétisme
2005/2006,JAS,JAS AUSTRALIE / BARBARIANS,Rugby
2005/2006,JAS,JAS BORDEAUX GIRONDE HOCKEY 2000 ,Hockey sur Glace
2006/2007,JAS,JAS BORDEAUX BEGLES RUGBY ,Rugby
2006/2007,JAS,JAS US MIOS BIGANOS HAND FEMININ ,Handball
2006/2007,JAS,JAS CA BEGLAIS HAND FEMININ ,Handball
2006/2007,JAS,JAS MERIGNAC HAND FEMININ ,Handball
2006/2007,JAS,JAS GRAND PRIX ECHEC,Echecs
2006/2007,JAS,JAS GIRONDINS DE BORDEAUX HAND ,Handball
2006/2007,JAS,JAS LIBOURNE ST SEURIN FOOTBALL ,Football
2006/2007,JAS,JAS COUPE DU MONDE DE R,Rugby
2006/2007,JAS,JAS CRITERIUM CYCLISTE INTERNATIONAL DE CASTI,Cyclisme sur route
2006/2007,JAS,JAS GIRONDINS DE BORDEAUX F.C ,Football
2006/2007,JAS,JAS JUMPING BORD,Equitation
2006/2007,JAS,JAS JSA BORDEAUX BASKET ,Basket Ball
2006/2007,JAS,JAS BORDEAUX GIRONDE HOCKEY 2000 ,Hockey sur Glace
2006/2007,JAS,JAS DECA,Athlétisme
2007/2008,JAS,JAS ASSOCIATION SPORTIVE ILLACAISE VOLLEY BALL MASCULINE ,Volley Ball
2007/2008,JAS,JAS LES LEOPARDS DE GUYENNE ,Basket Ball
2007/2008,JAS,JAS LIBOURNE ST SEURIN FOOTBALL ,Football
2007/2008,JAS,JAS GIRONDINS DE BORDEAUX HAND ,Handball
2007/2008,JAS,JAS VILLA PRIMROSE Tournoi Tennis,Tennis
2007/2008,JAS,JAS CA BEGLAIS HAND FEMININ ,Handball
2007/2008,JAS,JAS JSA BORDEAUX BASKET ,Basket Ball
2007/2008,JAS,JAS UNION BORDEAUX BEGLES RUGBY ,Rugby
2007/2008,JAS,JAS SPORT ATHLETIQUE MERIGNACAIS RINK HOCKEY ,Rink Hockey
2007/2008,JAS,JAS SPORT ATHLETIQUE GAZINET CESTAS TENNIS DE TABLE ,Tennis de Table
2007/2008,JAS,JAS GIRONDINS DE BORDEAUX F.C ,Football
2007/2008,JAS,JAS SPORT ATHLETIQUE GAZINET CESTAS RINK HOCKEY ,Rink Hockey
2007/2008,JAS,JAS ASSOCIATION SPORTIVE ILLACAISE VOLLEY BALL FEMININE ,Volley Ball
2007/2008,JAS,JAS JUMPING BORD,Equitation
2007/2008,JAS,JAS MERIGNAC HAND FEMININ ,Handball
2007/2008,JAS,JAS - CHAMPIONNAT DE FRANCE ELITE ATHLET,Athlétisme
2007/2008,JAS,JAS UNION SPORTIVE COUTRAS RINK HOCKEY ,Rink Hockey
2007/2008,JAS,JAS BORDEAUX GIRONDE HOCKEY 2000 ,Hockey sur Glace
2007/2008,JAS,JAS DECA,Athlétisme
2007/2008,JAS,JAS US MIOS BIGANOS HAND FEMININ ,Handball
2008/2009,JAS,JAS UNION SPORTIVE COUTRAS RINK HOCKEY ,Rink Hockey
2008/2009,JAS,JAS US MIOS BIGANOS HAND FEMININ ,Handball
2008/2009,JAS,JAS JSA BORDEAUX BASKET ,Basket Ball
2008/2009,JAS,JAS VILLA PRIMROSE ,Tennis
2008/2009,JAS,JAS ASSOCIATION SPORTIVE ILLACAISE VOLLEY BALL MASCULINE ,Volley Ball
2008/2009,JAS,JAS CAM BORDEAUX TENNIS DE TABLE ,Tennis de Table
2008/2009,JAS,JAS LES LEOPARDS DE GUYENNE ,Basket Ball
2008/2009,JAS,JAS JUMPING BORD,Saut d'obstacles
2008/2009,JAS,JAS GIRONDINS DE BORDEAUX HAND ,Handball
2008/2009,JAS,JAS UNION SAINT BRUNO WATER POLO ,Water Polo
2008/2009,JAS,JAS BORDEAUX GIRONDE HOCKEY 2000 ,Hockey sur Glace
2008/2009,JAS,JAS SPORT ATHLETIQUE MERIGNACAIS HOCKEY SUR GAZON ,Hockey sur Gazon
2008/2009,JAS,JAS UNION BORDEAUX BEGLES RUGBY ,Rugby
2008/2009,JAS,JAS CRITERIUM CYCLISTE INTERNATIONAL DE CASTI,Cyclisme sur route
2008/2009,JAS,JAS DECA,Athlétisme
2008/2009,JAS,JAS GIRONS DE BORDEAUX HOCKEY SUR GAZON ,Hockey sur Gazon
2008/2009,JAS,JAS UNION SAINT BRUNO BADMINTON ,Badminton
2008/2009,JAS,JAS SPORT ATHLETIQUE MERIGNACAIS RINK HOCKEY ,Rink Hockey
2008/2009,JAS,JAS GIRONDINS DE BORDEAUX F.C ,Football
2008/2009,JAS,JAS SPORT ATHLETIQUE GAZINET CESTAS TENNIS DE TABLE ,Tennis de Table
2009/2010,JAS,JAS VILLA PRIMROSE ,Tennis
2009/2010,JAS,JAS CAM BORDEAUX TENNIS DE TABLE ,Tennis de Table
2009/2010,JAS,JAS LES LEOPARDS DE GUYENNE ,Basket Ball
2009/2010,JAS,JAS ASSOCIATION SPORTIVE ILLACAISE VOLLEY BALL FEMININE ,Volley Ball
2009/2010,JAS,JAS JUMPING BORD,Saut d'obstacles
2009/2010,JAS,JAS JSA BORDEAUX BASKET ,Basket Ball
2009/2010,JAS,JAS UNION SAINT BRUNO BADMINTON ,Badminton
2009/2010,JAS,JAS US MIOS BIGANOS HAND FEMININ ,Handball
2009/2010,JAS,JAS BORDEAUX GIRONDE HOCKEY 2000 ,Hockey sur Glace
2009/2010,JAS,JAS GIRONDINS DE BORDEAUX HAND ,Handball
2009/2010,JAS,JAS SPORT ATHLETIQUE GAZINET CESTAS TENNIS DE TABLE ,Tennis de Table
2009/2010,JAS,JAS UNION BORDEAUX BEGLES RUGBY ,Rugby
2009/2010,JAS,JAS ASSOCIATION SPORTIVE ILLACAISE VOLLEY BALL MASCULINE ,Volley Ball
2009/2010,JAS,JAS SPORT ATHLETIQUE MERIGNACAIS HOCKEY SUR GAZON ,Hockey sur Gazon
2009/2010,JAS,JAS DECA,Athlétisme
2009/2010,JAS,JAS UNION SAINT BRUNO WATER POLO ,Water Polo
2009/2010,JAS,JAS STADE BORD,BMX
2009/2010,JAS,JAS GIRONDINS DE BORDEAUX F.C ,Football
2009/2010,JAS,JAS GIRONDINS DE BORDEAUX HOCKEY SUR GAZON ,Hockey sur Gazon
2009/2010,JAS,JAS SPORT ATHLETIQUE MERIGNACAIS RINK HOCKEY ,Rink Hockey
2009/2010,JAS,JAS UNION SPORTIVE COUTRAS RINK HOCKEY ,Rink Hockey
2010/2011,JAS,JAS UNION BORDEAUX BEGLES RUGBY ,Rugby
2010/2011,JAS,JAS GIRONDINS DE BORDEAUX HAND ,Handball
2010/2011,JAS,JAS UNION SAINT BRUNO WATER POLO ,Water Polo
2010/2011,JAS,JAS JUMPING BORD,Saut d'obstacles
2010/2011,JAS,JAS JSA BORDEAUX BASKET ,Basket Ball
2010/2011,JAS,JAS DECA,Athlétisme
2010/2011,JAS,JAS LES LEOPARDS DE GUYENNE ,Basket Ball Handisport
