NOM_SITE,ADR_L1,ADR_L2,ADR_L3,ADR_L4_NUM,ADR_L4_NUMEXT,ADR_L4_VOIE,ADR_L5,ADR_L6_CP,ADR_L6_COMM,TELEPHONE,FAX,ADRESSE_MAIL,ADRESSE_WEB,CIVILTE_RESPONSABLE,NOM_RESPONSABLE,PRENOM_RESPONSABLE,HEURE_OUVERTURE
MDSI de Bordeaux St Augustin,MDSI de Bordeaux St Augustin,,,72,B,RUE GUILLAUME LEBLANC,,33000,BORDEAUX,0556980818,0556982014,cms_st-augustin@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Bordeaux St Michel,MDSI de Bordeaux St Michel,,,18,,RUE DU CLOITRE,,33000,BORDEAUX,0556917445,0556920624,cms_bx-st-michel@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Bordeaux St Jean,MDSI de Bordeaux St Jean,,,15,,RUE BELLE ETOILE,,33800,BORDEAUX ST JEAN,0556922792,0556921054,cms_bx-st-jean@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Bordeaux Bastide,MDSI de Bordeaux Bastide,,,23,,RUE DE LEYRONNEIRE,,33100,BORDEAUX BASTIDE,0557773610,0556409858,cms_bx-bastide@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Lesparre,MDSI de Lesparre,,,21,,RUE DU PALAIS DE JUSTICE,,33340,LESPARRE,0556410101,0556412369,cms_lesparre@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI d'Arcachon,MDSI d'Arcachon,,,15,B,RUE GEORGES MERAN,,33120,ARCACHON,0557525540,0556835652,cms_arcachon@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI d'Audenge,MDSI d'Audenge,,,,,RUE DES HARAS,,33980,AUDENGE,0557762210,0556269415,cms_audenge@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de St Médard en Jalles,MDSI de St Médard en Jalles,,,2,,RUE FIRMIN MONTIGNAC,,33160,ST MEDARD EN JALLES,0556958076,0556056084,cms_st-medard@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Mérignac,MDSI de Mérignac,,,419,,AVENUE DE VERDUN,,33700,MERIGNAC,0556121390,0556971330,cms_merignac@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Pessac,MDSI de Pessac,,,10,,RUE PIERRE WIEHN,,33600,PESSAC,0556450715,0556455389,cms_pessac@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Gradignan,MDSI de Gradignan,,,6,,RUE JEAN LARRIEU,,33170,GRADIGNAN,0557352790,0556751369,cms_gradignan@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Bordeaux Caudéran,MDSI de Bordeaux Caudéran,,,88,,RUE BELLUS MAREILHAC,,33200,BORDEAUX CAUDERAN,0556425190,0556425254,cms_bx-caudéran@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Pauillac,MDSI de Pauillac,,,5,,PLACE DU MARECHAL DE LATTRE DE TASSIGNY,,33250,PAUILLAC,0556732160,0556592320,cms_pauillac@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI d'Eysines,MDSI d'Eysines,,,,,RUE DES TREYTINS,,33320,EYSINES,0556161990,0556284282,cms_eysines@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI du Bouscat,MDSI du Bouscat,,,212,,AVENUE DE TIVOLI,,33110,LE BOUSCAT,0557224710,0556085979,cms_le-bouscat@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Bordeaux Lac,MDSI de Bordeaux Lac,,,47,,RUE CHARLES TOURNEMIRE,,33300,BORDEAUX LAC,0556115470,0556502122,cms_bx-lac@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Bordeaux Centre,MDSI de Bordeaux Centre,,,14,,RUE POITEVIN,,33000,BORDEAUX CENTRE,0556442783,0556520546,cms_bx-centre@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Bordeaux Grand Parc,MDSI de Bordeaux Grand Parc,,,63,,RUE CAMILLE GODARD,,33000,BORDEAUX GRAND PARC,0557870214,0557871087,cms_bx-grand-parc@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
MDSI de Castelnau,MDSI de Castelnau,,,1,,RUE GAMBETTA,,33480,CASTELNAU DU MEDOC,0557888490,0556583622,cms_castelnau@cg33.fr,,Madame,ELISSALDE REGEON,Fabienne,Matin : 8h30-12h30 Après-midi : 13h30-17h15 (16h15 le Vendredi)
