ETE,TYPE_DE_PRODUIT,PRODUIT,ACTIVITE
Eté non renseigné,PFA,PFA HANDICAPE AMBARES ,Voile
Eté non renseigné,PFA,PFA HANDICAPE AMBARES ,kayak
Eté non renseigné,PFA,PF H AMBARES ,Voile
Eté non renseigné,PFA,PF H AMBARES ,kayak
Eté non renseigné,PFA,PF 33 LIBOURNE ,Canoë-Kayak
Eté 2012,PFA,PF 34 BEGLES LORMONT ,Plongée
Eté 2012,PFA,PF 24 TALENCE ,Moto Cross
Eté 2012,PFA,PF 35 CANEJAN ,BMX
Eté 2012,PFA,PF 25 AMBARES ,Planche à Voile - Fun
Eté 2012,PFA,PF 25 AMBARES ,Dériveur 420
Eté 2012,PFA,PF 25 AMBARES ,Optimist
Eté 2012,PFA,PF 25 AMBARES ,Kayak-polo
Eté 2012,PFA,PF 31 BLANQUEFORT ,Accro-branches
Eté 2012,PFA,PF 31 BLANQUEFORT ,Equitation
Eté 2012,PFA,PF 31 BLANQUEFORT ,Tir à l'arc
Eté 2012,PFA,PF 22 FARGUES ST HILAIRE ,Accro-branches
Eté 2012,PFA,PF 26 BORDEAUX LAC ,Catamaran
Eté 2012,PFA,PF 26 BORDEAUX LAC ,Planche à Voile - Fun
Eté 2012,PFA,PF 27 FALEYRAS ,Cross Car
Eté 2012,PFA,PF 32 FRONTENAC ,Escalade
Eté 2012,PFA,PF 32 FRONTENAC ,Tir à l'arc
Eté 2012,PFA,PF 18 BORDEAUX BMX ,BMX
Eté 2012,PFA,PF 23 ST LAURENT D'ARCE ,Moto Cross
Eté 2012,PFA,PF 29 ST CHRISTOPHE DE DOUBLE ,Moto Cross
Eté 2005,PFA,PFA HANDICAP AMBARES ,Voile
Eté 2012,PFA,PF 30 LA BREDE ,Roller in line hockey
Eté 2012,PFA,PF 30 LA BREDE ,Escrime
Eté 2012,PFA,PF 20 FLOIRAC ,Equitation
Eté 2012,PFA,PF 20 FLOIRAC ,Course d'Orientation
Eté 2012,PFA,PF 21 FARGUES SAINT HILAIRE  ,Sarbacane
Eté 2012,PFA,PF 21 FARGUES SAINT HILAIRE  ,Bike and Run
Eté 2012,PFA,PF 21 FARGUES SAINT HILAIRE  ,Tir à l'arc
Eté 2011,PFA,PF 25 AMBARES ,Planche à Voile - Fun
Eté 2011,PFA,PF 25 AMBARES ,Dériveur 420
Eté 2011,PFA,PF 25 AMBARES ,Optimist
Eté 2011,PFA,PF 25 AMBARES ,Kayak-polo
Eté 2011,PFA,PF 20 FLOIRAC ,Equitation
Eté 2011,PFA,PF 20 FLOIRAC ,Course d'Orientation
