NOM_SITE,ADRESSE_1,ADRESSE_2,CODE_POSTAL,COMMUNE,TELEPHONE,FAX,ADRESSE_MAIL,ADRESSE_WEB,CIVILTE_RESPONSABLE,NOM_RESPONSABLE,PRENOM_RESPONSABLE
Direction Enfance et Famille .,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05 56 99 33 33,,,,Madame,PLISSON,Karine
Tribunal pour enfants de Libourne,,22 rue Thiers - BP202,33506,Libourne cedex,,,,,,,
Tribunal pour enfants de Bordeaux,,Rue des frères Bonnie,33077,Bordeaux cedex,,,,,Madame,LAJOIE,Colette
Secteur Enfance 4,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3487,05.56.99.57.39,,,,,
Secteur Enfance 1,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3569,05.56.99.57.24,,,,,
Secteur Enfance 2,esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33/3361,05.56.99.57.24,,,,,
Secteur Enfance 3,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33,05.56.99.57.39,,,,,
Secteur Enfance 5,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3520,05.56.99.57.39,,,,,
Secteur Enfance 6,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3360,05.56.99.57.24,,,,,
Secteur Enfance 7,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3328,05.56.99.57.24,,,,,
Bureau Enfance 7,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3328,05.56.99.57.24,,,Madame,REDACTEUR,Secteur7
Bureau Enfance 2,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3361,05.56.99.57.24,,,Madame,DUPIN,Karine
Bureau Enfance Bordeaux Nord,esplanade Charles de Gaulle,,33074,Bordeaux  Cedex,05.56.99.33.33/3309,05.56.99.57.39,,,,,
Bureau Enfance 1,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3569,05.56.99.57.24,,,Madame,ALPHAND,Colette
Bureau Enfance Bordeaux Sud,esplanade Charles de Gaulle,,33074,Bordeaux cedex,0556 99.33.33/3425,05.56.99.57.39,,,Madame,JACA,Michèle
Bureau Enfance 6,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3360,05.56.99.57.24,,,,,
Bureau Enfance 5,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/3520,05.56.99.57.39,,,Madame,SAMMIER,Frédérique
Bureau Enfance 4,esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33/6729,05.56.99.57.39,,,Madame,DUPUY,Karine
Commission Locale d'Insertion Villenave d'Orn,Europarc,2 rue Gustave Hertz - B14,33600,Pessac,05.56.46.06.25,05.56.45.72.20,,,,,
Commission Locale d'Insertion Bordeaux Nord,23 quai de Paludate,,33800,Bordeaux,05.57.59.04.50,05.57.59.04.69,,,,,
Commission Locale d'Insertion Arcachon,16-18 rue Lafont,,33120,Arcachon,05.56.83.94.60,05.56.83.92.14,,,,,
Commission Locale d'Insertion Blaye,rue de la Libération,,33390,Blaye,05.57.42.84.20,05.57.42.09.02,,,Madame,MARENDA,Nicole
Commission Locale d'Insertion Bordeaux Sud,23 quai de Paludate,,33800,Bordeaux,05.57.59.04.50,05.57.59.04.69,,,,,
Commission Locale d'Insertion Cenon,1 rue des Garosses,,33310,Lormont,05.56.31.65.91,05.56.74.26.97,,,,,
Commission Locale d'Insertion Langon,34 cours du Général Leclerc,,33210,Langon,05 56 63 62 20,05 56 62 34 83,,,,,
Commission Locale d'Insertion Libourne,les Berges de l'Isle,189 avenue du Maréchal Foch,33500,Libourne,05.57.51.88.77,05.57.51.35.85,,,,,
Commission Locale d'Insertion Lormont,1 rue des Garosses,,33310,Lormont,05.56.31.65.91,05.56.74.26.97,,,,,
Commission Locale d'Insertion Mérignac,Europarc,2 rue Gustave Hertz - B14,33600,Pessac,05.56.46.06.25,05.56.45.72.20,,,Madame,PONCE,Anne Marie
Commission Locale d'Insertion Pessac,Europarc,2 rue Gustave Hertz - B14,33600,Pessac,05.56.46.06.25,05.56.45.72.70,,,Madame,VAN PAMELEN,Véronique
Commission Locale d'Insertion Lesparre,19 rue du Palais de Justice,,33340,Lesparre,05.56.41.07.38,05.56.41.09.10,,,,,
Service SDS Gironde,Esplanade Charles de Gaulle,,33074,Bordeaux Cédex,05.56.99.33.33,,,,Madame,GAUDRON,Emmanuelle
Service PH Gironde,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05 56 99 33 33,,,,Madame,KLIMOFF,Valérie
Secteur PH 1,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05 56 99 33,,,,,,
Secteur PH 2,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05 56 99 33 33,,,,,,
Secteur PH 3,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05 56 99 33 33,,,,Madame,FRASEZ-MICHAUD,Charlotte
Secteur PH 5,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05 56 99 33 33,,,,,,
Secteur PH 4,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05 56 99 33 33,,,,,,
Service SEPA Gironde,DGAS Service PA,Esplanade Charles de Gaulle,33074,Bordeaux,,,,,Madame,LE HYARIC CREZE,Angélique
Secteur PA 5,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,BATTAH,Lucille
Secteur PA 6,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,SUCH,Brigitte
Secteur PA 3,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Monsieur,DARRICARRERE,Lionel
Secteur PA 1,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33,,,,Madame,BOURDENS,M. Hélène
Secteur PA 2,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,BLANCHARD,Manon
Secteur PA 4,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,FONTBONNE,Coralie
Secteur PA 7,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,JOSEPH,Nicole
Secteur PA 9,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,BOUTINEAU,Marie
Secteur PA 10,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,SOUBIE NINET,Florence
Secteur PA 11,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,CHABRIER,Françoise
Secteur PA Hors département,,,,,,,,,,,
Secteur PA 8,Esplanade Charles de Gaulle,,33074,Bordeaux Cedex,05.56.99.33.33,,,,Madame,CABRERO,Delphine
Commission d'aide sociale de Bazas,,,,,,,,,,,
Commission d'aide sociale de Blaye,,,,,,,,,,,
Commission d'aide sociale de Bordeaux Pôle 1,,,,,,,,,,,
Commission d'aide sociale de Bordeaux Pôle 2,,,,,,,,,,,
Commission d'aide sociale de Castelnau,,,,,,,,,,,
Commission d'aide sociale de Créon,,,,,,,,,,,
Commission d'aide sociale d'Arcachon,,,,,,,,,,,
Commission d'aide sociale de la Rive droite,,,,,,,,,,,
Commission d'aide sociale de Langon,,,,,,,,,,,
Commission d'aide sociale Pôle de Libourne Ca,,,,,,,,,,,
Commission d'aide sociale Rive gauche Pôle de,,,,,,,,,,,
Commission d'aide sociale Rive gauche Pôle St,,,,,,,,,,,
Commission d'aide sociale de la Réole,,,,,,,,,,,
Territoire enfance 2,,,,,,,,,Madame,LE GENTIL,Cathy
Territoire enfance 1,,,,,,,,,Monsieur,TAJDIRT,Hammou
Territoire enfance 3,,,,,,,,,Madame,HAMDADI,Bouchra
Territoire enfance 4,,,,,,,,,Monsieur,LESPES,Vincent
Territoire enfance 5,,,,,,,,,Madame,GORODENCO,Cindy
Territoire enfance prévention 4,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Madame,PIETRALA,Stéphanie
Territoire enfance prévention 3,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Madame,MUSQUIN,Claudie
Territoire enfance prévention 2,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Madame,DUCHAMPS,Viviane
Territoire enfance prévention 1,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Madame,PORRES,Véronique
Territoire enfance prévention 5,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Madame,RIVERA,Eliane
Territoire enfance protection 5,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Monsieur,PAIN,Emmanuel
Territoire enfance protection 1,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Monsieur,LAFAYE,Julie
Territoire enfance protection 2,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Madame,SOLER,Julie
Territoire enfance protection 3,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Madame,SUBRENAT,Gaêlle
Territoire enfance protection 4,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,,,,,Madame,GUILBERT,Virginie
DPLE -,Esplanade Charles de Gaulle,,33074,Bordeaux cedex,05.56.99.33.33,,,,Madame,POMIROL,Nicole
Antenne Girondine d'Insertion de la Rive Gauc,Europarc,2 rue Gustave Hertz - B14,33600,Pessac,05.56.46.06.25,05.56.45.72.70,,,Madame,AMSILI,Laetitia
Antenne Girondine d'Insertion de Bordeaux,23 quai de Paludate,,33800,Bordeaux,05.57.59.04.50,,,,Madame,TOUZAN,Nicole
Antenne Girondine d'Insertion du Littoral,16, 18 rue Lafont,,33120,Arcachon,05.56.83.94.60,,,,Madame,MARGARA,Michèle
Antenne Girondine d'Insertion du Sud Gironde,34 crs du Général Leclerc,,33210,Langon,05 56 63 62 20,05 56 62 31 83,,,,AGI2,Sud Gironde
Antenne Girondine d'Insertion du Nord Gironde,Les berges de l'isle,189 av du Maréchal Foch,33500,Libourne,05.57.51.88.77,,,,,AGI1,Nord Gironde Libourne Blaye
Antenne Girondine d'Insertion de la Rive Droi,1 rue des Garosses,,33310,Lormont,05.56.31.65.91,05 56 74 26 97,,,Madame,AMSILI,Laetitia
Service RMI-RSA Gironde,DPLE - Service RMI-RSA de Gironde,Esplanade Charles de Gaulle,33074,Bordeaux,05.56.99.33.33,,,,Madame,KIEL,Hélène
Tribunal de Grande Instance de Bordeaux,Parquet des mineurs - Cité judiciaire,Rue des frères Bonié,33076,Bordeaux cedex,,,,,Madame,PONS,Sylvia
Tribunal de Grande Instance de Libourne,Parquet des mineurs,22 rue Thiers - BP 202,33506,Libourne Cedex,,,,,,,
Secteur MDPH Evaluation Suivi 5,,,,,,,,,Madame,JUSSY,Céline
Secteur MDPH Evaluation Suivi 4,,,,,,,,,Monsieur,BERCHE,Philippe
Secteur MDPH Evaluation Suivi 1,,,,,,,,,Madame,EL ALAOUI,Sara
Secteur MDPH Evaluation Suivi 2,,,,,,,,,Madame,LEONARD,Véronique
Secteur MDPH Evaluation Suivi 3,,,,,,,,,Madame,LAGARROSSE,Catherine
Secteur MDPH Gestion droits 4,,,,,,,,,Madame,SANTISTEBAN,Evelyne
Secteur MDPH Gestion droits 5,,,,,,,,,Madame,MILLAND,Marie José
Secteur MDPH Gestion droits 3,,,,,,,,,,,
Secteur MDPH Gestion droits 2,,,,,,,,,,,
Secteur MDPH Gestion droits 1,,,,,,,,,,,
Service MDPH MDPH-SAI,,,,,,,,,Madame,CAIS,Sandrine
Service MDPH MDPH-SGD,,,,,,,,,Madame,PEREUILH,Claudine
Service MDPH MDPH-SRM,,,,,,,,,Madame,DUFOURCET,Elsa
Service MDPH MDPH-SES,,,,,,,,,Madame,KONG,Elodie
Maison départementale MDPH,Immeuble Le Phénix,264 Boulevard Godard,33300,BORDEAUX,05 56 99 33 33,,,,Madame,RABBE,Héléne
CDEF Centre Départ. Enfance Famille,21 avenue de l'hippodrome,,33326,Eysines,05 56 16 11 60,,,,Madame,SIALI,Ouareda
Pôle Solidarité CUB Nord Ouest,,,,,,,,,,,
Pôle Solidarité Bordeaux,,,,,,,,,,,
Pôle Solidarité Bassin,,,,,,,,,,,
Pôle Solidarité CUB Rive Droite,,,,,,,,,,,
Pôle Solidarité CUB Sud Ouest,,,,,,,,,,,
Pôle Solidarité Libournais,,,,,,,,,,,
