OBJECTID,ID,Nom,Label,Code_SINOE,Code_Insee,MOA,Adresse_1,Adresse_2,CodePostal,Commune,Téléphone,Code_MOA,M_Adresse_1,M_Adresse_2,M_CodePostal,M_Commune,M_Téléphone,Horaires,L,M,Me,J,V,S,D,D_DV,D_FER,D_GRAV,D_ENC,D_BOIS,D_CART,D_D3E,D_PLAST,D_TEXT,D_DASRI,DD_HM,DD_PILES,DD_DMS,B_VERRE,D_PRO,ACCES_PRO,Code_Structure_Intercomm,LAT,LON
1,4,Déchèterie d'Ambares-et-Lagrave,Ambares-et-Lagrave,2422,33003,CUB,Avenue Jules Ferry,,33440,Ambarès et Lagrave,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,,FAUX,,28,44.932590526000070,-0.504919548999965
2,5,Déchèterie d'Ambès,Ambès,2433,33004,CUB,22 rue jean Mermoz,,33810,Ambès,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 
Lundi, Mercredi, Vendredi : 14h-19h
Samedi : 10h-12h et 14h-19h
Dimanche : 10h-12h
du 01/10 au 01/04 :
Lundi, Mercredi, Vendredi : 14h-18h
Samedi : 10h-12h et 14h-18h
Dimanche : 10h-12h",VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,45.010095509000053,-0.538321552999946
3,147,Déchèterie d'Andernos-Les-Bains,Andernos-les-Bains,3485,33005,COBAN ATLANTIQUE,ZA CASI - Rue Gustave Eiffel,,33510,Andernos-Les-Bains,,624,46 avenue des colonies,,33510,ANDERNOS LES BAINS,05.57.76.17.17,"Du lundi au Samedi : 9h-12h30 / 14h-18h30
Dimanche : 9h-12h30
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,FAUX,,36,44.766416585000059,-1.071441238999967
4,141,Déchèterie d'Arcachon,Arcachon,3466,33009,COBAS,Bd Mestrezat,,33120,Arcachon,,17518,2 allée d'Espagne - BP147,,33311,ARCACHON CEDEX,05.56.22.33.44,"Lundi et Samedi : 8h-12h30 / 13h30-18h30
Du Mardi au Vendredi : 8h-18h30
Dimanche : 8h-12h
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,18,44.651885664000076,-1.148205789999963
5,145,Déchèterie d'Arès,Arès,2099,33011,COBAN ATLANTIQUE,Zones d'Activités - Route du Temple,,33740,Arès,,624,46 avenue des colonies,,33510,ANDERNOS LES BAINS,05.57.76.17.17,"Du lundi au Samedi : 9h-12h30 / 14h-18h30
Dimanche : 9h-12h30
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,FAUX,,36,44.777048606000051,-1.120840478999980
6,154,Déchèterie d'Arnahurt,Arnahurt,0,0,CDC DE MONTESQUIEU,ZA de l'Arnahurt,,33650,La Brède,,2112,"1, allée Jean Rostand",,33651,MARTILLAC,05 57 96 01 20,"• Lundi à Vendredi : 13h00 - 18h00
• Samedi :                     8h30 - 18h00
• Dimanche :               8h30 - 13h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,,VRAI,,25,44.687902643000029,-0.505791818999967
7,158,Déchèterie d'Arsac,Arsac,10776,33012,CDC MEDOC-ESTUAIRE,Avenue de Lesclauze - Lieu-dit Pas de Monteil,,33460,Arsac,,6105,26 rue de l'Abbé Frémont,,33460,ARSAC,05 57 88 08 08,"Lundi au samedi de 8h30 à 12h et de 13h30 à 18h
Dimanche de 8h30 à 12h",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,VRAI,,29,44.980681129000061,-0.684448778999979
8,148,Déchèterie d'Audenge,Audenge,3416,33019,COBAN ATLANTIQUE,Zone artisanale,,33980,Audenge,,624,46 avenue des colonies,,33510,ANDERNOS LES BAINS,05.57.76.17.17,"Du lundi au Samedi : 9h-12h30 / 14h-18h30
Dimanche : 9h-12h30
",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,VRAI,VRAI,VRAI,,FAUX,,36,44.699963472000036,-0.983403286999931
9,6,Déchèterie de Bassens,Bassens,5017,33032,CUB,rue Franklin,,33530,Bassens,,854,Esplanade Charles de Gaulle,,33076,BORDEAUX CEDEX,05.56.99.84.84,"du 01/04 au 30/09 : 9h00-12h30 et 13h15-19h00
du 01/10 au 01/04 : 9h00-12h30 et 13h15-18h00",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,FAUX,FAUX,VRAI,VRAI,VRAI,,FAUX,,28,44.895911705000060,-0.525361836999934
10,161,Déchèterie de Bazas,Bazas,33673,33036,CDC DU BAZADAIS,Route de Lerm,,33430,Bazas,,642,"Lieu dit """"Coucut"""" route de Lherm",,33430,BAZAS,05.56.25.28.81,"Lundi au vendredi : 9h-12h et 14h-17h 
Samedi 8h-12h30",VRAI,VRAI,VRAI,VRAI,VRAI,VRAI,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,,VRAI,,23,44.412022260000072,-0.214479595999933
