Comp_Lib_Simplif,MO_N_Int,MO_Type,MO_Lib,MO_Lib_Simplif,COM_N_INSEE,NOM_COMM_min,Ass_Collectif,Situ
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33014,Les Artigues-de-Lussac,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33108,Castillon-la-Bataille,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33173,Francs,Non présent,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33181,Gardegan-et-Tourtirac,Non présent,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33261,Lussac,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33290,Montagne,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33296,Mouliets-et-Villemartin,Non présent,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33302,Néac,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33328,Pomerol,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33342,Puisseguin,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33384,Saint-Christophe-Des-Bardes,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33390,Sainte-Colombe,Non présent,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33394,Saint-Emilion,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33396,Saint-Etienne-de-Lisse,Non présent,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33406,Saint-Genès-de-Castillon,Non présent,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33420,Saint-Hippolyte,Non présent,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33426,Saint-Laurent-Des-Combes,Non présent,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33437,Saint-Magne-de-Castillon,Existant ou programmé,2012
Assainissement collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33459,Saint-Pey-d'Armens,Non présent,2012
