COMP_LIB_SIMPLIF,MO_N_INT,MO_TYPE,MO_LIB,MO_LIB_SIMPLIF,COM_N_INSEE,COM_NOM_MIN,SITU
Eau potable,9945,Syndicat,SIAEPA  de Lerm et Musset,LERM ET MUSSET,33155,Escaudes,2012
Eau potable,9945,Syndicat,SIAEPA  de Lerm et Musset,LERM ET MUSSET,33188,Giscos,2012
Eau potable,9945,Syndicat,SIAEPA  de Lerm et Musset,LERM ET MUSSET,33190,Goualade,2012
Eau potable,9945,Syndicat,SIAEPA  de Lerm et Musset,LERM ET MUSSET,33232,Lartigue,2012
Eau potable,9945,Syndicat,SIAEPA  de Lerm et Musset,LERM ET MUSSET,33239,Lerm-et-Musset,2012
Eau potable,9945,Syndicat,SIAEPA  de Lerm et Musset,LERM ET MUSSET,33450,Saint-Michel-de-Castelnau,2012
Eau potable,9946,Syndicat,SIAEPA des Billaux Lalande de Pomerol,LES BILLAUX LALANDE DE POMEROL,33052,Les Billaux,2012
Eau potable,9946,Syndicat,SIAEPA des Billaux Lalande de Pomerol,LES BILLAUX LALANDE DE POMEROL,33222,Lalande-de-Pomerol,2012
Eau potable,9949,Syndicat,SIAEPA de Louchats,LOUCHATS,33197,Guillos,2012
Eau potable,9949,Syndicat,SIAEPA de Louchats,LOUCHATS,33251,Louchats,2012
Eau potable,9949,Syndicat,SIAEPA de Louchats,LOUCHATS,33310,Origne,2012
Eau potable,9950,Syndicat,SIAEPA  de Ludon,LUDON MACAU LABARDE,33211,Labarde,2012
Eau potable,9950,Syndicat,SIAEPA  de Ludon,LUDON MACAU LABARDE,33256,Ludon-Médoc,2012
Eau potable,9950,Syndicat,SIAEPA  de Ludon,LUDON MACAU LABARDE,33262,Macau,2012
Eau potable,9905,Syndicat,SIAEPA  de Lyde,LYDE,33033,Baurech,2012
Eau potable,9905,Syndicat,SIAEPA  de Lyde,LYDE,33084,Cambes,2012
Eau potable,9905,Syndicat,SIAEPA  de Lyde,LYDE,33381,Saint-Caprais-de-Bordeaux,2012
Eau potable,9952,Syndicat,SIAEPA  de Margaux,MARGAUX ARSAC CANTENAC SOUSSANS,33012,Arsac,2012
Eau potable,9952,Syndicat,SIAEPA  de Margaux,MARGAUX ARSAC CANTENAC SOUSSANS,33091,Cantenac,2012
Eau potable,9952,Syndicat,SIAEPA  de Margaux,MARGAUX ARSAC CANTENAC SOUSSANS,33268,Margaux,2012
Eau potable,9952,Syndicat,SIAEPA  de Margaux,MARGAUX ARSAC CANTENAC SOUSSANS,33517,Soussans,2012
Eau potable,9953,Syndicat,SIAEPA  de Mongauzy,MONGAUZY,33024,Bagas,2012
Eau potable,9953,Syndicat,SIAEPA  de Mongauzy,MONGAUZY,33066,Bourdelles,2012
Eau potable,9953,Syndicat,SIAEPA  de Mongauzy,MONGAUZY,33158,Les Esseintes,2012
Eau potable,9953,Syndicat,SIAEPA  de Mongauzy,MONGAUZY,33171,Fosses-et-Baleyssac,2012
Eau potable,9953,Syndicat,SIAEPA  de Mongauzy,MONGAUZY,33221,Lamothe-Landerron,2012
Eau potable,9953,Syndicat,SIAEPA  de Mongauzy,MONGAUZY,33250,Loubens,2012
Eau potable,9953,Syndicat,SIAEPA  de Mongauzy,MONGAUZY,33287,Mongauzy,2012
Eau potable,9953,Syndicat,SIAEPA  de Mongauzy,MONGAUZY,33291,Montagoudin,2012
