COMP_LIB_SIMPLIF,MO_N_INT,MO_TYPE,MO_LIB,MO_LIB_SIMPLIF,COM_N_INSEE,COM_NOM_MIN,SITU
Assainissement non collectif,9921,Syndicat,SIAEPA de Castets,CASTETS EN DORTHE,33106,Castets-en-Dorthe,2012
Assainissement non collectif,9921,Syndicat,SIAEPA de Castets,CASTETS EN DORTHE,33130,Coimères,2012
Assainissement non collectif,9921,Syndicat,SIAEPA de Castets,CASTETS EN DORTHE,33279,Mazères,2012
Assainissement non collectif,9921,Syndicat,SIAEPA de Castets,CASTETS EN DORTHE,33357,Roaillan,2012
Assainissement non collectif,9921,Syndicat,SIAEPA de Castets,CASTETS EN DORTHE,33432,Saint-Loubert,2012
Assainissement non collectif,9921,Syndicat,SIAEPA de Castets,CASTETS EN DORTHE,33457,Saint-Pardon-de-Conques,2012
Assainissement non collectif,9921,Syndicat,SIAEPA de Castets,CASTETS EN DORTHE,33465,Saint-Pierre-de-Mons,2012
Assainissement non collectif,19875,Syndicat,SIAEPA  de Caudrot,CAUDROT,33102,Casseuil,2012
Assainissement non collectif,19875,Syndicat,SIAEPA  de Caudrot,CAUDROT,33111,Caudrot,2012
Assainissement non collectif,19875,Syndicat,SIAEPA  de Caudrot,CAUDROT,33367,Saint-André-du-Bois,2012
Assainissement non collectif,19875,Syndicat,SIAEPA  de Caudrot,CAUDROT,33403,Sainte-Foy-la-Longue,2012
Assainissement non collectif,19875,Syndicat,SIAEPA  de Caudrot,CAUDROT,33427,Saint-Laurent-du-Bois,2012
Assainissement non collectif,19875,Syndicat,SIAEPA  de Caudrot,CAUDROT,33428,Saint-Laurent-du-Plan,2012
Assainissement non collectif,19875,Syndicat,SIAEPA  de Caudrot,CAUDROT,33440,Saint-Martial,2012
Assainissement non collectif,19875,Syndicat,SIAEPA  de Caudrot,CAUDROT,33444,Saint-Martin-de-Sescas,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33016,Asques,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33018,Aubie-et-Espessas,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33082,Cadillac-en-Fronsadais,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33114,Cavignac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33123,Cezac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33142,Cubnezais,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33143,Cubzac-les-Ponts,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33174,Fronsac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33179,Galgon,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33183,Gauriaguet,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33219,La Lande-de-Fronsac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33259,Lugon-et-L'Ile-du-Carnay,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33266,Marcenais,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33272,Marsas,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33295,Mouillac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33317,Périssac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33321,Peujard,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33339,Prignac-et-Marcamps,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33356,La Riviere,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33364,Saillans,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33365,Saint-Aignan,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33366,Saint-André-de-Cubzac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33371,Saint-Antoine,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33407,Saint-Genès-de-Fronsac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33414,Saint-Germain-de-la-Riviere,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33415,Saint-Gervais,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33425,Saint-Laurent-d'Arce,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33451,Saint-Michel-de-Fronsac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33470,Saint-Romain-la-Virvée,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33495,Salignac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33524,Tarnes,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33542,Vérac,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33548,Villegouge,2012
Assainissement non collectif,17150,Syndicat,SIAEPA  du Cubzadais,CUBZADAIS FRONSADAIS,33553,Virsac,2012
Assainissement non collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33014,Les Artigues-de-Lussac,2012
Assainissement non collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33108,Castillon-la-Bataille,2012
Assainissement non collectif,9932,Syndicat,SIEA de l'Est du Libournais,EST DU LIBOURNAIS,33173,Francs,2012
