COM_N_INSEE,COM_NOM_MIN,AC_PRIX_TTC,ANNEE
33001,Abzac,"3,24",2011
33002,Aillas,"3,23",2011
33003,Ambarès-et-Lagrave,"1,56",2011
33004,Ambès,"1,56",2011
33005,Andernos-les-Bains,"2,11",2011
33006,Anglade,"2,44",2011
33007,Arbanats,"3,39",2011
33009,Arcachon,"2,11",2011
33010,Arcins,"1,91",2011
33011,Arès,"2,11",2011
33012,Arsac,"3,88",2011
33013,Artigues-près-Bordeaux,"1,56",2011
33014,Les Artigues-de-Lussac,"3,20",2011
33015,Arveyres,"3,30",2011
33016,Asques,"2,53",2011
33018,Aubie-et-Espessas,"2,74",2011
33019,Audenge,"2,11",2011
33021,Auros,"2,12",2011
33022,Avensan,"3,11",2011
33023,Ayguemorte-les-Graves,"2,85",2011
33029,Le Barp,"1,89",2011
33030,Barsac,"2,6",2011
33032,Bassens,"1,56",2011
33033,Baurech,"2,87",2011
33035,Bayon-sur-Gironde,"3,39",2011
33036,Bazas,"1,72",2011
33037,Beautiran,"2,41",2011
33039,Bègles,"1,56",2011
33040,Beguey,"3,5",2011
33042,Belin-Beliet,"2,65",2011
33045,Belvès-de-Castillon,"2,36",2011
33046,Bernos-Beaulac,"3,6",2011
33047,Berson,"2,90",2011
33049,Beychac-et-Caillau,"2,84",2011
33050,Bieujac,"2,1",2011
33051,Biganos,"2,11",2011
33052,Les Billaux,"2,64",2011
33056,Blanquefort,"1,56",2011
33057,Blasimon,"1,91",2011
33058,Blaye,"1,48",2011
33060,Bommes,"1,13",2011
33063,Bordeaux,"1,56",2011
33065,Bouliac,"1,56",2011
33067,Bourg,"3,39",2011
33069,Le Bouscat,"1,56",2011
33070,Brach,"2,79",2011
33071,Branne,"1,99",2011
33072,Brannens,"2,18",2011
33073,Braud-et-Saint-Louis,"1,59",2011
33075,Bruges,"1,56",2011
33076,Budos,"3,91",2011
33077,Cabanac-et-Villagrains,"2,43",2011
33078,Cabara,"1,95",2011
33079,Cadarsac,"3,26",2011
33080,Cadaujac,"2,63",2011
33081,Cadillac,"2,8",2011
33082,Cadillac-en-Fronsadais,"2,74",2011
