COM_N_INSEE,COM_NOM_MIN,EAU_PRIX_TTC,ANNEE
33001,Abzac,"1,67",2011
33002,Aillas,"2,26",2011
33003,Ambarès-et-Lagrave,"1,52",2011
33004,Ambès,"2,5",2011
33005,Andernos-les-Bains,"1,12",2011
33006,Anglade,"1,59",2011
33007,Arbanats,"1,70",2011
33008,Arbis,"1,87",2011
33009,Arcachon,"2,24",2011
33010,Arcins,"2,81",2011
33011,Arès,"1,42",2011
33012,Arsac,"1,74",2011
33013,Artigues-près-Bordeaux,"1,52",2011
33014,Les Artigues-de-Lussac,"1,92",2011
33015,Arveyres,"1,61",2011
33016,Asques,"1,51",2011
33017,Aubiac,"1,85",2011
33018,Aubie-et-Espessas,"1,51",2011
33019,Audenge,"1,15",2011
33020,Auriolles,"1,72",2011
33021,Auros,"1,54",2011
33022,Avensan,"1,59",2011
33023,Ayguemorte-les-Graves,"1,59",2011
33024,Bagas,"2,6",2011
33025,Baigneaux,"1,61",2011
33026,Balizac,"1,48",2011
33027,Barie,"2,26",2011
33028,Baron,"1,56",2011
33029,Le Barp,"1,86",2011
33030,Barsac,"1,62",2011
33031,Bassanne,"2,26",2011
33032,Bassens,"1,52",2011
33033,Baurech,"2,22",2011
33034,Bayas,"1,54",2011
33035,Bayon-sur-Gironde,"1,45",2011
33036,Bazas,"1,65",2011
33037,Beautiran,"1,70",2011
33038,Bégadan,"2,0",2011
33039,Bègles,"2,5",2011
33040,Beguey,"1,92",2011
33042,Belin-Beliet,"2,39",2011
33043,Bellebat,"1,61",2011
33044,Bellefond,"1,65",2011
33045,Belvès-de-Castillon,"1,87",2011
33046,Bernos-Beaulac,"1,86",2011
33047,Berson,"1,64",2011
33048,Berthez,"2,26",2011
33049,Beychac-et-Caillau,"1,93",2011
33050,Bieujac,"1,54",2011
33051,Biganos,"1,20",2011
33052,Les Billaux,"1,80",2011
33053,Birac,"1,85",2011
33054,Blaignac,"2,26",2011
33055,Blaignan,"2,26",2011
33056,Blanquefort,"2,5",2011
33057,Blasimon,"1,65",2011
33058,Blaye,"2,14",2011
33059,Blésignac,"1,94",2011
33060,Bommes,"1,78",2011
33061,Bonnetan,"1,93",2011
33062,Bonzac,"1,54",2011
33063,Bordeaux,"2,5",2011
33064,Bossugan,"1,65",2011
33065,Bouliac,"1,57",2011
33066,Bourdelles,"2,6",2011
33067,Bourg,"1,45",2011
33068,Bourideys,"2,33",2011
33069,Le Bouscat,"2,5",2011
33070,Brach,"2,88",2011
33071,Branne,"1,70",2011
33072,Brannens,"1,49",2011
33073,Braud-et-Saint-Louis,"1,64",2011
33074,Brouqueyran,"1,49",2011
33075,Bruges,"2,5",2011
33076,Budos,"2,4",2011
33077,Cabanac-et-Villagrains,"2,26",2011
33078,Cabara,"1,65",2011
33079,Cadarsac,"1,56",2011
33080,Cadaujac,"1,9",2011
33081,Cadillac,"1,36",2011
33082,Cadillac-en-Fronsadais,"1,51",2011
33083,Camarsac,"1,93",2011
33084,Cambes,"2,22",2011
33085,Camblanes-et-Meynac,"2,3",2011
33086,Camiac-et-Saint-Denis,"1,56",2011
33087,Camiran,"2,35",2011
33088,Camps-sur-L'Isle,"1,62",2011
33089,Campugnan,"1,59",2011
33090,Canéjan,"1,56",2011
33091,Cantenac,"1,69",2011
33092,Cantois,"1,61",2011
33093,Capian,"1,90",2011
33094,Caplong,"1,90",2011
33095,Captieux,"1,90",2011
33096,Carbon-Blanc,"1,52",2011
33097,Carcans,"1,34",2011
33098,Cardan,"1,87",2011
33099,Carignan-de-Bordeaux,"1,57",2011
33100,Cars,"1,59",2011
33101,Cartelègue,"1,64",2011
33102,Casseuil,"1,89",2011
33103,Castelmoron-d'Albret,"1,86",2011
33104,Castelnau-de-Médoc,"1,59",2011
33105,Castelviel,"1,61",2011
33106,Castets-en-Dorthe,"1,54",2011
33107,Castillon-de-Castets,"2,26",2011
33108,Castillon-la-Bataille,"1,92",2011
33109,Castres-Gironde,"1,70",2011
33111,Caudrot,"1,95",2011
33112,Caumont,"1,86",2011
33113,Cauvignac,"3,21",2011
33114,Cavignac,"1,51",2011
33115,Cazalis,"2,21",2011
33116,Cazats,"1,85",2011
33117,Cazaugitat,"1,86",2011
33118,Cénac,"1,57",2011
33119,Cenon,"2,5",2011
33120,Cerons,"1,93",2011
33121,Cessac,"1,61",2011
33122,Cestas,"1,25",2011
33123,Cezac,"1,51",2011
33124,Chamadelle,"1,67",2011
33125,Cissac-Médoc,"1,72",2011
33126,Civrac-de-Blaye,"1,59",2011
33127,Civrac-sur-Dordogne,"1,65",2011
33128,Civrac-en-Médoc,"2,0",2011
33129,Cleyrac,"1,86",2011
33130,Coimères,"1,54",2011
33131,Coirac,"1,61",2011
33132,Comps,"1,45",2011
33133,Coubeyrac,"2,6",2011
33134,Couqueques,"2,26",2011
33135,Courpiac,"1,65",2011
33136,Cours-de-Monsegur,"1,78",2011
33137,Cours-les-Bains,"3,21",2011
33138,Coutras,"1,72",2011
33139,Coutures,"1,78",2011
33140,Créon,"1,93",2011
33141,Croignon,"1,88",2011
33142,Cubnezais,"1,51",2011
33143,Cubzac-les-Ponts,"1,51",2011
33144,Cudos,"1,80",2011
33145,Cursan,"1,88",2011
33146,Cussac-Fort-Médoc,"2,86",2011
33147,Daignac,"1,56",2011
33148,Dardenac,"1,56",2011
33149,Daubeze,"1,61",2011
33150,Dieulivol,"1,78",2011
33151,Donnezac,"1,59",2011
33152,Donzac,"1,61",2011
33153,Doulezon,"2,6",2011
33154,Les Eglisottes-et-Chalaures,"1,58",2011
33155,Escaudes,"2,49",2011
33156,Escoussans,"1,87",2011
33157,Espiet,"1,56",2011
33158,Les Esseintes,"2,6",2011
33159,Etauliers,"1,64",2011
33160,Eynesse,"1,90",2011
33161,Eyrans,"1,59",2011
33162,Eysines,"2,5",2011
33163,Faleyras,"1,94",2011
33164,Fargues,"1,84",2011
33165,Fargues-Saint-Hilaire,"1,93",2011
33166,Le Fieu,"1,62",2011
33167,Floirac,"2,5",2011
33168,Flaujagues,"2,6",2011
33169,Floudes,"2,26",2011
33170,Fontet,"2,26",2011
33171,Fosses-et-Baleyssac,"2,6",2011
33172,Fours,"1,59",2011
33173,Francs,"1,87",2011
33174,Fronsac,"1,46",2011
33175,Frontenac,"1,70",2011
33176,Gabarnac,"1,56",2011
33177,Gaillan-en-Médoc,"2,5",2011
33178,Gajac,"1,85",2011
