Sapi_Type,EPN/PAPI,Code,Pays,CDC,Population 1999,Code Insee Commune,Commune,Nom de la structure,Adresse accueil public,CP,CEDEX,Tel,adresse administrative,Fonction du responsable de la structure,Mél principal (adresse diffusable au près du public),Site Web,Fonction du Contact N°1,Grade N°1,Mél du contact N°1 (non diffusé),Tps travail hebdo N°1 (en heures),% tps consacré à accès internet N°1,Age N°1,Contrat N°1,Niveau formation N°1,Domaine formation N°1,Form. Qualif. N°1,Nom Contact N°2,Fonction Contact N°2,Grade N°2,Mél contact N°2,Tps hebdo N°2,% tps internet N°2,Age N°2,Contrat N°2,Niveau formation N°2,Domaine formation N°2,Form. Qualif. N°2, ,Nom Contact N°3,Fonction Contact N°3,Grade N°3,Mél contact N°3,Tps hebdo N°3,% tps internet N°3,Age N°3,Contrat N°3,Niveau formation N°3,Domaine formation N°3,Form. Qualif. N°3,,Horaires détaillés d'ouverture de l'accès internet,internet réservé inscrits ou adhérents,Coût de l'adhésion ou inscription annuelle,Accès libre à Internet Gratuit ou payant ?,Tarif horaire internet,HypNbH,Nbre heures ouverture hebdo,ouvert Soir,ouvert WE,HypCapa,HypNbPC,Nbre PC,Nbre postes Internet,implantation postes,Nbre professionnels Internet,Effectif total,Nbre bénévoles,Année ouverture SAPI,Nombre d'années SAPI, ,Nbre inscrits SAPI,Nbre visites/an,Nbre visiteurs/jour,Enfants (moins de 11 ans),Juniors (12-17 ans),Adultes (18-60 ans),Seniors (+ de 60 ans), ,Accès Libre,Initiation internet,Conseils équipement,e-administration,création artistique,Messagerie,Chat,Téléchargement,pages web,Animations,OPAC,Sélection sites, ,Emploi,Scolaires,Séniors,Assos,handicap,Touristes,Entreprises,,Type structure portage,Typologie DLL-ADBDP,"Si bibliothèque, le Prêt est informatisé",Labels,Affiliation à des réseaux associatifs régionaux ou nationaux,"Divers : Autres activités, projets ...",Nom personne répondant,Mél. Personne répondant, ,Médiacité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,Cyber-base,ECM,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
Informatique,EPN,314B,1-Médoc,Centre Médoc,,314,Pauillac,Espace multimédia,20 Route de la rivière,33250,,05 56 59 67 90,,Animateur,cyberbase@pauillac-medoc.com,pauillac.cyber-base.org,Animateur Multimédia,Adjoint d'animation,,35,"0,8",32,CDD,Bac+4,Littéraire,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi : 14h00-18h15 Mardi au vendredi : 10h00-12h30 /14h00-18h15,adhésion,10,Payant,2 à 3€,30,30,,,270,9,9,6 à 10,,1,1,,2004,5 ans et +,,150,5718,10 à 50,,Oui,Oui,,,Oui,Oui,,Oui,Oui,Oui,Oui,,,Oui,,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Municipale,,,Cyber-base,,,LUDOVIC GEFFIE,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,Cyber-base,,,Net Public,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,314A,1-Médoc,Centre Médoc,,314,Pauillac,Bibliothèque municipale,13 Rue Aristide Briand,33250,,05 56 59 02 20,,,bibliotheque.pauillac@wanadoo.fr,www.pauillac-medoc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi vendredi :  15h-18h Mercredi : 10h-18h Jeudi : 10h-12h Samedi : 10h-15h,,,,,21,21,,Ouvert WE,105,5,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,Projet,545A,1-Médoc,Centre Médoc,,545,Vertheuil,Vertheuil à la page – Bibliothèque municipale,Cours d'honneur,33180,,05 56 41 84 89,,"bibliothécaire, contrat avenir",bibliothequedevertheuil@orange.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,0,0,,,,,1,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,B2,Oui,,,,,,,,0,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,214A,1-Médoc,Lacs Médocains,,214,Lacanau,Bibliothèque Lacanau Océan,Salle l’Escoure Place de l’Europe,33680,,05 56 03 17 26,,Adjointe du patrimoine,biblio.ocean@mairie-lacanau.fr,www.mairie-lacanau.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Gratuit,,15,15,,Ouvert WE,30,2,2,1 ou 2,postes dispersés,0,2,,,1 à 2 ans,,,,moins de 10,,,Oui,,,Oui,Oui,,,,Oui,,,,,,,,Oui,,,,,,,,Municipale,B2,Oui,,,,,,,,0,,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,214C,1-Médoc,Lacs Médocains,,214,Lacanau,Bibliothèque Lacanau ville,Avenue de la Libération,33680,,05 56 03 52 83,,Adjointe du patrimoine,biblio.ville@mairie-lacanau.fr,www.mairie-lacanau.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Gratuit,,10,10,,Ouvert WE,20,2,2,1 ou 2,postes dispersés,0,1,,,1 à 2 ans,,,,moins de 10,,,Oui,,,Oui,Oui,,,,Oui,,,,,,,,Oui,,,,,,,,Municipale,B2,Oui,,,,,,,,0,,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,214E,1-Médoc,Lacs Médocains,,214,Lacanau,PIJ,Espace Enfance Jeunesse – Av. Albert François,33680,,05 56 26 03 08,,,pij.lacanau@wanadoo.fr,www.mairie-lacanau.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi/Vendredi : 9h-12h/14h-19h Samedi : 14h-19h ,,,Gratuit,,37,37,,Ouvert WE,37,1,1,1 ou 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,,,DUI 2007,,,,,,Net Public,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,214D,1-Médoc,Lacs Médocains,,214,Lacanau,CCAS,"1, rue Edmont About",33681,,05 57 17 08 20,,Assistante sociale,ccas@mairie-lacanau.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,15,,,,15,1,1,1 ou 2,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,,,,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,12A,1-Médoc,Médoc-Estuaire,,12,Arsac,Bibliothèque municipale,Mairie,33460,,05 56 58 82 23,,,bibliotheque@arsac.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,15,,,,30,2,2,1 ou 2,,1,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,Municipale,,,,,,,,,Médias-Cité 2004,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,70A,1-Médoc,Médulienne,305,70,Brach,Bibliothèque municipale,,33480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi : 17h-18h30 Samedi : 10h-11H,,,Gratuit,,15,,,Ouvert WE,15,1,1,1 ou 2,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,EPN,540A,1-Médoc,Pointe du Médoc,,540,Vendays-Montalivet,Bibliothèque municipale,11 Place de la Mairie – BP1,33930,,05 56 73 18 48,,elu,coinlecturevm@yahoo.fr,,,Agent du patrimoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payant,2 à 3€,26,26,ouvert Soir,Ouvert WE,182,7,7,6 à 10,espace multimédia,4,4,,,2 à 5 ans,,241,,,,,Oui,,,Oui,Oui,Oui,Oui,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,Oui,,,Municipale,B2,Oui,,,,,,,,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,514A,1-Médoc,Pointe du Médoc,,514,Soulac-sur-Mer,Office du Tourisme,BP 2,33780,,05 56 09 86 61,,,contact@soulac.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payant,,15,,,Ouvert WE,30,2,2,1 ou 2,,1,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,Oui,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,193A,1-Médoc,Pointe du Médoc,742,193,Grayan-et-l'Hôpital,Bibliothèque municipale,,33590,,,,,bibliothequegrayan@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,15,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emploi-Formation,EPN,51B,2-Bassin,Bassin Arcachon Nord Atlantique,,51,Biganos,L'Encrier,1 Rue Jean Zay,33380,,05 57 70 61 04,,DIRECTRICE,ass.lencrier@wanadoo.fr,www.lencrier.org,Animatrice TIC,,,26,1,,CDD contrat aidé,,,ATIC,,,,,,,,,,,,,,,,,,,,,,,,,Lundi au vendredi : 9h-12H/13h30-17H,,,Gratuit,,32,32,,,160,5,5,3 à 5,,1,5,,2001,5 ans et +,,,,,,,Oui,,,Oui,Oui,,Oui,,Oui,,,Oui,,,,,Oui,,,,Oui,,,,Associative,,,Net Public,FNARS,,Monique sacareau,,,,,DUI 2007,,,,,,Net Public,,,,,,,,,,,,,,,,,,,
