#,$id,broader_concept,Titre du du niveau,Commentaire (description) du titre du niveau,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,libellé alternatif,
lang,,,fr,fr,fr,fr,fr,fr,fr,fr,
url,skos:Concept,skos:broader,skos:prefLabel,skos:definition,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,skos:altLabel,
type,,url,string,string,string,string,string,string,string,string,
,#1,,Andernos-les-Bains,Canton,"Andernos-les-Bains (Gironde, France ; canton)",CANTON000000000000000338,3301,,,,
,#1-1,#1,Andernos-les-Bains,Commune,"Andernos-les-Bains (Gironde, France)",COMMUNE00000000000013367,33005,"44.7425, -1.09028",33510,6452262,
,#1-1-1,#1-1,Collège André Lahaye,Bâtiment,"Andernos-les-Bains (Gironde, France) -- Collège André Lahaye",S0111,,"44.745953, -1.088021",,,
,#1-1-10,#1-1,Capsus,Quartier,"Andernos-les-Bains (Gironde, France) -- Capsus",PAIHABIT0000000050819738,,"44,7468099010001, -1,07731674399992",,,
,#1-1-11,#1-1,Les Bruyères,Quartier,"Andernos-les-Bains (Gironde, France) -- Les Bruyères",PAIHABIT0000000050819739,,"44,7465245540001, -1,07142638899995",,,
,#1-1-12,#1-1,Hameau de Manolo,Quartier,"Andernos-les-Bains (Gironde, France) -- Hameau de Manolo",PAIHABIT0000000050819736,,"44,7445959660001, -1,06593972499991",,,
,#1-1-13,#1-1,Massurat,Quartier,"Andernos-les-Bains (Gironde, France) -- Massurat",PAIHABIT0000000050820781,,"44,7316438340001, -1,07024155999994",,,
,#1-1-14,#1-1,Taluque,Quartier,"Andernos-les-Bains (Gironde, France) -- Taluque",PAIHABIT0000000050819750,,"44,7477210960001, -1,09320226499995",,,
,#1-1-15,#1-1,Le Mauret,Quartier,"Andernos-les-Bains (Gironde, France) -- Le Mauret",PAIHABIT0000000050820779,,"44,7295298340001, -1,07193238899993",,,
,#1-1-16,#1-1,Coulin,Quartier,"Andernos-les-Bains (Gironde, France) -- Coulin",PAIHABIT0000000050819758,,"44,7478663250001, -1,10845940499991",,,
,#1-1-17,#1-1,Le Broustey,Quartier,"Andernos-les-Bains (Gironde, France) -- Le Broustey",PAIHABIT0000000050819749,,"44,7386804400001, -1,09818034299991",,,
,#1-1-18,#1-1,Les Mouettes,Quartier,"Andernos-les-Bains (Gironde, France) -- Les Mouettes",PAIHABIT0000000050819751,,"44,758143057, -1,09475073099992",,,
,#1-1-19,#1-1,Les Bois du Coulin,Quartier,"Andernos-les-Bains (Gironde, France) -- Les Bois du Coulin",PAIHABIT0000000315756536,,"44,7536830620001, -1,10614789499994",,,
,#1-1-2,#1-1,Gendarmerie,Bâtiment,"Andernos-les-Bains (Gironde, France) -- Gendarmerie",S0120,,"44.750202, -1.108305",,,
,#1-1-20,#1-1,Le Bois des Sylvains,Quartier,"Andernos-les-Bains (Gironde, France) -- Le Bois des Sylvains",PAIHABIT0000000315756529,,"44,73864538, -1,06914835999993",,,
,#1-1-21,#1-1,Le Clos des Chasseurs,Quartier,"Andernos-les-Bains (Gironde, France) -- Le Clos des Chasseurs",PAIHABIT0000000315756530,,"44,7532928530001, -1,09640907799991",,,
,#1-1-22,#1-1,Les Parcelles,Lieu-dit non habité,"Andernos-les-Bains (Gironde, France) -- Les Parcelles",PAIE_NAT0000000050695892,,"44,7540161460001, -1,08820637899993",,,
,#1-1-23,#1-1,Pujeau,Lieu-dit non habité,"Andernos-les-Bains (Gironde, France) -- Pujeau",PAIE_NAT0000000050695794,,"44,7719969250001, -1,06955229499994",,,
,#1-1-24,#1-1,La Meule,Lieu-dit non habité,"Andernos-les-Bains (Gironde, France) -- La Meule",PAIE_NAT0000000050695894,,"44,7550164690001, -1,11214634199996",,,
,#1-1-25,#1-1,La Montagne,Lieu-dit non habité,"Andernos-les-Bains (Gironde, France) -- La Montagne",PAIE_NAT0000000050695893,,"44,7651382430001, -1,09069337399995",,,
,#1-1-26,#1-1,Parc du Broustic,Espace public,"Andernos-les-Bains (Gironde, France) -- Parc du Broustic",PAICULOI0000000202963348,,"44,7449912100001, -1,09897936599992",,,
,#1-1-27,#1-1,Aérodrome d'Andernos-Les-Bains,Aérodrome non militaire,"Andernos-les-Bains (Gironde, France) -- Aérodrome d'Andernos-Les-Bains",PAITRANS0000000050699040,,"44,75490913, -1,06431849499995",,,
,#1-1-28,#1-1,Les Canadiens,Zone industrielle,"Andernos-les-Bains (Gironde, France) -- Les Canadiens",PAIINDUS0000000201275641,,"44,765050601, -1,07115247299993",,,
,#1-1-29,#1-1,Pleine Forêt,Camping,"Andernos-les-Bains (Gironde, France) -- Pleine Forêt",PAICULOI0000000050700757,,"44,7590934850001, -1,07600361899995",,,
,#1-1-3,#1-1,Permanence,Bâtiment,"Andernos-les-Bains (Gironde, France) -- Permanence",S1649,,"44.743826, -1.101799",,,
,#1-1-30,#1-1,Les Arbousiers,Camping,"Andernos-les-Bains (Gironde, France) -- Les Arbousiers",PAICULOI0000000050700758,,"44,7567926830001, -1,07216125199994",,,
,#1-1-4,#1-1,La Ferme du Mauret,Lieu-dit habité,"Andernos-les-Bains (Gironde, France) -- La Ferme du Mauret",PAIHABIT0000000050820780,,"44,7340160940001, -1,06971513399992",,,
,#1-1-5,#1-1,Querquillas,Lieu-dit habité,"Andernos-les-Bains (Gironde, France) -- Querquillas",PAIHABIT0000000050818595,,"44,7757341440001, -1,04993692499994",,,
,#1-1-6,#1-1,La Grande Heyre,Lieu-dit habité,"Andernos-les-Bains (Gironde, France) -- La Grande Heyre",PAIHABIT0000000050819755,,"44,756381424, -1,10003895599993",,,
,#1-1-7,#1-1,Le Moulin du Bétey,Quartier,"Andernos-les-Bains (Gironde, France) -- Le Moulin du Bétey",PAIHABIT0000000050819744,,"44,742335268, -1,08131703099991",,,
,#1-1-8,#1-1,Le Page,Quartier,"Andernos-les-Bains (Gironde, France) -- Le Page",PAIHABIT0000000050819743,,"44,7586379730001, -1,08608785499996",,,
,#1-1-9,#1-1,La Chapelle Forestière,Quartier,"Andernos-les-Bains (Gironde, France) -- La Chapelle Forestière",PAIHABIT0000000050819742,,"44,736604233, -1,08068605499994",,,
,#1-2,#1,Arès,Commune,"Arès (Gironde, France)",COMMUNE00000000000034428,33011,"44.765, -1.13667",33740,6448382,
,#1-2-1,#1-2,Gendarmerie,Bâtiment,"Arès (Gironde, France) -- Gendarmerie",S0121,,"44.767465, -1.135104",,,
,#1-2-10,#1-2,Arpech,Lieu-dit habité,"Arès (Gironde, France) -- Arpech",PAIHABIT0000000050818596,,"44,7896513160001, -1,07712561199992",,,
,#1-2-11,#1-2,Les Branots,Lieu-dit habité,"Arès (Gironde, France) -- Les Branots",PAIHABIT0000000050817399,,"44,8027531700001, -1,03074633299991",,,
,#1-2-12,#1-2,La Métairie,Lieu-dit habité,"Arès (Gironde, France) -- La Métairie",PAIHABIT0000000050818607,,"44,7797417090001, -1,14369596499995",,,
,#1-2-13,#1-2,Sainte-Anne,Lieu-dit habité,"Arès (Gironde, France) -- Sainte-Anne",PAIHABIT0000000050818598,,"44,785596361, -1,09696553199996",,,
,#1-2-14,#1-2,Domaine d'Arès,Lieu-dit habité,"Arès (Gironde, France) -- Domaine d'Arès",PAIHABIT0000000315808249,,"44,7644416040001, -1,14812336499995",,,
,#1-2-15,#1-2,Les Areneys,Quartier,"Arès (Gironde, France) -- Les Areneys",PAIHABIT0000000050818600,,"44,7661193990001, -1,12010999299991",,,
,#1-2-16,#1-2,Les Lugées,Quartier,"Arès (Gironde, France) -- Les Lugées",PAIHABIT0000000050819756,,"44,759131111, -1,12878789999991",,,
,#1-2-17,#1-2,Paco,Quartier,"Arès (Gironde, France) -- Paco",PAIHABIT0000000050819753,,"44,7583848570001, -1,11699091399993",,,
,#1-2-18,#1-2,La Montagne,Quartier,"Arès (Gironde, France) -- La Montagne",PAIHABIT0000000050818602,,"44,769213236, -1,12081899199995",,,
,#1-2-19,#1-2,Plaisance,Quartier,"Arès (Gironde, France) -- Plaisance",PAIHABIT0000000050818599,,"44,7696389270001, -1,12616561599992",,,
,#1-2-2,#1-2,Antenne sociale,Bâtiment,"Arès (Gironde, France) – Antenne sociale",S0558,,"44.766538, -1.139813",,,
,#1-2-20,#1-2,Les Abberts,Quartier,"Arès (Gironde, France) -- Les Abberts",PAIHABIT0000000050818605,,"44,7713561780001, -1,14396611799992",,,
,#1-2-21,#1-2,Les Écureuils,Quartier,"Arès (Gironde, France) -- Les Écureuils",PAIHABIT0000000050819757,,"44,7624939680001, -1,12576130099995",,,
,#1-2-22,#1-2,Cap Lande,Quartier,"Arès (Gironde, France) -- Cap Lande",PAIHABIT0000000050818604,,"44,7701299560001, -1,13345096899991",,,
,#1-2-23,#1-2,Les Hauts d'Arés,Quartier,"Arès (Gironde, France) -- Les Hauts d'Arés",PAIHABIT0000000050818601,,"44,7666605580001, -1,12555211199992",,,
,#1-2-24,#1-2,Le Moulin du Milieu,Moulin,"Arès (Gironde, France) -- Le Moulin du Milieu",PAIHABIT0000000050819745,,"44,763721182, -1,10730011099992",,,
,#1-2-25,#1-2,La Grande Lande,Lieu-dit non habité,"Arès (Gironde, France) -- La Grande Lande",PAIE_NAT0000000050695797,,"44,7880268250001, -1,11799969999993",,,
,#1-2-26,#1-2,Les Soixante Hectares,Lieu-dit non habité,"Arès (Gironde, France) -- Les Soixante Hectares",PAIE_NAT0000000050695719,,"44,8028542010001, -1,04247525499994",,,
,#1-2-27,#1-2,Domaine de La Montagne,Lieu-dit non habité,"Arès (Gironde, France) -- Domaine de La Montagne",PAIE_NAT0000000050695796,,"44,766985091, -1,11115291899995",,,
,#1-2-28,#1-2,Les Réservoirs,Lieu-dit non habité,"Arès (Gironde, France) -- Les Réservoirs",PAIE_NAT0000000050695799,,"44,7747894360001, -1,15781812499995",,,
,#1-2-29,#1-2,Le Pas du Bros,Lieu-dit non habité,"Arès (Gironde, France) -- Le Pas du Bros",PAIE_NAT0000000050695795,,"44,778124555, -1,07577789899995",,,
,#1-2-3,#1-2,Défense de la forêt contre les incendies,Bâtiment,"Arès (Gironde, France) -- Défense de la forêt contre les incendies",S0740,,"44.769008, -1.136569",,,
,#1-2-30,#1-2,Les Landes de Pichoury,Bois,"Arès (Gironde, France) -- Les Landes de Pichoury",PAIE_NAT0000000050695596,,"44,8298321840001, -1,02782453399993",,,
,#1-2-31,#1-2,Seneyres,Bois,"Arès (Gironde, France) -- Seneyres",PAIE_NAT0000000050695718,,"44,8237556230001, -1,01894473799996",,,
,#1-2-32,#1-2,Domaine de La Saussouze,Bois,"Arès (Gironde, France) -- Domaine de La Saussouze",PAIE_NAT0000000050695720,,"44,8225671810001, -1,04991515899991",,,
,#1-2-33,#1-2,La Lande de La Saussouze,Bois,"Arès (Gironde, France) -- La Lande de La Saussouze",PAIE_NAT0000000050695721,,"44,8134546570001, -1,05610469399994",,,
,#1-2-34,#1-2,La Grande Lande,Bois,"Arès (Gironde, France) -- La Grande Lande",PAIE_NAT0000000050695792,,"44,7961246230001, -1,04612733699992",,,
,#1-2-35,#1-2,Le Boum,Bois,"Arès (Gironde, France) -- Le Boum",PAIE_NAT0000000050695597,,"44,8339898200001, -1,04644549799991",,,
,#1-2-36,#1-2,Les Mouettes,Camping,"Arès (Gironde, France) -- Les Mouettes",PAICULOI0000000050700765,,"44,7601124460001, -1,13993069599991",,,
,#1-2-37,#1-2,Les Goëlands,Camping,"Arès (Gironde, France) -- Les Goëlands",PAICULOI0000000050700762,,"44,7570320130001, -1,12252994799991",,,
,#1-2-38,#1-2,La Cigale,Camping,"Arès (Gironde, France) -- La Cigale",PAICULOI0000000050700699,,"44,773091079, -1,14260816099994",,,
,#1-2-39,#1-2,Pasteur,Camping,"Arès (Gironde, France) -- Pasteur",PAICULOI0000000050700764,,"44,7623090910001, -1,13651641499996",,,
,#1-2-4,#1-2,Le Perrey,Lieu-dit habité,"Arès (Gironde, France) -- Le Perrey",PAIHABIT0000000050818609,,"44,7771829100001, -1,13962645199996",,,
