,,,,,,,,Hôtels classés en 2012,Hôtels classés sans étoile en 2012,Hôtels classés 1 étoile en 2012,Hôtels classés 2 étoiles en 2012,Hôtels classés 3 étoiles en 2012,Hôtels classés 4 étoiles ou plus en 2012,Chambres dans hôtels classés en 2012,Chambres dans hôtels classés sans étoile en 2012,Chambres dans hôtels classés 1 étoile en 2012, Chambres dans hôtels classés 2 étoiles en 2012,Chambres dans hôtels classés 3 étoiles en 2012,Chambres hôtels classés 4 étoiles ou plus en 2012,Hôtels classés en 2008,Hôtels classés sans étoile en 2008,Hôtels classés 1 étoile en 2008,Hôtels classés 2 étoiles en 2008,Hôtels classés 3 étoiles en 2008,Hôtels classés 4 étoiles ou plus en 2008,Chambres dans hôtels classés en 2008,Chambres dans hôtels classés sans étoile en 2008,Chambres dans hôtels classés 1 étoile en 2008,Chambres dans hôtels classés 2 étoiles en 2008,Chambres dans hôtels classés 3 étoiles en 2008,Chambres hôtels classés 4 étoiles ou plus en 2008,Campings classés en 2012,Campings classés 1 étoile en 2012,Campings classés 2 étoiles en 2012,Campings classés 3 étoiles en 2012,Campings classés 4 étoiles en 2012,Emplacements de camping en 2012,Emplacements camping classés 1 étoile en 2012,Emplacements camping classés 2 étoiles en 2012,Emplacements camping classés 3 étoiles en 2012,Emplacements camping 4 étoiles en 2012,Campings classés en 2008,Campings classés 1 étoile en 2008,Campings classés 2 étoiles en 2008,Campings classés 3 étoiles en 2008,Campings classés 4 étoiles en 2008,Emplacements de camping en 2008,Emplacements camping classés 1 étoile en 2008,Emplacements camping classés 2 étoiles en 2008,Emplacements camping classés 3 étoiles en 2008,Emplacements camping 4 étoiles en 2008,Résidences secondaires en 2009  (princ),Rés secondaires 1 pièce en 2009  (princ),Rés secondaires 2 pièces en 2009  (princ),Rés secondaires 3 pièces en 2009  (princ),Rés secondaires 4 pièces en 2009  (princ),Rés secondaires 5 pièces ou plus en 2009  (princ),Logements en 2009  (princ),Rés secondaires 1 seul logement en 2009  (princ),Rés secondaires 2 logements ou plus en 2009  (princ),Rés secondaires autres (mobil-home…) en 2009  (princ)
CODGEO,REG,DEP,ARR,CV,ZE2010,EPCI,LIBGEO,HC12,HC012,HC112,HC212,HC312,HC412,HCCH12,HCCH012,HCCH112,HCCH212,HCCH312,HCCH412,HC08,HC008,HC108,HC208,HC308,HC408,HCCH08,HCCH008,HCCH108,HCCH208,HCCH308,HCCH408,CPG12,CPG112,CPG212,CPG312,CPG412,CPGE12,CPGE112,CPGE212,CPGE312,CPGE412,CPG08,CPG108,CPG208,CPG308,CPG408,CPGE08,CPGE108,CPGE208,CPGE308,CPGE408,P09_RSEC,P09_RSEC_1P,P09_RSEC_2P,P09_RSEC_3P,P09_RSEC_4P,P09_RSEC_5PP,P09_LOG,P09_RSEC_1L,P09_RSEC_2LP,P09_RSEC_AL
33001,72,33,335,3322,7205,200027068,Abzac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,1,3,3,846,14,1,0
33002,72,33,333,3303,7204,243301520,Aillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,16,5,371,24,0,0
33003,72,33,332,3319,7204,243300316,Ambares-et-Lagrave,1,0,0,1,0,0,14,0,0,14,0,0,1,0,0,1,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2,19,14,10,5239,40,0,5
33004,72,33,332,3360,7204,243300316,Ambes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,4,1,1155,7,1,0
33005,72,33,336,3302,7204,243301504,Andernos-les-Bains,5,2,0,3,0,0,97,22,0,75,0,0,5,2,0,3,0,0,89,22,0,67,0,0,3,0,1,2,0,1154,0,187,967,0,2,0,1,1,0,880,0,190,690,0,2788,202,525,519,986,556,8459,2376,409,3
33006,72,33,331,3340,7204,243300811,Anglade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,3,5,4,9,444,24,0,0
33007,72,33,333,3336,7204,243301538,Arbanats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,2,430,6,0,0
33008,72,33,333,3348,7204,243301298,Arbis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,2,1,130,5,0,0
33009,72,33,336,3301,7207,243300563,Arcachon,23,1,0,9,11,2,744,8,0,202,409,125,23,1,0,13,8,1,745,8,0,353,354,30,1,0,0,0,1,275,0,0,0,275,1,0,0,1,0,277,0,0,277,0,9329,1721,2897,1757,2251,702,16339,2868,6451,10
