STATION_NOM,POLLUANT_NOM,DATE_MESURE,MESURE_H01,MESURE_H02,MESURE_H03,MESURE_H04,MESURE_H05,MESURE_H06,MESURE_H07,MESURE_H08,MESURE_H09,MESURE_H10,MESURE_H11,MESURE_H12,MESURE_H13,MESURE_H14,MESURE_H15,MESURE_H16,MESURE_H17,MESURE_H18,MESURE_H19,MESURE_H20,MESURE_H21,MESURE_H22,MESURE_H23,MESURE_H24,MES_H_MINI,MES_H_MAXI,MOYENNE_JOUR
Bordeaux - Bastide,PM10,2012-01-01,7,7,13,16,14,12,16,16,14,12,13,17,18,13,12,15,16,22,23,27,27,25,23,17,7,27,16
Bordeaux - Bastide,PM10,2012-01-02,16,14,14,11,10,15,14,14,17,20,16,15,13,14,9,10,16,19,13,26,36,32,32,27,9,36,18
Bordeaux - Bastide,PM10,2012-01-03,18,14,13,13,12,10,17,19,22,29,32,33,29,26,,,31,30,25,23,23,24,21,17,10,33,22
Bordeaux - Bastide,PM10,2012-01-04,15,16,12,8,11,14,22,28,31,36,38,38,31,29,28,28,31,31,31,39,49,39,40,42,8,49,29
Bordeaux - Bastide,PM10,2012-01-05,38,32,24,24,24,26,28,30,27,27,27,29,29,28,23,16,18,16,11,12,13,13,12,17,11,38,23
Bordeaux - Bastide,PM10,2012-01-06,25,34,36,36,39,38,38,37,38,42,40,36,32,31,31,33,36,44,89,133,131,113,85,83,25,133,53
Bordeaux - Bastide,PM10,2012-01-07,68,54,43,38,34,31,32,37,41,35,38,38,36,18,10,10,8,9,13,18,24,41,34,28,8,68,31
Bordeaux - Bastide,PM10,2012-01-08,23,31,26,13,14,11,7,8,12,13,16,19,14,15,19,18,21,24,36,42,44,49,33,26,7,49,22
Bordeaux - Bastide,PM10,2012-01-09,24,24,23,21,20,21,24,25,28,23,25,24,20,21,21,21,24,,,,,,,,20,28,23
Bordeaux - Bastide,PM10,2012-01-10,,,,,,,,,,,,28,20,16,18,18,21,40,59,53,40,44,36,25,16,59,32
Bordeaux - Bastide,PM10,2012-01-11,23,22,23,25,28,27,28,28,33,37,48,74,76,77,82,77,75,70,55,52,54,44,44,42,22,82,48
Bordeaux - Bastide,PM10,2012-01-12,45,47,38,39,45,55,56,58,64,65,80,74,65,61,71,66,70,66,65,63,53,60,41,31,31,80,57
Bordeaux - Bastide,PM10,2012-01-13,27,23,21,21,17,21,22,25,25,34,41,32,33,35,39,47,42,48,54,66,59,53,76,74,17,76,39
Bordeaux - Bastide,PM10,2012-01-14,58,59,47,33,26,28,22,22,24,29,39,38,32,38,34,35,47,68,58,97,117,113,88,75,22,117,51
Bordeaux - Bastide,PM10,2012-01-15,49,29,27,27,22,18,17,17,19,20,22,21,23,23,23,27,31,37,36,33,35,33,29,31,17,49,27
Bordeaux - Bastide,PM10,2012-01-16,32,34,43,38,35,37,41,45,51,49,51,58,60,58,57,52,50,57,57,52,51,39,40,43,32,60,47
Bordeaux - Bastide,PM10,2012-01-17,37,34,26,21,27,25,27,34,43,42,49,49,48,59,68,60,77,85,84,81,89,79,81,86,21,89,55
Bordeaux - Bastide,PM10,2012-01-18,79,74,72,72,78,83,99,117,151,149,115,87,63,48,48,52,59,85,101,91,84,58,46,40,40,151,81
Bordeaux - Bastide,PM10,2012-01-19,38,34,33,30,30,34,41,54,58,48,51,41,16,10,8,9,11,12,14,17,13,8,10,11,8,58,26
Bordeaux - Bastide,PM10,2012-01-20,12,12,12,11,6,4,4,8,17,20,18,21,23,20,22,22,23,26,27,26,25,23,19,18,4,27,17
Bordeaux - Bastide,PM10,2012-01-21,17,16,16,16,18,18,13,10,5,7,7,9,6,7,6,8,7,7,9,11,10,11,9,7,5,18,10
