NOM,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,MODE_DE_GESTION,TEL__INFORMATIONS,SITE_WEB,LONGITUDE,LATITUDE
Aire de camping-cars d'Andernos-les-Bains,Port ostréicole,,33510,ANDERNOS-LES-BAINS,Public,+33 5 56 82 02 95;+33 5 57 76 11 00,www.andernoslesbains.fr,-1.109429,44.744312
Aire de services d'Arcachon,Boulevard Mestrézat,,33120,ARCACHON,Public,+33 5 57 52 97 97,www.arcachon.com,-1.146289,44.65389
Aire de services de Bazas,Rue de l'Eyrevieille,,33430,BAZAS,Public,+33 5 56 25 25 84,www.tourisme-bazadais.com,-0.213442,44.43149
Aire de camping-cars de Caroy,Route nationale 524,,33430,BERNOS-BEAULAC,Public,+33 5 56 25 25 84,www.tourisme-bazadais.com,-0.2435016,44.37141
Aire de services de Bourg,Le Port,,33710,BOURG,Public,+33 5 57 68 31 76,www.bourg-en-gironde.fr,-0.573007,45.042694
Aire de camping-cars de Branne,Route de Cabara,,33420,BRANNE,Public,+33 5 57 74 90 24,www.tourismebrannais-entredeuxmers.com,-0.1823043,44.830307
Aire de camping-cars de Cadillac,Avenue du Parc,,33410,CADILLAC,Public,+33 5 56 62 12 92;+33 5 57 98 02 10,www.cadillac-tourisme.com,-0.3170156,44.638367
Aire de camping-cars de Capian,Route de Créon,,33550,CAPIAN,Public,+33 5 56 72 30 56,www.entredeuxmers.com,-0.391019,44.715073
Aire de stationnement de Cavignac,Rue de la Paix,,33620,CAVIGNAC,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.3920316,45.100487
Aire de stationnement de Cézac,Parking Maison des Associations,,33620,CEZAC,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.4199,45.0914
Aire de stationnement de Civrac-de-Blaye,Parc de la Mairie,,33620,CIVRAC-DE-BLAYE,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.4445815,45.112495
Aire de camping-cars de Créon,Boulevard Victor Hugo,,33670,CREON,Public,+33 5 57 34 30 95;+33 5 56 23 23 00,www.tourisme-creonnais.com,-0.346121,44.77524
Aire de stationnement de Cubnezais,Rue de l'Abreuvoir,,33620,CUBNEZAIS,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.4086399,45.074825
Aire de stationnement de Cubzac-les-Ponts,Le Port,,33240,CUBZAC-LES-PONTS,Public,+33 5 57 43 02 11,www.mairie-cubzaclesponts.com,-0.4599452,44.96501
Aire de stationnement de Donnezac,Parking salle des fêtes,,33860,DONNEZAC,Public,+33 5 57 58 47 79,www.cdc-saintsavin.fr,-0.443,45.2487
Aire de camping-cars de Fontet,Base nautique,,33190,FONTET,Public,+33 5 56 61 08 30;+33 5 56 61 23 81,www.entredeuxmers.com,-0.0294399,44.5628
