TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE_1,ADRESSE_2,CODE_POSTAL,COMMUNE,TEL__INFORMATION_RESERVATION,SITE_WEB,LABELS_ET_MARQUES,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE,COLUMN13
Terrain de camping classé - loisirs,Non classé,Camping Les Petits Pellegrins,Route de Longarisse,,33680,LACANAU,+33 5 56 03 05 10,http://cce-snecma.com,,,-1.1345176,44.9566063,
Terrain de camping classé - tourisme,1 étoile,Groupement des Campeurs Universitaires de France,Promenade de Pech Lèbre,,33680,LACANAU,+33 5 56 03 59 37,www.gcu.asso.fr/terrains/lacanau-gironde-33,,,,,
Terrain de camping classé - tourisme,2 étoiles,Camping La Praise,40 avenue de la Côte d'Argent,,33680,LACANAU,+33 5 56 03 50 73;+33 5 56 03 58 75,www.la-praise.com,,,-1.0792243,44.9812644,
Terrain de camping classé - tourisme,2 étoiles,Camping Les Fougères,Avenue de l'Océan,Talaris,33680,LACANAU,+33 5 56 03 56 76,www.campinglesfougereslacanau.com,,,-1.1074411,45.0070495,
Terrain de camping classé - tourisme,3 étoiles,Camping du Tedey,Route de Longarisse,,33680,LACANAU,+33 5 56 03 00 15,www.le-tedey.com,Camping Qualité;Qualité Tourisme;Famille Plus,,-1.1349606,44.9837649,
Terrain de camping classé - tourisme,4 étoiles,Talaris Vacances,Route de l'Océan,,33680,LACANAU,+33 5 56 03 04 15,www.talaris-vacances.fr,La Clef Verte;Famille Plus,,-1.1116629,45.0081608,
Terrain de camping classé - tourisme,Non classé,Camping de l'Ermitage,1 chemin de l'Ermitage,Le Moutchic,33680,LACANAU,+33 5 56 03 00 24;+33 8 79 37 25 27,http://ermitage-lacanau.com/,,,-1.1347889,45.0036966,
Terrain de camping classé - tourisme,Non classé,Camping du Lac,Le Moutchic,,33680,LACANAU,+33 5 56 03 00 26,,,,-1.1285018,45.0041973,
Terrain de camping classé - tourisme,Non classé,Camping Les Jardins du Littoral,Allée de Sauviels,Le Huga,33680,LACANAU,,www.jardinsdulittoral.com,,,-1.1663854,45.008377,
Terrain de camping classé - tourisme,4 étoiles,Camping Airotel de l'Océan,Rue du Repos,,33680,LACANAU-OCEAN,+33 5 56 03 24 45,www.airotel-ocean.com,Famille Plus,,-1.1931431,45.0080464,
Terrain de camping classé - tourisme,5 étoiles,Yelloh! Village - Les Grands Pins,,,33680,LACANAU-OCEAN,+33 5 56 03 20 77,www.lesgrandspins.com,La Clef Verte;Qualité Tourisme;Famille Plus;Eco-label Européen,,-1.1947202,45.0110242,
Terrain de camping classé - loisirs,3 étoiles,Camping Le Roumingue,60 avenue de la Libération,,33138,LANTON,+33 5 56 82 97 48,www.roumingue.fr,,,-1.04525,44.70609,
Terrain de camping classé - tourisme,3 étoiles,Camping Le Coq Hardi,5 avenue de la République,Cassy,33138,LANTON,+33 5 56 82 01 80,www.campingcoq-hardi.com,Camping Qualité,,-1.052337,44.71148,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Hontanille,Laroque,,33410,LAROQUE,,,,,-0.293705,44.66431,
Parc résidentiel de loisirs,4 étoiles,Domaine résidentiel naturiste La Jenny,Route de la Jenny,,33680,LE PORGE,+33 5 56 26 56 90,www.lajenny.fr,,,-1.2128734,44.8488713,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping de Lescaran,35 avenue de la Côte d'Argent,,33680,LE PORGE,+33 5 56 26 51 85,www.bienvenue-a-la-ferme.com/gironde/ferme-camping-de-lescaran-55030,Bienvenue à la Ferme,,-1.085541,44.881899,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Les Noisetiers,116 avenue du Bassin d'Arcachon,Laruau Sud,33680,LE PORGE,+33 5 56 26 54 91,,,,-1.1166143,44.8422381,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Les Prés du Pas du Mas,50 route des Lacs,Maisonneuve,33680,LE PORGE,+33 5 56 26 54 29;+33 5 56 26 54 09;+33 5 56 26 54 36,www.leporge.com/séjourner/campings-et-aires-naturelles/les-prés-du-pas-du-mas-maisonneuve/,,,-1.0981178,44.8870124,
Terrain de camping classé - aire naturelle,Aire naturelle,Aire naturelle de camping Maisonneuve,48 route des Lacs,,33680,LE PORGE,+33 5 56 26 54 09;+33 5 56 26 54 36,www.leporge.com/séjourner/campings-et-aires-naturelles/les-prés-du-pas-du-mas-maisonneuve/,,,-1.0982036,44.8881678,
Terrain de camping classé - tourisme,3 étoiles,Camping municipal La Grigne,35 avenue de l'Océan,,33680,LE PORGE OCEAN,+33 5 56 26 54 88,www.leporge.fr,Camping Qualité,,-1.2042045,44.8926068,
Terrain de camping classé - tourisme,4 étoiles,Camping Ker Helen,Avenue de la Côte d'Argent,,33470,LE TEICH,+33 5 56 66 03 79,www.kerhelen.comwww.leteich-tourisme.com,Camping Qualité;Qualité Tourisme,,-1.0401821,44.6390096,
Terrain de camping classé - tourisme,3 étoiles,Camping Le Royannais,88 route de Soulac,,33123,LE VERDON-SUR-MER,+33 5 56 09 61 12,www.royannais.com,,,-1.089874,45.540345,
Terrain de camping classé - tourisme,4 étoiles,Sunêlia La Pointe du Médoc,Avenue de la Pointe de Grave,,33123,LE VERDON-SUR-MER,+33 5 56 73 39 99,www.camping-lapointedumedoc.com,La Clef Verte,,-1.066439,45.554547,
Terrain de camping classé - loisirs,1 étoile,Camping Mer et Forêt,Le Grand Oustau,,33950,LEGE-CAP FERRET,+33 5 24 18 84 48,www.campingcapferret.com,,,-1.1325359,44.8036714,
Terrain de camping classé - loisirs,2 étoiles,Camping La Pinède,150 avenue du Médoc,,33950,LEGE-CAP FERRET,+33 5 56 60 06 39,www.camping-lapinede.fr,,,-1.1306047,44.8080256,
Terrain de camping classé - loisirs,3 étoiles,Camping municipal des Pastourelles,Route des Pastourelles,Claouey,33950,LEGE-CAP FERRET,+33 5 56 60 70 61,www.legecapferret.fr/lespastourelles,,,-1.178243,44.750963,
