ACTIVITES,PRESTATIONS,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LABELS,LONGITUDE,LATITUDE
Equitation,Multiactivités,Haras d'Abzac,Au Breuillet ouest,,33230,ABZAC,+33 7 87 00 49 06,www.centre-equestre-d-abzac.fr ,,-0.1428651,45.001556
Equitation,Multiactivités,Les Ecuries d'Andernos,route de Bordeaux,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 27 16,http://ecuries.andernos.free.fr,,-1.072426,44.758053
Equitation,Multiactivités,Le centre équestre d'Arcachon,avenue Pierre Frondaie,,33120,ARCACHON,+33 6 63 88 74 17,http://cearcachon.free.fr ,,-1.169843,44.653698
Equitation;Randonnée équestre,Multiactivités;Accompagnement,Centre équestre des Pins,574 piste 210,lieu-dit Lubec,33980,AUDENGE,+33 5 56 74 09 96,,,-0.921237,44.7147
Equitation;Randonnée équestre,Multiactivités;Accompagnement,Domaine d'Oulès,rue des Trucails,,33980,AUDENGE,+33 5 57 76 26 80,domainedoules.free.fr,,-0.9720969,44.68092
Equitation,Multiactivités,Ferme équestre du Drot,Château le Drot,,33190,BAGAS,+33 5 56 71 49 92,www.bienvenue-a-la-ferme.com/gironde/ferme-ferme-equestre-du-drot-215453 ,Bienvenue à la Ferme,-0.063858,44.623833
Equitation,Multiactivités,Centre équestre de Bazas,avenue de la République,,33430,BAZAS,+33 6 12 61 24 46,www.bazas.educagri.fr/letablissement-et-ses-centres/centre-equestre.html,,-0.2275907,44.43388
Equitation,Multiactivités,Poney-Club de Bazas,lieu-dit Garlope,,33430,BAZAS,+33 5 56 25 98 63,http://poneyclubdebazas.com,,-0.2581787,44.444077
Equitation;Randonnée équestre,Multiactivités;Accompagnement,Equi-Libre,Centre équestre du Volcelest,Joué,33830,BELIN-BELIET,+33 5 56 88 02 68,http://volcelest.com,,-0.734404,44.472984
Equitation,Multiactivités,Les Ecuries de Libet,3, lieu dit Libet,,33430,BERNOS-BEAULAC,+33 5 56 25 46 35,www.ecuriesdelibet.com,,-0.2674484,44.381416
Equitation,Multiactivités,Poney-Club les Galop-pins,chemin Bacquey,,33430,BERNOS-BEAULAC,+33 6 87 31 31 09,www.bienvenue-a-la-ferme.com/gironde/ferme-equestre/ferme-poney-club-des-galopins-2668-210657 ,Bienvenue à la Ferme,-0.2578447,44.38086
Equitation,Multiactivités,Queyran'ch,lieu-dit Queyran,,33430,BERNOS-BEAULAC,+33 5 56 25 41 33,www.queyranch.com,,-0.252989,44.379776
Equitation,Multiactivités,Ecuries de l'Oasis,2 La Charonne,,33390,BERSON,+33 6 62 25 64 05,,,-0.5900422,45.115997
Equitation,Multiactivités,Les Ecuries de Labarthe Vieille,Labarthe Vieille,,33124,BERTHEZ,+33 5 56 65 46 06,,,-0.10697,44.485912
Equitation;Randonnée équestre,Multiactivités;Accompagnement,Centre Equestre du Domaine des Argentières,Domaine des Argentières,Bos Daré,33380,BIGANOS,+33 5 56 82 73 75,http://domainedesargentieres.ffe.com,,-0.976619,44.642113
Equitation,Multiactivités,Ecuries des Hauts de Gironde,lieu-dit Le Passage,,33820,BRAUD-ET-SAINT-LOUIS,+33 5 57 64 42 46,,,-0.6560897,45.22292
Equitation;Randonnée équestre,Accompagnement;Multiactivités,Centre équestre du Blayais,17, route du Lion d'Or,Pigou,33390,CARTELEGUE,+33 5 57 64 52 64,www.centreequestreblayais33.ffe.com,,-0.5734348,45.195103
Equitation,Multiactivités,Centre Equestre des Ecuries de Blanzac,Saint-Magne - Blanzac,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 28 52,www.ecuriesdeblanzac.com,,-0.050385,44.86536
Equitation,Multiactivités,Les Ecuries de Château Panon,2 lieu-dit Panon,,33430,CAZATS,+33 5 56 25 27 58,www.lesecuriesdechateaupanon.com,,-0.1933575,44.477592
Equitation,Multiactivités,Centre équestre de la Base,Cité de Verdun,,33260,CAZAUX,+33 6 75 20 19 88,http://cheval-cazaux.com,,-1.1588001,44.531345
Equitation,Cours,Ferme équestre de l'Entre-deux-Mers,13, Les Marchais,,33540,CLEYRAC,+33 5 56 71 28 50,,,-0.0337614,44.71754
Equitation,Multiactivités,Haras de la Grézère,,,33210,COIMERES,+33 6 88 88 08 97;+33 6 50 47 29 15,www.harasdelagrezere.com,,-0.2096619,44.496025
Equitation,Multiactivités,Ecurie Flamme,14, Tournerie,,33230,COUTRAS,+33 5 57 69 30 47,www.ecurie-flamme.com,,-0.124307,45.056152
Equitation,Multiactivités,Ferme équestre du Branna,1 le Branna,,33430,CUDOS,+33 6 76 49 83 30,,,-0.1831624,44.372555
Equitation,Multiactivités,Les Ecuries d'Escaudes,2, lieu dit Jean de Petit,,33840,ESCAUDES,+33 6 64 15 10 45;+33 6 62 78 23 08,www.ecuries-escaudes.com,,-0.2069377,44.30816
Equitation,Multiactivités,Ferme équestre des Près du Haut,23, route de Touilla,,33210,FARGUES,+33 5 56 63 01 53,www.indirando.chez.com,Bienvenue à la Ferme,-0.295615,44.547382
Equitation,Multiactivités,Les poneys Mômes d'Hélène,Château Tire-Pé,,33190,GIRONDE-SUR-DROPT,+33 5 56 71 10 09,www.tirepe.com,Bienvenue à la Ferme,-0.087625,44.58308
Equitation,Multiactivités,Centre équestre de Grayan,Lieu dit Dépée,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 09 33 33,http://euronat-centre-equestre.eu ,,-1.084976,45.444897
Equitation,Multiactivités,Centre Equestre des Pins,18 chemin du Loup,,33470,GUJAN-MESTRAS,+33 5 56 66 34 69,http://ecuriesoceanes.com,,-1.0984611,44.61094
Equitation;Randonnée équestre,Multiactivités,Les Ecuries du Lac d'Hostens,11, route de Louchats,,33125,HOSTENS,+33 5 56 88 77 71,www.ecuries-lac-hostens.fr;http://www.equitation-aquitaine.com,,-0.611536,44.50058
Equitation;Randonnée équestre,Multiactivités,Centre équestre du Cardin,520, chemin de Bécassine,,33990,HOURTIN PORT,+33 5 56 09 20 75,www.ceducardin.com,,-1.0759735,45.17806
Equitation;Randonnée équestre,Multiactivités,Westerlies Farm,chemin de Becassine,,33990,HOURTIN PORT,+33 5 56 09 10 60,www.westerliesfarm.com,Famille Plus,-1.0740852,45.17886
Equitation,Multiactivités,Haras de la Mellerie,port de Richard,,33590,JAU-DIGNAC-ET-LOIRAC,+33 5 56 41 37 90,www.haras-lamellerie.com,,-0.959176,45.408913
Equitation,Multiactivités,Centre équestre de La Réole,route de Monségur,,33190,LA REOLE,+33 5 56 61 19 85,www.centreequestrelareole.fr,,-0.027767,44.59458
Equitation;Randonnée équestre,Multiactivités;Accompagnement,Centre équestre Le Pas du Marquis,Villemarie,,33260,LA TESTE-DE-BUCH,+33 5 56 54 18 05,www.le-pas-du-marquis.fr,,-1.1138248,44.599392
Equitation,Multiactivités,Poney Parc de Vitalparc,route du Baganais,,33680,LACANAU OCEAN,+33 5 56 03 92 00,www.vitalparc.com,Famille Plus,-1.1713367,44.9921
Equitation,Multiactivités,Lacanau Equi-passion,114, avenue de Bordeaux,,33680,LACANAU VILLE,+33 6 77 75 97 28,www.lacanau-equipassion.fr,Famille Plus,-1.0496556,44.976505
