TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABEL,CLASSEMENT_LABEL,THEMES_LABEL,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Chambres d'hôtes,Non classé,Mont Saint-Pierre,,,33124,AILLAS,+33 5 56 65 30 88,,Clévacances,3 clés (Clévacances),,,-0.0752735,44.472992
Chambres d'hôtes,Non classé,La Clé des Champs,32, avenue des Champs,,33510,ANDERNOS-LES-BAINS,+33 5 57 17 10 40,www.lacledeschamps-andernos.com,Clévacances,3 clés (Clévacances),,,-1.0921506,44.75054
Chambres d'hôtes,Non classé,La Maison du Capitaine,18 rue Marcel Pagnol,,33510,ANDERNOS-LES-BAINS,+33 5 57 17 43 85,,Clévacances,4 clés (Clévacances),,,-1.0871243,44.73865
Chambres d'hôtes,Non classé,La Villa Herbert,15, boulevard Pierre Despagne,,33510,ANDERNOS-LES-BAINS,+33 6 74 42 10 14,www.villaherbert.com,Clévacances,3 clés (Clévacances),,,-1.0809736,44.75322
Chambres d'hôtes,Non classé,Chambres d'hôtes Stern,4 rue de l'Agenais,,33510,ANDERNOS-LES-BAINS,+33 5 56 03 08 99,,Clévacances,2 clés (Clévacances),,,-1.0741916,44.731525
Chambres d'hôtes,Non classé,Chambres d'hôtes Maleyran,4, lotissement les Dunes Vertes,,33740,ARES,+33 5 56 60 12 64,,Clévacances,2 clés (Clévacances),,,-1.1171364,44.76959
Chambres d'hôtes,Non classé,Chambres d'hôtes Biensan,39 avenue du Général de Gaulle,Impasse Lambert,33470,ARES,+33 5 56 60 21 47,,Clévacances,1 clé (Clévacances),,,-1.1418914,44.774097
Chambres d'hôtes,Non classé,Domaine des Lugées,20 allée du Domaine des Lugées,,33740,ARES,+33 5 56 82 80 37,www.domainedeslugees.com,Clévacances,2 clés (Clévacances),,,-1.1245587,44.75706
Chambres d'hôtes,Non classé,Château de Camperos,,,33720,BARSAC,+33 5 56 27 32 84,www.chateau-de-camperos.com,Clévacances,5 clés (Clévacances),,,-0.3191479,44.603104
Chambres d'hôtes,Non classé,La Ferrade,26 rue Berthelot,,33130,BEGLES,+33 5 56 49 01 16,www.laferrade.com,Clévacances,3 clés (Clévacances),,,-0.5666512,44.808308
Chambres d'hôtes,Non classé,Le Clos des Bambous,15 rue Mazagran,,33130,BEGLES,+33 6 81 67 50 62,www.leclosdesbambous.fr,Clévacances,3 clés (Clévacances),,,-0.5475481,44.814648
Chambres d'hôtes,Non classé,L'étang aux Rainettes,2 Rouye,,33350,BELVES-DE-CASTILLON,+33 5 57 47 97 04,www.etangauxrainettes.fr,Clévacances,2 clés (Clévacances),,,-0.009712,44.8815
Chambres d'hôtes,Non classé,Domaine de Bel Air,Bel Air,,33540,BLASIMON,+33 5 56 71 69 39,www.ledomainedubelair.fr,Clévacances,4 clés (Clévacances),,,-0.053462,44.754208
Chambres d'hôtes,Non classé,A la villa Cosy,137/139 rue Georges Bonnac,,33000,BORDEAUX,+33 5 56 72 42 62,www.villa-cosy.com,Clévacances,4 clés (Clévacances),,,-0.5878256,44.839264
Chambres d'hôtes,Non classé,Amicalement hôte,10 rue Minvielle,,33000,BORDEAUX,+33 6 16 93 43 57,www.amicalementhote.fr,Clévacances,3 clés (Clévacances),,,-0.5714259,44.85322
Chambres d'hôtes,Non classé,Au coeur de Bordeaux,28 rue Boulan,,33000,BORDEAUX,+33 5 56 52 43 58,www.aucoeurdebordeaux.fr,Clévacances,3 clés (Clévacances),,,-0.5812598,44.838478
Chambres d'hôtes,Non classé,L¿Arène Bordeaux,29 rue Emile Fourcand,,33000,BORDEAUX,+33 6 16 06 48 31,www.larenebordeaux.com,Clévacances,3 clés (Clévacances);4 clés (Clévacances),,,-0.5835901,44.847126
Chambres d'hôtes,Non classé,La Maison Bordelaise,207 rue Naujac,,33000,BORDEAUX,+33 5 56 24 94 93,,Clévacances,3 clés (Clévacances),,,-0.5933673,44.85011
Chambres d'hôtes,Non classé,La maison cachée,20 avenue Jeanne d'Arc,,33000,BORDEAUX,+33 6 50 19 58 68,www.lamaisoncachee-bordeaux.fr,Clévacances,4 clés (Clévacances),,,-0.5937824,44.826725
Chambres d'hôtes,Non classé,La Maissinière,162 rue Judaïque,,33000,BORDEAUX,+33 5 56 24 62 12,www.lamaissiniere.fr,Clévacances,2 clés (Clévacances),,,-0.5910224,44.840855
Chambres d'hôtes,Non classé,La Villa Chaleemar,67 rue Mandron,,33000,BORDEAUX,+33 5 57 87 33 07,www.villa-chaleemar.com,Clévacances,3 clés (Clévacances),,,-0.58007,44.85317
Chambres d'hôtes,Non classé,L'annexe de Gérald,29 rue du Temple,,33000,BORDEAUX,+33 6 61 51 45 31,lannexe-de-gerald.com,Clévacances,2 clés (Clévacances),,,-0.5777575,44.84023
Chambres d'hôtes,Non classé,Le Jardin de Sequoïa,87 rue Saint-Genès,,33000,BORDEAUX,+33 6 32 24 13 25,http://perso.wanadoo.fr/bordeaux.bedandbreakfast/,Clévacances,2 clés (Clévacances);3 clés (Clévacances),,,-0.5801275,44.827473
Chambres d'hôtes,Non classé,Le Miroir aux Fées,3 rue du Mulet,,33000,BORDEAUX,+33 5 56 44 72 96,,Clévacances,2 clés (Clévacances),,,-0.5723339,44.83949
Chambres d'hôtes,Non classé,L'Hôtel Particulier,44 rue Vital-Carles,,33000,BORDEAUX,+33 5 57 88 28 80,www.lhotel-particulier.com,Clévacances,4 clés (Clévacances),,,-0.5779504,44.83887
Chambres d'hôtes,Non classé,Chambres d'hôtes Jarril,66 rue Famatina,,33200,BORDEAUX,+33 5 56 97 53 52,,Clévacances,1 clé (Clévacances),,,-0.6035841,44.84544
Chambres d'hôtes,Non classé,Patio de l'Intendance,23 cours de l'Intendance,,33000,BORDEAUX,+33 6 27 61 23 97,www.patio-intendance.fr,Clévacances,3 clés (Clévacances),,,-0.5765404,44.84206
Chambres d'hôtes,Non classé,Une chambre chez Dupont,2 rue Cornac,,33000,BORDEAUX,+33 6 95 15 77 37,www.chez-dupont.com,Clévacances,3 clés (Clévacances),,,-0.57204,44.850834
Chambres d'hôtes,Non classé,Une Chambre en Ville,35 rue Bouffard,,33000,BORDEAUX,+33 5 56 81 34 53,www.bandb-bx.com,Clévacances,4 clés (Clévacances),,,-0.579713,44.839226
Chambres d'hôtes,Non classé,Villa Saint-Genès,17 rue Adrien Baysselance,,33000,BORDEAUX,+33 5 35 40 26 48,www.villastgenes.fr,Clévacances,3 clés (Clévacances),,,-0.5796175,44.825985
Chambres d'hôtes,Non classé,Château du Grand Mouëys,242, route de Créon,,33550,CAPIAN,+33 6 34 50 87 34,www.grandmoueys.com,Clévacances,4 clés (Clévacances),Clévacances Bacchus,,-0.391019,44.715073
Chambres d'hôtes,Non classé,Clos Sainte-Anne,668 côte Moulin Mandis Est,,33550,CAPIAN,+33 5 56 23 00 01;+33 5 56 72 34 04,www.thieuley.com,Clévacances,3 clés (Clévacances),,,-0.342821,44.69772
Chambres d'hôtes,Non classé,La Buissonnie,52, rue Augustin Daureau,,33360,CARIGNAN-DE-BORDEAUX,+33 5 40 21 33 73,www.labuissonnie.com,Clévacances,3 clés (Clévacances),,,-0.4723692,44.811638
Chambres d'hôtes,Non classé,Le Jardin du Bosc,Le Bosc,,33390,CARS,+33 5 57 42 90 22,,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.616621,45.138073
Chambres d'hôtes,Non classé,Le Clos du Terré,9, rue du Terré,,33490,CAUDROT,+33 5 56 62 78 69,www.le-clos-du-terre.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.1450456,44.575665
Chambres d'hôtes,Non classé,La Borderie,2 route de Maron,,33370,FARGUES-SAINT-HILAIRE,+33 6 79 56 70 91;+33 6 03 16 19 83,,Clévacances,3 clés (Clévacances),,,-0.4461479,44.813385
Chambres d'hôtes,Non classé,Domaine du Mayne,Le Mayne,,33760,FRONTENAC,+33 6 98 04 05 11,www.domainedumayne.fr,Clévacances,4 clés (Clévacances),,,-0.1187896,44.72884
Chambres d'hôtes,Non classé,Chambres d'hôtes Duranteau,Le Bourg,,33760,FRONTENAC,+33 5 56 23 99 00,http://micheleduranteau.free.fr,Clévacances,3 clés (Clévacances),,,-0.1625036,44.738346
Chambres d'hôtes,Non classé,Domaine des Deux Cèdres,2 Perrinque,,33710,GAURIAC,+33 5 57 64 88 65,www.domainedesdeuxcedres.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.6244948,45.073627
Chambres d'hôtes,Non classé,L'escale de Bel Air,6 route des Vignobles,Bel Air,33710,GAURIAC,+33 9 64 22 05 42,www.escalebelair.fr,Clévacances,3 clés (Clévacances),Clévacances affaires,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-0.61331,45.06813
Chambres d'hôtes,Non classé,Claire Abbaye,Claribes,,33890,GENSAC,+33 5 57 47 45 91,http://claire-abbaye.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,0.1035129,44.79837
Chambres d'hôtes,Non classé,Chambres d'hôtes Moreno,2 rue d'Arcole,,33470,GUJAN-MESTRAS,+33 5 57 52 42 15,,Clévacances,3 clés (Clévacances),,,-1.0527644,44.635212
Chambres d'hôtes,Non classé,Vignoble et Océan,11 avenue du Moulin,,33650,LA BREDE,+33 5 56 78 48 06,www.vignobleocean.jimdo.com,Clévacances,3 clés (Clévacances),,,-0.5228698,44.675423
Chambres d'hôtes,Non classé,Chez Danielle et Raymond,33, chemin de la Peguilleyre,Port du Rocher,33260,LA TESTE-DE-BUCH,+33 5 56 66 57 54,www.peguilleyre33.com,Clévacances,3 clés (Clévacances),,,-1.1578784,44.618782
Chambres d'hôtes,Non classé,La Renouée,1, rue Pierre Lavergne,,33680,LACANAU,+33 5 57 70 57 62,,Clévacances,3 clés (Clévacances),,,-1.0827949,44.978485
Chambres d'hôtes,Non classé,Les Amis du Château,Château de Langoiran,Le Pied du Château,33550,LANGOIRAN,+33 5 56 67 12 00,www.chateaumedievaldelangoiran.com,Clévacances,3 clés (Clévacances),,,-0.3809165,44.699654
Chambres d'hôtes,Non classé,Chambres d'hôtes Germignan,rue du Peyroux,Germignan,33320,LE TAILLAN-MEDOC,+33 5 56 05 00 22,,Clévacances,1 clé (Clévacances);3 clés (Clévacances),,,-0.6938628,44.90682
Chambres d'hôtes,Non classé,Domaine Les Jourdis,2 les Jourdis,,33220,LES LEVES-ET-THOUMEYRAGUES,+33 5 57 40 72 88,www.domainelesjourdis.com,Clévacances,4 clés (Clévacances),Clévacances Bacchus,,0.1729153,44.80538
Chambres d'hôtes,Non classé,Les Cinq Sens du Château Mayne Lalande,Le Mayne de Lalande,7, route du Mayne,33480,LISTRAC-MEDOC,+33 5 56 58 27 63,www.chateau-mayne-lalande.com,Clévacances,4 clés (Clévacances),Clévacances Bacchus,,-0.8189436,45.0532
Chambres d'hôtes,Non classé,La Bastide du Médoc,1 A rue de Piget,,33290,LUDON-MEDOC,+33 9 81 42 74 25,www.bastide-du-medoc.fr,Clévacances,2 clés (Clévacances),,,-0.6144518,44.97639
Chambres d'hôtes,Non classé,1.2.3 chemin du bord de l'eau,123 chemin du bord de l'Eau,,33460,MACAU,+33 5 56 08 04 91,www.123cheminduborddeleau.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,Handicap auditif;Handicap mental,-0.5709457,44.999706
Chambres d'hôtes,Non classé,Domaine de Beaucaillat,23 Beaucaillat,,33230,MARANSIN,+33 5 57 69 46 87,http://beaucaillat.jimdo.com/,Clévacances,2 clés (Clévacances),,,-0.274249,45.063927
Chambres d'hôtes,Non classé,Au retour à la Source,14, vieux Bourg,,33540,MAURIAC,+33 5 56 71 56 27,www.retour-a-la-source.fr,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.0301757,44.74782
Chambres d'hôtes,Non classé,Les Granges de Bacchus,1, Bertin,,33570,MONTAGNE,+33 6 25 42 57 87,www.grangesdebacchus.com,Clévacances,2 clés (Clévacances),Clévacances Bacchus,,-0.1394741,44.93647
Chambres d'hôtes,Non classé,La Closerie des Vignes,Château Haut-Chaigneau,,33500,NEAC,+33 5 57 51 31 31,www.vignobleschatonnet.com,Clévacances,3 clés (Clévacances),,,-0.183076,44.9362
Chambres d'hôtes,Non classé,La Cuillère à Pot,22, le bourg,,33113,ORIGNE,+33 5 56 25 33 36,www.la-cuillere-a-pot.com,Clévacances,2 clés (Clévacances),,,-0.4995287,44.491837
Chambres d'hôtes,Non classé,Château des Faures,6 le Faure,Monbadon,33570,PUISSEGUIN,+33 5 57 40 61 07,www.chateaudesfaures.com,Clévacances,2 clés (Clévacances),Clévacances Bacchus,Handicap auditif;Handicap mental;Handicap moteur,-0.0353353,44.94166
Chambres d'hôtes,Non classé,Chambres d'hôtes Monbadon,1 Noailles,Monbadon,33570,PUISSEGUIN,+33 5 57 40 60 52,,Clévacances,2 clés (Clévacances),,,-0.0439131,44.9369
Chambres d'hôtes,Non classé,Château de Lestange,114 Lestange,,33360,QUINSAC,+33 5 56 20 86 14,www.chateau-lestange.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.4890764,44.7575
Chambres d'hôtes,Non classé,Château de Crécy,Jeanmot ouest,,33760,ROMAGNE,+33 5 56 23 68 71,www.chateaudecrecy.fr,Clévacances,2 clés (Clévacances),,,-0.19415,44.7622
Chambres d'hôtes,Non classé,La Bergerie de Chauvelet,1226, Chauvelet,,33760,ROMAGNE,+33 5 56 23 52 92,www.labergerie-chauvelet.net,Clévacances,2 clés (Clévacances),,,-0.2022185,44.757908
Chambres d'hôtes,Non classé,La Longère Saint Seurin,5 lieu dit Saint-Seurin,,33580,ROQUEBRUNE,+33 5 56 71 39 41,www.location-chambres-hotes.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,0.01253128,44.629574
Chambres d'hôtes,Non classé,Chambres en vigne,28 Le Bourg,,33350,RUCH,+33 5 57 49 62 17,www.chambresenvigne.com,Clévacances,4 clés (Clévacances),Clévacances Bacchus,,-0.0366926,44.774754
Chambres d'hôtes,Non classé,Château Le Grand Moulin,Champagne,,33820,SAINT-AUBIN-DE-BLAYE,+33 5 57 32 63 58,www.grandmoulin.com,Clévacances,3 clés (Clévacances),,,-0.5608391,45.26249
Chambres d'hôtes,Non classé,La Nouaison,2 le Gravy,,33350,SAINTE-RADEGONDE,+33 5 57 40 75 53,www.lanouaison.net,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,0.036875,44.80131
Chambres d'hôtes,Non classé,Château de Castelneau,Route du Breuil,,33670,SAINT-LEON,+33 5 56 23 47 01,www.chateaudecastelneau.com,Clévacances,3 clés (Clévacances),,,-0.279916,44.761627
Chambres d'hôtes,Non classé,Domaine de Dame Blanche,5, place de l'arbre de la Liberté,,33490,SAINT-MACAIRE,+33 5 56 76 23 44,www.domainededameblanche.com,Clévacances,2 clés (Clévacances),,,-0.2275989,44.565895
Chambres d'hôtes,Non classé,Château de Jayle,1, Jayle,,33490,SAINT-MARTIN-DE-SESCAS,+33 5 56 63 60 90;+33 5 56 63 60 93,www.chateaudejayle.com,Clévacances,2 clés (Clévacances),Clévacances Bacchus,,-0.167166,44.573082
Chambres d'hôtes,Non classé,Chambres d'hôtes Maleyran,13 rue Jean Duperrier,,33160,SAINT-MEDARD-EN-JALLES,+33 5 56 05 55 21,,Clévacances,3 clés (Clévacances),,,-0.717795,44.89301
Chambres d'hôtes,Non classé,Les Abris de Saint Sulpice,63 avenue du Général de Gaulle,,33330,SAINT-SULPICE-DE-FALEYRENS,+33 5 57 24 67 65,www.lesabrisdesaintsulpice.fr,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.1868766,44.866516
Chambres d'hôtes,Non classé,Le Logis du Médoc,6 rue de la Hourqueyre,,33340,SAINT-YZANS-DE-MEDOC,+ 9 53 00 79 59,www.lelogisdumedoc.com,Clévacances,3 clés (Clévacances),,,-0.82192,45.32281
