TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABEL,LONGITUDE,LATITUDE
Chambres d'hôtes,Non classé,Château Saint-Vincent,1, rue Arnaud de Pins,,33430,BAZAS,+33 5 56 25 12 20,,Fleurs de Soleil,-0.2181261,44.435303
Chambres d'hôtes,Non classé,Le Jardin des Oiseaux,7 allée des Meuniers,Lieu dit la Coste,33830,BELIN-BELIET,+33 5 56 88 10 78,,Fleurs de Soleil,-0.7718512,44.51383
Chambres d'hôtes,Non classé,Villa Prémayac,13, rue Prémayac,,33390,BLAYE,+33 5 57 42 27 39,www.villa-premayac.com,Fleurs de Soleil,-0.6636857,45.12565
Chambres d'hôtes,Non classé,Chambres d'hôtes Peyraguey Maison Rouge,Peyraguey,Maison Rouge,33210,BOMMES,+33 5 57 31 07 55,www.peyraguey-sauternes.com,Fleurs de Soleil,-0.337151,44.547222
Chambres d'hôtes,Non classé,Château de la Grave,Château de la Grave,,33710,BOURG,+33 5 57 68 41 49,www.chateaudelagrave.com,Fleurs de Soleil,-0.5600604,45.055645
Chambres d'hôtes,Non classé,La Camiranaise,29 Les Faures,,33190,CAMIRAN,+33 5 56 71 11 26,www.lacamiranaise.com,Fleurs de Soleil,-0.061856,44.63045
Chambres d'hôtes,Non classé,Domaine de Capiet,Capiet,,33760,COURPIAC,+33 5 56 23 93 34,,Fleurs de Soleil,-0.182211,44.75162
Chambres d'hôtes,Non classé,Chambres d'hôtes Baudin ,1 bis, allée de La Procession,La Hume,33470,GUJAN-MESTRAS,+33 5 56 66 23 23,www.littoral33.com,Fleurs de Soleil,-1.1075986,44.637768
Chambres d'hôtes,Non classé,Gravelande,7 chemin du Bergey,,33850,LEOGNAN,+33 5 56 64 72 04,www.gravelande.fr,Fleurs de Soleil,-0.6099202,44.727
Chambres d'hôtes,Non classé,So-Arts,5 Limousin Nord,,33190,LES ESSEINTES,+33 6 32 96 83 49,www.so-arts.com,Fleurs de Soleil,-0.0572328,44.600834
Chambres d'hôtes,Non classé,Domaine de Grande Font,207 chemin de Grande Font,,33220,SAINT-AVIT-SAINT-NAZAIRE,+33 5 57 41 34 04,www.grandefont.com,Fleurs de Soleil,0.2990704,44.854248
Chambres d'hôtes,Non classé,Château Morlan-Tuillière,M. et Mme Simonneau,3 place du Lavoir,33760,SAINT-PIERRE-DE-BAT,+33 5 57 34 42 86;+33 5 57 34 52 52,,Fleurs de Soleil,-0.2304339,44.67245
