TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABEL,CLASSEMENT_LABEL,THEMES_LABEL,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Chambres d'hôtes,Non classé,Chambres d'hôtes Bilher,5 Lassere,,33420,MOULON,+33 5 57 51 79 62,http://5lasserre.com/maison-dhotes/,Gîtes de France,5 épis (Gîtes de France),Charme Gîtes de France,,-0.2265663,44.8382
Chambres d'hôtes,Non classé,Le Relais des Landes de Chéoutre,1 rue des Landes de Chéoutre,,33990,NAUJAC-SUR-MER,+33 5 56 81 54 23;+33 5 56 73 01 30,www.gites33.fr,Gîtes de France,2 épis (Gîtes de France),Gîtes Bébé;Gîtes et Cheval,,-0.9759631,45.218502
Chambres d'hôtes,Non classé,Beau Séjour,2 place de l'Eglise,,33420,NAUJAN-ET-POSTIAC,+33 5 57 74 90 60,www.beau-sejour.net,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.159724,44.8268
Chambres d'hôtes,Non classé,Château Belles-Graves,Drouillau,,33500,NEAC,+33 5 57 51 09 61,www.belles-graves.com,Gîtes de France,3 épis (Gîtes de France),Gîtes de France vignoble;Charme Gîtes de France,,-0.191501,44.93968
Chambres d'hôtes,Non classé,Le Clos de la Palmeraie,3 chemin des Jardins,Peyressan,33340,ORDONNAC,+33 5 56 41 63 88,http://leclosdelapalmeraie.fr,Gîtes de France,3 épis (Gîtes de France),Séjour bien-être;Gîtes et Vélo,Handicap auditif;Handicap mental;Handicap moteur,-0.839612,45.316254
Chambres d'hôtes,Non classé,Lou Bercail,26 Grande Rue,Saint-Lambert,33250,PAUILLAC,+33 5 57 75 28 04,www.lou-bercail.com,Gîtes de France,3 épis (Gîtes de France),,,-0.7538954,45.17827
Chambres d'hôtes,Non classé,Chambres d'hôtes Garnaud,La Prévôté,,33240,PERISSAC,+33 5 57 74 37 78,,Gîtes de France,2 épis (Gîtes de France),,,-0.332514,45.041847
Chambres d'hôtes,Non classé,Chambres d'hôtes Gilles ,12 avenue du Parc d'Espagne,,33600,PESSAC,+33 5 56 36 82 96,,Gîtes de France,3 épis (Gîtes de France),City break Confort,,-0.681059,44.797173
Chambres d'hôtes,Non classé,Maison Lucilda,4 allée Lucildo,,33600,PESSAC,+33 5 56 81 54 23;+33 5 56 36 27 50,www.gites33.fr;www.chambre-hote-pessac.fr,Gîtes de France,3 épis (Gîtes de France),Bienvenue aux motards,,-0.6863953,44.782505
Chambres d'hôtes,Non classé,Château de Carbonneau,,,33890,PESSAC-SUR-DORDOGNE,+33 5 57 47 46 46,www.chateau-carbonneau.com,Gîtes de France,4 épis (Gîtes de France),Gîtes de France vignoble;Charme Gîtes de France;Gîte au Château;Gîtes Bébé,,0.079824,44.82005
