TYPE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Ferme de découverte,La Toison Douce,lieu-dit Jean Deleze,,33124,AILLAS,+33 5 56 65 32 74,www.laine-mohair.com,Bienvenue à la ferme,,-0.0676345,44.486217
Ferme de découverte,Safran de Bordeaux,34 rue du Maréchal Foch prolongée,,33440,AMBARES-ET-LAGRAVE,+33 5 56 38 80 96,www.safrandebordeaux.fr,Bienvenue à la ferme,,-0.4683049,44.928444
Ferme de découverte,Girond'Ane,Hougueyra,,33980,AUDENGE,+33 5 56 82 99 64,www.girondane.fr,,,-0.960945,44.70295
Ferme de découverte,Ferme de Gipon,1 Gipon,route d'Auros,33430,BAZAS,+33 5 56 25 25 11,http://pagesperso-orange.fr/fermedegipon,Bienvenue à la ferme,,-0.1922607,44.457554
Ferme de découverte,Monsieur Yohan MUSSEAU,Cazeville,,33430,BAZAS,+33 6 73 76 61 36,www.yohanmusseau.blogspot.com,,,-0.1654381,44.470318
Ferme de découverte,Domaine de la Grave,11 route de Perriche,,33750,BEYCHAC-ET-CAILLAU,+33 5 56 72 41 28;+33 5 56 72 08 33,www.vignoble-roche.com,Bienvenue à la ferme,,-0.4029808,44.870186
Ferme de découverte,Caviar de Gironde,Moulin de la Cassadotte,,33380,BIGANOS,+33 5 56 82 64 42,www.caviardegironde.com,,,-0.9426355,44.640385
Ferme de découverte,Ferme nature de Marahans,lieu dit Marahans,,33840,CAPTIEUX,+33 5 56 65 72 85,www.ferme-nature-marahans.com,,,-0.2598524,44.299404
Ferme de découverte,La ferme du Grand Lartigue,route de Maillas,,33840,CAPTIEUX,+33 5 56 65 62 29,http://lafermedugrandlartigue.com,,,-0.2541013,44.284325
Ferme de découverte,Ferme du Gat,Le Gat,,33430,LE NIZAN,+33 5 56 25 15 38,http://lafermedugat.free.fr,,,-0.275961,44.4681
Ferme de découverte,Flora Atlantica,lieu dit Lauros,2b chemin de Craste-Neuve,33680,LE PORGE,+33 6 07 53 69 08,www.flora-atlantica.com,Bienvenue à la ferme,,-1.1200131,44.852142
Ferme de découverte,Cabane 57,40 rue du Littoral,Piraillan,33950,LEGE-CAP FERRET,+33 5 56 60 54 76,www.lacabane57.com,Bienvenue à la ferme,,-1.2213814,44.70798
Ferme de découverte,Ferme de la Barbanne,allée des Castors,,33500,LIBOURNE,+33 7 77 28 42 86,www.ville-libourne.fr/mes-loisirs/164-ferme-de-la-barbanne.html,,,-0.2434806,44.93498
Ferme de découverte,Domaine de tout l'y faut,Lardière,,33860,MARCILLAC,+33 5 57 32 48 30,www.blaye-asperges-vins.com,Bienvenue à la ferme,Handicap mental;Handicap moteur;Handicap visuel,-0.498018,45.26996
Ferme de découverte,Animalia Parc,15 rue de la Bruyère,,33990,NAUJAC-SUR-MER,+33 5 56 73 00 73,www.bienvenue-a-la-ferme.com/gironde/ferme-animalia-parc-339287,Bienvenue à la ferme,,-1.0256845,45.25357
Ferme de découverte,La Chèvrerie des Cornes Brunes,1 Croix,,33890,PESSAC-SUR-DORDOGNE,+33 5 57 474 681,,,,0.097189,44.831783
Ferme de découverte,La ferme aux fleurs,,,33760,ROMAGNE,+33 5 56 23 65 09,www.bienvenue-a-la-ferme.com/gironde/ferme-ferme-aux-fleurs-53751,Bienvenue à la ferme,,-0.1967975,44.759712
Ferme de découverte,Musée et labyrinthe Gourmands "Oh! Légumes Oubliés" - @limenthus,Château de Belloc,,33670,SADIRAC,+33 5 56 30 62 00,www.ohlegumesoublies.com,Bienvenue à la ferme,Handicap auditif;Handicap mental;Handicap moteur,-0.4115707,44.781258
Ferme de découverte,La Ferme du Grand Juan,Grand Juan,,33790,SAINT-ANTOINE-DU-QUEYRET,+33 5 57 40 58 57,www.bienvenue-a-la-ferme.com/gironde/ferme-ferme-du-grand-juan-176448,Bienvenue à la ferme,,0.0018383,44.774986
Ferme de découverte,Le Jardin Grenadine,3249 rue Arthur Rimbaud,,33560,SAINTE-EULALIE,+33 5 56 06 98 27,www.la-fraise.fr,Bienvenue à la ferme,,-0.4939222,44.891834
Ferme de découverte,Ferme apicole Entre-deux-Miels,Peydoucet,,33490,SAINTE-FOY-LA-LONGUE,+33 5 56 76 45 85,http://perso.wanadoo.fr/entredeuxmiels/,Bienvenue à la ferme,,-0.1443356,44.60995
Ferme de découverte,Les lamas de Brandacot,3 Les bois de Lafont,,33390,SAINT-PAUL,+33 5 57 42 20 61,www.elevagelama.com,Bienvenue à la ferme,,-0.575881,45.15057
Ferme de découverte,Château Cablanc,,,33350,SAINT-PEY-DE-CASTETS,+33 5 57 40 52 20,www.chateaucablanc.com,Bienvenue à la ferme,,-0.0715859,44.800358
Ferme de découverte,La Ferme Science et Découverte,La Combe,,33690,SIGALENS,+33 5 56 65 32 05,www.ferme-science-decouverte.fr,,,-0.028131,44.44968
