TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,CHAINES,CLASSEMENT_LOGIS,LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Hôtel - Restaurant,3 étoiles,Hôtel Campanile Bordeaux Saint-Jean,6-8 rue Charles Domercq,,33800,BORDEAUX,+33 5 56 02 00 02,www.campanile-bordeaux-centre-gare-saint-jean.fr,Campanile,,,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-0.5553309,44.828823
Hôtel - Restaurant,3 étoiles,Hôtel Ibis Bordeaux Centre Mériadeck,35 cours du Maréchal Juin,,33000,BORDEAUX,+33 5 56 90 74 00;+33 5 56 96 24 96,www.ibishotel.com/fr/hotel-0950-ibis-bordeaux-centre-meriadeck/index.shtml,Ibis,,,,-0.584894,44.83556
Hôtel - Restaurant,3 étoiles,Hôtel Ibis Bordeaux Centre Bastide,16 rue Serr,,33100,BORDEAUX,+33 5 57 30 00 90,www.ibishotel.com/fr/hotel-6177-ibis-bordeaux-centre-bastide/index.shtml,Ibis,,,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-0.559552,44.84272
Hôtel - Restaurant,3 étoiles,Inter-Hôtel Apolonia Bordeaux-Lac,Rue du Grand Barail,Quartier du Lac,33300,BORDEAUX,+33 5 56 50 50 00,www.hotelapolonia-bordeauxlac.com,Inter Hôtels,,,,-0.56446,44.889763
Hôtel - Restaurant,3 étoiles,Hôtel Ibis Bordeaux Le Lac,Rue du Grand Barail,Quartier du Lac,33300,BORDEAUX,+33 5 56 50 96 50,www.ibishotel.com/fr/hotel-0356-ibis-bordeaux-le-lac/index.shtml,Ibis,,Famille Plus;Qualité Tourisme,,-0.564512,44.89042
Hôtel - Restaurant,3 étoiles,Hôtel Le Provençal,Rue du Grand Barail,Quartier du Lac,33300,BORDEAUX,+33 5 56 50 39 73,www.leprovencal33.com,Logis,2 cheminées;1 cocotte,Qualité Tourisme,,-0.564512,44.89042
Hôtel - Restaurant,3 étoiles,All Seasons Bordeaux Mériadeck,Avenue du Général de Larminat,,33000,BORDEAUX,+33 5 56 24 01 39,www.all-seasons-hotels.com/fr/hotel-7368-all-seasons-bordeaux-meriadeck/index.shtml,All Seasons,,,,-0.593548,44.833393
Hôtel - Restaurant,3 étoiles,Hôtel Mercure Bordeaux-Lac,Rue du Grand Barail,Quartier du Lac,33300,BORDEAUX,+33 5 56 43 36 72,www.mercure.com/fr/hotel-0551-mercure-bordeaux-le-lac/index.shtml,Mercure,,Famille Plus,,-0.56446,44.889763
Hôtel - Restaurant,3 étoiles,Hôtel Alton,107 rue de la Pelouse de Douet,,33000,BORDEAUX,+33 5 56 99 55 55,www.hotel-alton.fr,Inter Hôtels,,Qualité Tourisme,,-0.608246,44.829422
Hôtel - Restaurant,4 étoiles,Hôtel Novotel Bordeaux-Lac,Avenue Jean-Gabriel Domergue,Quartier du Lac,33300,BORDEAUX,+33 5 56 43 65 00,www.novotel.com/fr/hotel-0403-novotel-bordeaux-le-lac/index.shtml,Novotel,,Famille Plus,,-0.567363,44.88897
Hôtel - Restaurant,4 étoiles,Hôtel Mercure Bordeaux Mériadeck,5 rue Robert Lateulade,,33000,BORDEAUX,+33 5 56 56 43 43,www.mercure.com/fr/hotel-1281-mercure-bordeaux-centre/index.shtml,Mercure,,Famille Plus;Qualité Tourisme,,-0.586146,44.838875
Hôtel - Restaurant,4 étoiles,Hôtel Mercure Cité Mondiale,18 parvis des Chartrons,,33000,BORDEAUX,+33 5 56 01 79 79,www.citemondiale.com,Mercure,,Famille Plus;Qualité Tourisme,,-0.570741,44.850105
Hôtel - Restaurant,4 étoiles,Hôtel Novotel Bordeaux Centre,45 cours du Maréchal Juin,,33000,BORDEAUX,+33 5 56 51 46 46,www.novotel.com/fr/hotel-1023-novotel-bordeaux-centre-meriadeck/index.sht,Novotel,,Famille Plus;Qualité Tourisme,Handicap mental;Handicap moteur,-0.584894,44.83556
Hôtel - Restaurant,4 étoiles,Hôtel Mercure Bordeaux Gare Saint-Jean,28-30 rue de Tauzia,,33800,BORDEAUX,+33 5 56 92 21 21,www.mercure.com/fr/hotel-7385-mercure-bordeaux-gare-saint-jean/index.shtml,Mercure,,,,-0.559601,44.829777
Hôtel - Restaurant,4 étoiles,Hôtel Pullman Bordeaux Aquitania,Avenue Jean-Gabriel Domergue,Quartier du Lac,33300,BORDEAUX,+33 5 56 69 66 66,www.pullmanhotels.com/fr/hotel-0669-pullman-bordeaux-aquitania/index.shtm,,,Famille Plus,,-0.567363,44.88897
Hôtel - Restaurant,4 étoiles,Hôtel Mercure Château Chartrons,81 cours Saint-Louis,,33300,BORDEAUX,+33 5 56 43 15 00,www.hotel-chateau-chartrons-bordeaux.fr,Mercure,,Famille Plus,,-0.569344,44.858955
Hôtel - Restaurant,5 étoiles,Grand Hôtel de Bordeaux & Spa,2-5 place de la Comédie,,33000,BORDEAUX,+33 5 57 30 44 44,www.theregentbordeaux.com,,,,,-0.5746,44.842506
Hôtel - Restaurant,5 étoiles,Hôtel Burdigala,115 rue Georges Bonnac,,33000,BORDEAUX,+33 5 56 90 16 16,www.burdigala.com,MGallery,,,,-0.58997,44.83851
Hôtel - Restaurant,Non classé,Hôtel Walien Chanterel,119-121 rue de la Benauge,,33100,BORDEAUX,+33 5 56 86 21 51,,,,,,-0.553496,44.84049
Hôtel - Restaurant,Non classé,Auberge Québécoise,93 rue Eugène Jacquet,,33000,BORDEAUX,+33 5 56 96 54 66,www.auberge-quebecoise-bordeaux.fr,,,,,-0.613559,44.825356
Hôtel - Restaurant,Non classé,Hôtel Les 3 Cardinaux,Avenue des Trois Cardinaux,,33300,BORDEAUX,+33 5 57 19 38 38,www.les-trois-cardinaux.com,,,,,-0.562499,44.876774
Hôtel,Non classé,Hôtel B & B Bordeaux Bruges,Z.A.C. de Fieusal,rue de Daugère,33520,BRUGES,+33 8 92 78 80 14,www.hotel-bb.com/detailhotels.phtml?hotelid=4403,B&B,,La Clef Verte,,-0.59436,44.88803
Hôtel - Restaurant,2 étoiles,Hôtel Detree,22 avenue du Pont,,33410,CADILLAC,+33 5 56 62 65 38,,,,,,-0.323163,44.63631
Hôtel - Restaurant,3 étoiles,Hôtel du Château de La Tour,Route Départementale 10,Béguey,33410,CADILLAC,+33 5 56 76 92 00,www.hotel-restaurant-chateaudelatour.com,Châteaux et Hôtels Collection,,,,-0.3222513,44.639072
Hôtel,2 étoiles,Hôtel Entre-Deux-Mers,56 avenue Austin Comte,,33560,CARBON-BLANC,+33 5 56 38 12 02,www.hotel-e2m.fr,,,,,-0.4987,44.896
Hôtel,Non classé,Hôtel La Bonne Auberge,6 rue du 8 Mai 1945,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 11 56,,,,,,-0.042158,44.854626
Hôtel,Non classé,L'Auberge de Cazaux,60 avenue Guynemer,,33260,CAZAUX,+33 5 56 22 90 62;+33 5 56 83 48 90,http://aubergedecazaux.free.fr,,,,,-1.159873,44.532158
Hôtel,2 étoiles,Hôtel Formule Club,5 rue Condorcet,Zac Jean Zay,33150,CENON,+33 5 56 32 16 68,www.hotel-formuleclub.com,,,,,-0.507283,44.854366
Hôtel,1 étoile,Hôtel Première Classe Bordeaux Sud,33 chemin de Canéjan,,33610,CESTAS,+33 5 57 26 89 68,www.premiere-classe-bordeaux-sud-cestas.fr,Première Classe,,,,-0.684151,44.75946
Hôtel - Restaurant,3 étoiles,Campanile Bordeaux Sud Cestas,Aire de repos de Bordeaux-Cestas,A 63,33610,CESTAS,+33 5 57 97 87 00,www.campanile-bordeaux-sud-cestas.fr/fr/index.aspx,Campanile,,Qualité Tourisme,,-0.6852,44.7468
Hôtel,3 étoiles,Hôtel Henri IV,2 place du 8 Mai 1945,,33230,COUTRAS,+33 5 57 49 34 34,www.hotelcoutras.com,,,,,-0.1399898,45.030773
Hôtel - Restaurant,2 étoiles,Hôtel Atena,Route de La Sauve,,33670,CREON,+33 5 57 34 45 35,,,,,,-0.3359413,44.771416
Hôtel - Restaurant,Non classé,Hostellerie Château Camiac,Route de la Forêt,D 121,33670,CREON,+33 5 56 23 20 85,www.chateaucamiac.com,Relais du Silence;Châteaux et Hôtels Collection,,,,-0.333424,44.780746
Hôtel - Restaurant,2 étoiles,Hôtel Les Platanes,4 route de Saint-Savin,,33820,ETAULIERS,+33 5 57 64 70 42,www.les-platanes.com,Logis,2 cheminées;2 cocottes,,,-0.568123,45.2161
Hôtel,1 étoile,Hôtel Formule 1 Bordeaux Ouest,Avenue du Médoc,Lieu dit Cantinole,33320,EYSINES,08 91 70 51 91;05 56 28 73 78,www.accorhotels.com/fr/hotel-2360-formule-1-hotelf1-bordeaux-ouest-eysines/index.shtml,Formule 1,,,,-0.642889,44.887543
Hôtel,2 étoiles,Hôtel Balladins Bordeaux Eysines,11 allée du Champ de Course,,33320,EYSINES,+33 5 56 28 19 62,www.balladins-eysines.com,Balladins,,,,-0.6300866,44.880676
Hôtel,Non classé,Hôtel Quick Palace,Impasse du Paddock,,33320,EYSINES,+33 5 56 57 53 14,www.quickpalace-bordeaux.fr,Quick palace,,,,-0.6293336,44.87981
Hôtel,Non classé,Citôtel Les Alizés,11-15 avenue de Saint-Médard,,33320,EYSINES,+33 5 56 28 36 52,www.hotel-alizes-bordeaux.com,Citotel,,Qualité Tourisme,,-0.6369495,44.860813
Hôtel,Non classé,Hôtel Première Classe Bordeaux Ouest,74 avenue du Médoc,,33320,EYSINES,+33 5 56 16 00 85,www.premiere-classe-bordeaux-ouest-eysines.fr,Première Classe,,,,-0.620991,44.875977
Hôtel,2 étoiles,Hôtel Altica Floirac,2 chemin de Gabarre,,33270,FLOIRAC,+33 5 57 97 70 70,www.altica.fr/fiche-hotel-altica.php?hotel=bordeaux-floirac,Altica,,,,-0.522771,44.81852
Hôtel - Restaurant,Non classé,Château Beau Jardin,50 route de Soulac,,33340,GAILLAN-EN-MEDOC,+33 5 56 41 26 83,www.chateaubeaujardin.com,,,,,-0.97511,45.333733
Hôtel - Restaurant,2 étoiles,Hôtel Les Remparts,16 rue du Château,,33890,GENSAC,+33 5 57 47 43 46,www.lesremparts.net,,,,,0.072168,44.807297
Hôtel,2 étoiles,Arena Bordeaux Sud,7 allée des Demoiselles,,33170,GRADIGNAN,+33 5 57 83 07 07,www.hotel-arena-bordeaux.com,Arena,,,,-0.599522,44.78873
Hôtel,3 étoiles,Hôtel Novalis,9 avenue de l'Hippodrome,,33170,GRADIGNAN,+33 5 57 35 37 80,www.novalishotel33.com,Logis,3 cheminées,,Handicap mental;Handicap moteur,-0.642848,44.775787
Hôtel - Restaurant,2 étoiles,Hôtel Au Comté d'Ornon,Allée de Mégevie,,33170,GRADIGNAN,+33 5 56 75 26 85,www.aucomtedornon.com,Logis,2 cheminées;2 cocottes,Qualité Tourisme,,-0.639908,44.77675
Hôtel - Restaurant,3 étoiles,Campanile Bordeaux Sud Gradignan,Allée des Demoiselles,Rocade sortie n°16,33170,GRADIGNAN,+33 5 56 80 63 33,www.campanile-bordeaux-sud-gradignan-talence.fr/fr/index.aspx,Campanile,,,,-0.602358,44.789825
Hôtel - Restaurant,3 étoiles,Hôtel Beausoleil,Chemin du Plantey,,33170,GRADIGNAN,+33 5 56 89 00 48,www.hotel-beausoleil33.com,,,,,-0.625444,44.75224
Hôtel - Restaurant,3 étoiles,Hôtel Le Chalet Lyrique,169 cours du Général de Gaulle,,33170,GRADIGNAN,+33 5 56 89 11 59,www.chalet-lyrique.fr,Citotel,,Qualité Tourisme,,-0.614208,44.772778
Hôtel - Restaurant,3 étoiles,Comfort Hôtel Bordeaux Gradignan,Avenue de l'Europe,,33170,GRADIGNAN,+33 5 56 75 20 00;+33 1 57 32 34 60,www.comfort-hotel-gradignan.com,Comfort Inn,,,,-0.6432809,44.773907
Hôtel - Restaurant,Non classé,Inter-Hôtel Amphitryon Cottage,3 rue Jean Monnet,Z.A. Bersol,33170,GRADIGNAN,+33 5 56 75 56 50,www.hotel-bordeaux-amphitryon.com,Inter Hôtels,,Qualité Tourisme,,-0.58176,44.771942
Hôtel,Non classé,Hôtel Bellevue,46 avenue de l'Isle,,33230,GUITRES,+33 5 57 69 12 81,www.otguitres.fr/hebergements/hotels.html,,,,,-0.1848471,45.040825
Hôtel - Restaurant,3 étoiles,Hôtel La Guérinière,18 cours de Verdun,,33470,GUJAN-MESTRAS,+33 5 56 66 08 78,www.lagueriniere.com,,,Tables et Auberges de France,,-1.074223,44.636097
Hôtel - Restaurant,Non classé,Le HBR Hourtin,17 place de l'Eglise,,33990,HOURTIN,+33 5 56 09 11 15,www.hbrhourtin.fr,,,,,-1.0590648,45.185894
Hôtel - Restaurant,3 étoiles,Akena Relais Bordeaux Sud,ZAC du Filleau,1 rue Viana,33650,LA BREDE,+33 5 57 71 32 65,www.hotels-akena.com/hotel-akena_relais_bordeaux_sud_la_brede.html,Akena,,,,-0.5274057,44.682156
Hôtel,2 étoiles,Hôtel Altica Arcachon Marines,75 avenue du Général Leclerc,,33260,LA TESTE-DE-BUCH,+33 5 57 52 06 50,www.altica.fr/fiche-hotel-altica.php?hotel=arcachon-marines,Altica,,,,-1.1357438,44.61666
Hôtel,2 étoiles,Hôtel Altica La Teste Sud,Route de Binghampton,,33260,LA TESTE-DE-BUCH,+33 5 57 52 52 17,www.altica.fr/fiche-hotel-altica.php?hotel=arcachon-la-teste,Altica,,,,-1.1357438,44.61666
Hôtel - Restaurant,3 étoiles,Hôtel Ibis Arcachon La Teste,1 impasse du Bosquet,,33260,LA TESTE-DE-BUCH,+33 5 57 15 20 00,www.ibishotel.com/fr/hotel-3576-ibis-arcachon-la-teste/index.shtml,Ibis,,,,-1.1400675,44.616913
Hôtel - Restaurant,Non classé,Hôtel Le Moutchico,Le Moutchic,,33680,LACANAU,+33 5 56 03 00 05,www.moutchico.fr,,,Tables et Auberges de France,,-1.1345958,45.00275
Hôtel - Restaurant,2 étoiles,Hôtel l'Oyat,Front de Mer,Allées Ortal,33680,LACANAU-OCEAN,+33 5 56 03 11 11,www.hotel-oyat.com,,,,,-1.2014257,45.000683
Hôtel - Restaurant,3 étoiles,Vitalparc,Route du Baganais,,33680,LACANAU-OCEAN,+33 5 56 03 91 00,www.vitalparc.com,,,Famille Plus;Accueil Vélo;Vélodyssée,,-1.1713528,44.99207
