ACTIVITES,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LABELS,LONGITUDE,LATITUDE
Canoé kayak,Amazone ,134 avenue de Camps,,33470,LE TEICH,+33 6 72 76 34 58,www.leteich-tourisme.com,,-1.0184454,44.639996
Canoé kayak;Kayak de mer,Maison de la Nature du Bassin d'Arcachon,rue du Port,,33470,LE TEICH,+33 5 56 22 80 93,www.canoesurlaleyre.com,,-1.0201835,44.64098
Canoé kayak,Villetorte Loisirs,30, rue du Pont Neuf,,33470,LE TEICH,+33 5 56 22 66 80,www.loisirs-arcachon.com,,-1.0140895,44.637756
Motonautisme (bateau à moteur),SARL Latitude 45 - Ecoplaisance du Delta,86 rue des Poissonniers,,33470,LE TEICH,+33 7 87 51 89 50,,,-1.0165357,44.640903
Voile;Kayak de mer;Planche à voile;Catamaran,Cercle nautique du Verdon,plage de la Chambrette,,33123,LE VERDON-SUR-MER,+33 5 56 09 64 66,www.voile-medoc.com,Ecole Française de Voile,-1.0612106,45.564785
Bodyboard;Surf,Océan Spirit,Plage de la Torchère,Le Canon,33950,LEGE-CAP FERRET,+33 6 63 26 83 65;+33 6 72 79 95 41,http://oceanspirit-cfblogspot.com,,-1.2289748,44.701794
Canoé kayak;Stand-up-paddel-board,La Cabane à Gliss',24, avenue du Port,Claouey,33950,LEGE-CAP FERRET,+33 5 56 60 08 93,www.lacabaneagliss.com,,-1.1777043,44.744736
Kayak de mer;Catamaran;Voile,Cap Kayak Cata'C,38 avenue de Candau,,33600,LEGE-CAP FERRET,+33 6 78 66 54 11,,,-1.220169,44.710632
Kite-surf,Ecole de Kitesurf Cap-Ferret Kiteschool,19 allée des Ramiers,Cap Ferret,33970,LEGE-CAP FERRET,+33 6 07 90 13 60,www.cap-ferret-kiteschool.fr,Ecole Française de Kite,-1.2516374,44.641895
Motonautisme (bateau à moteur),Bat Express,,,33970,LEGE-CAP FERRET,+33 6 64 04 04 01;+33 6 17 44 04 48,www.batexpress.fr ,,-1.2461328,44.644627
