TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE_1,ADRESSE_SUITE_2,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABEL,CLASSEMENT_LABEL,THEMES_LABEL,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Meublés,4 étoiles,Gîte du Domaine de Cabirac,5 chemin de Cabirac,,,33360,CARIGNAN-DE-BORDEAUX,+33 5 57 97 32 70,www.cabirac.fr,Clévacances,4 clés (Clévacances),Clévacances Bacchus,Handicap auditif;Handicap mental;Handicap moteur,-0.4760947,44.816746
Meublés,5 étoiles,Moulin de Canteloup,36 route de Citon,,,33360,CARIGNAN-DE-BORDEAUX,+33 6 33 64 43 22,www.lemoulindecanteloup.com,Clévacances,5 clés (Clévacances),,,-0.4660865,44.79764
Meublés,Non classé,Château Gayon,6 Château Gayon,,,33490,CAUDROT,+33 5 56 62 81 19,www.chateau-gayon.com,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,-0.149803,44.584972
Meublés,2 étoiles,Meublé Godin,5 Charles,,,33410,DONZAC,+33 5 56 62 92 25,,Clévacances,2 clés (Clévacances),,,-0.268819,44.65202
Meublés,4 étoiles,Les Philiberts,5 bis Les Philiberts,,,33190,FOSSES-ET-BALEYSSAC,+33 5 56 61 77 26,http://monsite.wanadoo.fr/lesphiliberts,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,0.066725,44.598312
Meublés,4 étoiles,Les Philiberts,5 bis Les Philiberts,,,33190,FOSSES-ET-BALEYSSAC,+33 5 56 61 77 26,http://monsite.wanadoo.fr/lesphiliberts,Clévacances,3 clés (Clévacances),Clévacances Bacchus,,0.066725,44.598312
Meublés,Non classé,Château Lagüe,,,,33126,FRONSAC,+33 5 57 51 24 68,http://lague.site.voila.fr,Clévacances,3 clés (Clévacances),,,-0.270965,44.928123
Meublés,Non classé,Meublé Gier,1692 route des Faures,,,33420,GENISSAC,+33 5 57 24 47 69,,Clévacances,2 clés (Clévacances),,,-0.203915,44.826992
Meublés,Non classé,Meublé Duplacieux ,192 chemin de Fauquey,,,33420,GENISSAC,+33 5 57 24 46 46;+33 5 57 25 38 32,,Clévacances,2 clés (Clévacances),,,-0.254265,44.859516
Meublés,3 étoiles,Meublé Talon ,4 rue de l'Eglise,,,33890,GENSAC,+33 5 57 47 47 40,,Clévacances,3 clés (Clévacances),,,0.073599,44.80731
Meublés,3 étoiles,Meublé Diez ,45 route de Depée,L'Hôpital,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 38 87 26;+33 5 56 09 51 44,,Clévacances,3 clés (Clévacances),,,-1.146265,45.380577
Meublés,2 étoiles,Le Maine Blanc,11 route des Graves,,,33230,GUITRES,+33 5 57 69 14 30,www.maineblanc.fr,Clévacances,2 clés (Clévacances),,,-0.1607070,45.037106
Meublés,2 étoiles,Le Maine Blanc,11 route des Graves,,"la maison",33230,GUITRES,+33 5 57 69 14 30,www.maineblanc.fr,Clévacances,3 clés (Clévacances),,,-0.1855770,45.0417
Meublés,Non classé,La Fontaine du Déroc,1 avenue de la Gare Touristique,,,33230,GUITRES,+33 5 57 69 15 89,,Clévacances,2 clés (Clévacances),Clévacances pêche,,-0.118323,45.056057
