TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE_1,ADRESSE_SUITE_2,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABEL,CLASSEMENT_LABEL,THEMES_LABEL,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Meublés,Non classé,Gîte Les Chênes,Maharans,Les Chênes,,33840,CAPTIEUX,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Nature;Gîte écocitoyen;Gîtes Bébé,,-0.214869,44.28886
Meublés,Non classé,Gîte Les Fougères,Maharans,Les Fougères,,33840,CAPTIEUX,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Nature;Gîte écocitoyen;Gîtes Bébé,,-0.214869,44.28886
Meublés,Non classé,Gîte Les Pins,Maharans,Les Pins,,33840,CAPTIEUX,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Nature;Gîte écocitoyen;Gîtes Bébé,,-0.214869,44.28886
Meublés,Non classé,Gîte Les Roches Blanches,19 rue Jean Jaurès,,,33560,CARBON-BLANC,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,2 épis (Gîtes de France),,,-0.5010256,44.898827
Meublés,Non classé,Les Coquelicots,18 rue Frédéric Chopin,,,33560,CARBON-BLANC,+33 6 74 50 50 16,http://gite-rural-bordeaux.com,Gîtes de France,2 épis (Gîtes de France),Gîtes Bébé,,-0.513803,44.88979
Meublés,3 étoiles,Gîte de Carcans n°1196,20 route de la Crastille,,,33121,CARCANS,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.9972538,45.07882
Meublés,Non classé,Gîte de Carcans n°1036,Couyras,,,33121,CARCANS,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,2 épis (Gîtes de France),Gîtes Bébé,,-1.000063,45.104183
Meublés,Non classé,Gîte de Carcans n°1138,59 route du Lac,,,33121,CARCANS,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,2 épis (Gîtes de France),Gîtes Bébé,,-1.051402,45.077545
Meublés,Non classé,Gîte à La Conteau,3 route du Lion d'Or,,,33390,CARTELEGUE,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes Bébé,,-0.5769642,45.19124
Meublés,Non classé,Gîte de Perrin,4 impasse Perrin,,,33390,CARTELEGUE,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Bienvenue aux motards;Gîtes Bébé,,-0.583624,45.170235
Meublés,Non classé,Gîte n°4182,19 La Croix,,,33390,CARTELEGUE,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,2 épis (Gîtes de France),Gîtes Bébé,,-0.585754,45.186165
Meublés,Non classé,Gîte n°4290,4 bis impasse de Perrin,,,33390,CARTELEGUE,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Bienvenue aux motards;Gîtes Bébé,,-0.583624,45.170235
Meublés,Non classé,Gîte n°3013,Le Bourg,,,33540,CASTELVIEL,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,2 épis (Gîtes de France),,,-0.16,44.67
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Meublé communal,,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 00 06,,Gîtes de France,1 épi (Gîtes de France),Gîtes Bébé,,-0.043008,44.852066
Meublés,Non classé,Logis de la Périchère,,,,33640,CASTRES-GIRONDE,+33 5 56 81 54 23,www.gites33.fr,Gîtes de France,3 épis (Gîtes de France),Gîtes de France vignoble,,-0.438963,44.69555
