TYPE,THEMES_DU_SITE,CATEGORIE,NOM_DU_SITE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABELS,LONGITUDE,LATITUDE
Site et monument historiques,Ville, village et quartier,Sites et monuments historiques inscrits,Ville historique de Castillon-la-Bataille,,,33350,CASTILLON-LA-BATAILLE,+33 5 57 40 27 58,www.tourisme-castillonpujols.fr,,-0.047323,44.84318
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Martin de Castres-Gironde,,,33640,CASTRES-GIRONDE,+33 5 56 78 47 72,www.otmontesquieu.com,,-0.444907,44.69791
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint Pierre-ès-Liens,2 rue Raymond Sanchez,,33260,CAZAUX,+33 5 56 22 91 75;+33 5 56 54 63 14,wwww.tourisme-latestedebuch.fr,,-1.1516225,44.538174
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Saint-Martin de Cérons,Barthé,,33720,CERONS,+33 5 56 27 01 17,www.cerons33.fr,,-0.333502,44.635128
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Romain de Cessac,,,33760,CESSAC,+33 5 56 23 97 78,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre de Civrac-en-Médoc,,,33340,CIVRAC-EN-MEDOC,+33 5 56 41 51 02,,,-0.898956,45.337822
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise Notre-Dame de Coimères,,,33210,COIMERES,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.2096619,44.496025
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Martin de Coirac,,,33540,COIRAC,+33 5 56 71 53 45,www.entredeuxmers.com,,-0.167321,44.691525
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Christophe de Courpiac,,,33760,COURPIAC,+33 5 56 23 93 09,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Jean Baptiste de Coutras,Rue Saint Jean,,33230,COUTRAS,+33 5 57 69 36 53,www.pays-de-coutras.com,,-0.129567,45.041092
Site et monument historiques,Puits,Sites et monuments historiques inscrits,Puits Henri IV,Place du Château,,33230,COUTRAS,+33 5 57 69 36 53,www.pays-de-coutras.com,,-0.130282,45.041046
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Cibard de Coutures,,,33580,COUTURES,+33 5 56 61 82 73,www.entredeuxmers.com,,0.082404,44.65918
Site et monument historiques,Bastide,Sites et monuments historiques inscrits,Bastide de Créon,,,33670,CREON,+33 5 56 23 23 00,www.tourisme-creonnais.fr,,-0.3482634,44.77445
