TYPE,THEMES,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Centre d'interprétation ,Viticole,Planète Bordeaux,R.N. 89 - sortie n°5,1 route de Pasquina,33750,BEYCHAC-ET-CAILLAU,+33 5 57 97 19 20;+33 5 56 97 19 38,www.planete-bordeaux.fr,,Handicap mental;Handicap moteur,-0.3773975,44.87564
Centre d'interprétation ,Environnement et nature,Centre d'interprétation de l'Estuaire de la Gironde,La Manutention,rue du 144ème RI,33390,BLAYE,+33 5 57 42 80 96,www.estuairegironde.net,,,-0.6657028,45.12847
Centre d'interprétation ,Environnement et nature,Maison écocitoyenne de Bordeaux,Quai Richelieu,,33000,BORDEAUX,+33 5 24 57 65 20,maisoneco.blog.bordeaux.fr,,Handicap auditif;Handicap mental;Handicap moteur;Handicap visuel,-0.567257,44.83849
Centre d'interprétation ,Ecomusée;Métier;Environnement et nature,Ecomusée du maraîchage,Château Lescombes,198 avenue du Taillan,33320,EYSINES,+33 5 56 28 46 62;+33 5 56 16 18 10,www.ville-eysines.fr,,,-0.653283,44.88143
Centre d'interprétation ,Métier;Environnement et nature,La cabane du maraîcher,rue du Prado,,33320,EYSINES,+33 5 56 28 46 62;+33 5 56 16 18 10,www.ville-eysines.fr,,,-0.6609801,44.89309
Centre d'interprétation ,Ecomusée;Viticole,Ecomusée de la Vigne et du Vin,238 cours du Général de Gaulle,,33170,GRADIGNAN,+33 5 56 89 00 79,www.ville-gradignan.fr,,,-0.615517,44.77099
Centre d'interprétation ,Métier;Environnement et nature,Sur les traces du gemmeur,route de Biscarrosse,parking Plage de la Salie Nord,33115,PYLA-SUR-MER,+33 5 56 54 02 22;+33 5 56 54 63 14,www.tourisme-latestedebuch.fr,,,-1.2363052,44.527107
Centre d'interprétation ,Environnement et nature,Terre & Ocean - Maison du patrimoine naturel du Créonnais,23 route de Créon,La Gare,33670,SADIRAC,+33 5 56 30 64 32,www.nature-creonnais.fr,,,-0.385361,44.78154
Centre d'interprétation ,Environnement et nature,Jardin de la Lamproie,Lavagnac Nord,,33350,SAINTE-TERRE,+33 5 57 47 14 34,www.jardindelalamproie.fr,,,-0.1347541,44.819687
Centre d'interprétation ,Ecomusée;Métier,Ecomusée du centre Médoc - Le Garde-Mémoire,4, place Saint-Pierre,,33180,VERTHEUIL,+33 5 56 41 97 23,www.ecomusee-vertheuil.fr,,,-0.834644,45.250465
Musée,Histoire,Maison Louis David,avenue Pasteur,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 02 95,www.andernoslesbains.fr,,,-1.0988506,44.74103
Musée,Maritime,Le Petit Musée de l'Huître,,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 02 95,www.andernoslesbains.fr,,,-1.1084175,44.743443
Musée,Maritime;Sciences naturelles,Musée Aquarium d'Arcachon,2 rue Professeur Jolyet,,33120,ARCACHON,+33 5 56 54 89 28,www.arcachon.com ,,,-1.1638049,44.662704
Musée,Art moderne / contemporain,Château d'Arsac,1 allée du Comte,,33460,ARSAC,+33 5 56 58 83 90,www.chateau-arsac.com,,,-0.708284,44.97906
Musée,Archéologie;Histoire,Musée municipal de Bazas,2 place de la Cathédrale,,33430,BAZAS,+33 5 56 25 25 84,www.ville-bazas.fr,,,-0.211257,44.431293
Musée,Arts décoratifs;Métiers,Apothicairerie de Bazas,Hôpital Saint-Antoine,,33430,BAZAS,+33 5 56 25 25 84,www.tourisme-bazadais.com,,,-0.2090835,44.435863
Musée,Art moderne / contemporain,Musée de la Création Franche,58 avenue du Maréchal de Tassigny,,33130,BEGLES,+33 5 56 85 81 73;+33 5 56 49 34 72,www.musee-creationfranche.com,,,-0.542808,44.806065
