TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,MARQUES_ET_LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Offices de tourisme et Syndicats d'initiative,Syndicat d'initiative,Maison du Tourisme et du Vin de Saint-Seurin-de-Cadourne,Espace Paul Daumains,,33180,SAINT-SEURIN-DE-CADOURNE,+33 5 56 59 84 14,www.saint-seurin-de-cadourne.fr,,,-0.7899682,45.285683
Offices de tourisme et Syndicats d'initiative,2 ̩toiles,Office de Tourisme de Saint-Seurin-sur-l'Isle,Espace Charles de Gaulle,,33660,SAINT-SEURIN-SUR-L'ISLE,+33 5 57 49 59 69,www.stseurinsurlisle.com,,,-0.001223,45.01348
Offices de tourisme et Syndicats d'initiative,1 ̩toile,Office de Tourisme de Saint-Vivien-de-M̩doc,Place Brigade Carnot,,33590,SAINT-VIVIEN-DE-MEDOC,+33 5 56 09 58 50,www.office-de-tourisme-saint-vivien-de-medoc.com,,,-1.0361481,45.431137
Offices de tourisme et Syndicats d'initiative,1 ̩toile,Office de Tourisme de Salles et du Val de l'Eyre,4 all̩e du Champ de Foire,,33770,SALLES,+33 5 56 88 30 11,www.salles-valdeleyre.com,Station Verte de Vacances,,-0.8678465,44.549522
Points d'informations touristiques,3 ̩toiles,Point d'accueil de Sauternes,11 rue Principale,,33210,SAUTERNES,+33 5 56 76 69 13,www.tourisme-sauternes-graves.com,,,-0.342756,44.53309
Points d'informations touristiques,3 ̩toiles,Bureau d'Information Touristique de Sauveterre-de-Guyenne,28 Place la R̩publique,,33540,SAUVETERRE-DE-GUYENNE,+33 5 56 71 53 45,www.entredeuxmers.com,Accueil V̩lo,,-0.0863027,44.69255
Offices de tourisme et Syndicats d'initiative,3 ̩toiles,Office de Tourisme de Soulac-sur-Mer,68 rue de la Plage,BP 2,33780,SOULAC-SUR-MER,+33 5 56 09 86 61,www.soulac.com;http://soulac.com/blog,Qualit̩ Tourisme,,-1.1234164,45.513947
Offices de tourisme et Syndicats d'initiative,1 ̩toile,Office de Tourisme du Canton de Targon,10 Grand'Rue,,33760,TARGON,+33 5 56 23 63 69;+33 967 046 369,www.targon-tourisme.com,,,-0.2629999,44.73419
Offices de tourisme et Syndicats d'initiative,2 ̩toiles,Office de Tourisme de Vendays-Montalivet,62 avenue de l'Oc̩an,,33930,VENDAYS-MONTALIVET,+33 5 56 09 30 12,www.ot-vendays-montalivet.fr,,,-1.1484789,45.377502
Offices de tourisme et Syndicats d'initiative,1 ̩toile,Office de Tourisme de la Communaut̩ de Communes de Villandraut,Place du G̩n̩ral de Gaulle,BP 12,33730,VILLANDRAUT,+33 5 56 25 31 39,www.cc-villandraut.fr,,,-0.3728193,44.458527
Offices de tourisme et Syndicats d'initiative,2 ̩toiles,Office de Tourisme d'Andernos-les-Bains,Esplanade du Broustic,B.P 42,33510,ANDERNOS-LES-BAINS,+33 5 56 82 02 95,http://tourisme.andernoslesbains.fr,,,-1.0996844,44.743862
Offices de tourisme et Syndicats d'initiative,3 ̩toiles,Arcachon Expansion-Office de Tourisme,Esplanade Georges Pompidou,,33120,ARCACHON,+33 5 57 52 97 97;+33 5 57 52 97 75,www.arcachon.com,Qualit̩ Tourisme,,-1.167941,44.660122
