TYPE,THEMES,TYPE1,STYLE,RAISON_SOCIALE,ADRESSE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Parc et jardin,Parc,Collection de végétaux,,Le Parc Pereire et les Abatilles,avenue du Parc,33120,ARCACHON,+33 5 57 52 97 97,www.arcachon.com,,,-1.19351,44.650654
Parc et jardin,Arboretum,Collection de végétaux,A l'anglaise,Parc Mauresque,avenue Victor Hugo,33120,ARCACHON,+33 5 57 52 97 97,www.arcachon.com,,,-1.1729621,44.65913
Parc et jardin,Parc,Collection de végétaux,,Parc du Château Couloumey,12, route des Landes,33640,BEAUTIRAN,+33 5 56 67 66 65,www.chateau-couloumey.fr,,,-0.461977,44.69792
Parc et jardin,Parc,Collection de végétaux,A l'anglaise,Parc Lecoq,avenue de la Libération,33380,BIGANOS,+33 5 57 70 67 56,www.tourisme-coeurdubassin.com,,,-0.9764742,44.641468
Parc et jardin,Parc;Jardin d'agrément,Collection de végétaux,A la française,Parc de Fongravey,rue Jean Moulin,33290,BLANQUEFORT,+33 5 56 95 50 95,www.ville-blanquefort.fr,,,-0.630993,44.91439
Parc et jardin,Parc;Jardin d'agrément,Collection de végétaux,A la française;A l'italienne;Exotique;Contemporain,Parc de Majolan,avenue du Général de Gaulle,33290,BLANQUEFORT,+33 5 56 95 50 95,www.ville-blanquefort.fr,Jardin remarquable,,-0.63554,44.92072
Parc et jardin,Jardin d'agrément,Collection de végétaux,,Jardin public de Blaye,cours du Général de Gaulle,33390,BLAYE,+33 5 57 42 12 09,www.blaye.fr,,,-0.6636083,45.12398
Parc et jardin,Jardin botanique,Collection de végétaux;Plantes médicinales / simples;Serre et orangerie,Contemporain,Jardin botanique de Bordeaux,esplanade Linné,33100,BORDEAUX,+33 5 56 52 18 77,www.bordeaux.fr,,Handicap auditif;Handicap mental;Handicap moteur,-0.5494198,44.844555
Parc et jardin,Parc,Collection de végétaux,,Jardin de la Béchade,rue de la Béchade,33000,BORDEAUX,,www.bordeaux.fr,,,-0.5988514,44.82496
Parc et jardin,Parc,Collection de végétaux,,Parc Rivière,rue Mandron,33000,BORDEAUX,+33 5 56 10 25 39,www.bordeaux.fr,,,-0.583334,44.85512
Parc et jardin,Jardin botanique;Arboretum,Collection de végétaux,,Jardin public de Bordeaux,cours de Verdun,33000,BORDEAUX,+33 5 56 10 20 30,www.bordeaux.fr,Famille Plus,,-0.575835,44.848595
Parc et jardin,Parc,Collection de végétaux,,Parc Bordelais,rue du Bocage,33000,BORDEAUX,+33 5 56 10 25 39,www.bordeaux.fr,Famille Plus,,-0.599916,44.85187
Parc et jardin,Parc,Collection de végétaux,,Parc Floral/Bois de Bordeaux,avenue Pernon (entrée Nord),33300,BORDEAUX,+33 5 56 10 25 39;+33 5 56 00 66 00,www.bordeaux.fr,Famille Plus,,-0.573964,44.9075
Parc et jardin,Jardin d'agrément,Collection de végétaux,,Jardin de la Mairie,20 cours d'Albret,33000,BORDEAUX,,www.bordeaux.fr ,,,-0.5811166,44.83775
Parc et jardin,Jardin d'agrément,Collection de végétaux,A l'anglaise,Jardin des Dames de la Foi,rue Saint-Genès,33000,BORDEAUX,,www.bordeaux.fr ,,,-0.5819749,44.824585
Parc et jardin,Jardin d'agrément,Collection de végétaux,,Jardin de la Citadelle,Rue Bistaudeau,33710,BOURG,+33 5 57 68 40 04,www.bourg-en-gironde.fr,,,-0.5620193,45.039474
Parc et jardin,Parc,Collection de végétaux,,Parc de l'Esconge,Citadelle,33710,BOURG,+33 5 57 68 31 76,www.bourg-en-gironde.fr,,,-0.5639934,45.03975
Parc et jardin,Parc,,,Parc des Floralies,,33650,CABANAC-ET-VILLAGRAINS,+33 5 56 68 72 13,www.cabanacetvillagrains.fr ,,,-0.55191,44.603634
Parc et jardin,Parc,Collection de végétaux;Serre et orangerie,A l'italienne;A l'anglaise;En terrasse,Parc du Château Kirwan,,33460,CANTENAC,+33 5 57 88 71 00,www.chateau-kirwan.com,,,-0.6576347,45.027042
Parc et jardin,Jardin d'agrément,Collection de végétaux;Serre et orangerie,A l'anglaise,Parc du Château Lanessan,Château Lanessan,33460,CUSSAC-FORT-MEDOC,+33 5 56 58 94 80,www.lanessan.com,Jardin remarquable,,-0.7321357,45.119205
Parc et jardin,Jardin d'agrément,,A l'italienne,Jardin du Clozet,16, chemin des Plateaux,33270,FLOIRAC,+33 6 88 83 21 91,,,,-0.5163884,44.82989
Parc et jardin,Conservatoire,Plantes médicinales / simples,De curé / monastique,Jardin de la Commanderie de Sallebruneau,Sallebruneau,33760,FRONTENAC,+33 5 56 80 33 37;+33 5 56 23 63 69,www.assrag.org/fr ,,,-0.121888,44.73016
Parc et jardin,Conservatoire;Parc,Plantes médicinales / simples,De curé / monastique,Jardin de Pierral,25, cours du Général de Gaulle,33170,GRADIGNAN,+33 5 56 89 61 33,www.itinerancesculturelles.asso.fr,,,-0.605235,44.786495
Parc et jardin,Jardin d'agrément,Collection de végétaux,En terrasse,Le jardin de Maryse,1, rue Fontaine de l'Abbaye,33230,GUITRES,+33 5 57 69 11 48,www.otguitres.fr,,,-0.1864778,45.03972
Parc et jardin,Parc,Collection de végétaux,A l'anglaise,Parc du Château de La Brède,avenue du Château,33650,LA BREDE,+33 5 56 78 47 72,www.chateaulabrede.com,,,-0.5427074,44.67924
Parc et jardin,Jardin botanique,Collection de végétaux,,Roseraie du Parc de l'Ermitage,rue Jean Martial,33110,LE BOUSCAT,+33 5 57 22 26 66,www.mairie-le-bouscat.fr,,,-0.596442,44.865913
Parc et jardin,Parc,Plantes médicinales / simples,,Parc du Château Le Thil,35 chemin Le Thil,33850,LEOGNAN,+33 5 56 64 77 61,www.chateaulethil.com,,,-0.5757522,44.74003
