TYPE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,LONGITUDE,LATITUDE
Parc à thèmes,Escalad'Parc,avenue Pierre de Coubertin,,33510,ANDERNOS-LES-BAINS,+33 6 87 84 90 47,www.escalad-parc.fr,-1.082147,44.75273
Parc à thèmes,Jardin des senteurs,chemin des Pardies,,33380,BIGANOS,+33 5 56 26 73 37,www.lejardindessenteurs.com,-0.9807014,44.66563
Parc à thèmes,Terres d'Oiseaux,2 les Nouvelles Possessions,Port des Callonges,33820,BRAUD-ET-SAINT-LOUIS,+33 5 57 32 88 80;+33 5 57 32 88 88,www.terresdoiseaux.fr,-0.6980609,45.284126
Parc à thèmes,Matevana,Domaine de La Lirette,,33760,FRONTENAC,+33 6 60 14 41 30,www.matevana.fr,-0.1654815,44.737953
Parc à thèmes,Aqualand,Parcs d¿Attractions de La Hume,route des Lacs,33470,GUJAN-MESTRAS,+33 5 56 66 39 39,www.aqualand.fr,-1.1004781,44.617325
Parc à thèmes,Bassin Aventures,Parcs d¿Attractions de La Hume,route des Lacs,33470,GUJAN-MESTRAS,+33 6 37 80 97 97;+33 6 82 60 95 30,www.bassinaventures.com,-1.116002,44.639896
Parc à thèmes,Kid Parc,Parcs d¿Attractions de La Hume,route des Lacs,33470,GUJAN-MESTRAS,+33 5 56 66 06 90,www.kidparc.com,-1.1062717,44.622356
Parc à thèmes,Laser Lander,5 allée Ferdinand de Lesseps,,33470,GUJAN-MESTRAS,+33 5 56 54 31 26,www.laserlander.com,-1.0708451,44.61253
Parc à thèmes,La Coccinelle,Parcs d¿Attractions de La Hume,route des Lacs,33470,GUJAN-MESTRAS,+33 5 56 66 30 41,www.la-coccinelle.fr,-1.1050915,44.62143
Parc à thèmes,Parc Ornithologique du Teich,rue du Port,Maison de la Nature du Bassin d'Arcachon,33470,LE TEICH,+33 5 56 22 80 93,www.parc-ornithologique-du-teich.com,-1.0202479,44.6411
Parc à thèmes,Parc de loisirs du Four,Le Four,Les Jacquets,33950,LEGE-CAP FERRET,+33 5 57 70 34 06,www.parcdeloisirsdufour.fr,-1.1965656,44.731796
Parc à thèmes,Récréa'Land,26, avenue du Meilleur Ouvrier de France,,33700,MERIGNAC,+33 5 57 29 19 84,www.recrealand.com,-0.670571,44.836315
Parc à thèmes,Le Bourgailh,avenue de Beutre,,33600,PESSAC,+33 5 56 15 32 11,www.bourgailh-pessac.fr,-0.677594,44.80234
Parc à thèmes,Parc Arbor et Sens,Bois de Mauquey,route départementale 121,33670,SAINT-GENES-DE-LOMBAUD,+33 6 99 74 45 67,www.arbor-et-sens.fr,-0.395679,44.746002
Parc à thèmes,Parc de loisirs Nat&a,Lieu dit Naudon,,33920,SAINT-SAVIN,+33 5 57 58 40 33,www.nat-et-a.com,-0.4698371,45.143276
Parc à thèmes,Parc de l'Aventure,Lède de Montalivet,,33930,VENDAYS-MONTALIVET,+33 5 56 09 07 88,www.laforet-aventure.com,-1.138029,45.37446
