TYPE,CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL_INFO_RESERVATION,SITE_WEB,CHAINES,LABELS,TOURISME_ET_HAND,LONGITUDE,LATITUDE
Résidence hôtelière,Non Classé,Résidence L'Océane,avenue Franck Cazenave,,33510,ANDERNOS-LES-BAINS,+33 5 56 26 12 12;+33 4 92 28 38 48,www.franceloc.fr/appartement/residence-mer-ete-andernos-site-FR.html,,,,-1.0897064,44.729904
Résidence hôtelière,Non Classé,Résidence Les Ecureuils,79, avenue de la Libération,,33740,ARES,+33 5 56 26 09 47,www.ares-residence.com,,,,-1.1253368,44.760464
Résidence hôtelière,Non Classé,Domaine de Valmont,22, rue de la Gare,,33720,BARSAC,+33 5 56 27 02 69 ,www.domaine-valmont.fr,,,,-0.318993,44.603413
Résidence hôtelière,Non Classé,Le Rodin,1 cours du Général de Gaulle,,33430,BAZAS,+33 5 56 25 09 96,www.hotellerodin.fr.ht/,,,,-0.2153277,44.431564
Résidence hôtelière,Non Classé,Citéa Bordeaux,1 bis rue Jean-Renaud Dandicolle,,33000,BORDEAUX,+33 5 56 56 18 00,www.citea.com/apparthotels/bordeaux/citea-bordeaux,,,,-0.589845,44.83121
Résidence hôtelière,Non Classé,Appart¿hôtel Victoria Garden Bordeaux,127, cours de la Somme,,33800,BORDEAUX,+33 5 56 33 48 48,www.victoriagarden.com,,,,-0.5726515,44.82581
Résidence hôtelière,Non Classé,Le Jardin des Sciences de Bordeaux-Dubourdieu,126/128, rue Dubourdieu,,33800,BORDEAUX,+33 5 56 94 14 23,www.icade-immobilier.com/residence-services-etudiant/aquitaine/gironde/bordeaux/les-laureades-LAUREADES16.html,,,,-0.5760175,44.82267
Résidence hôtelière,Non Classé,Les Lauréades de Bordeaux-Kergomard,35, rue Pauline Kergomard,,33800,BORDEAUX,+33 5 56 33 41 90,www.icade-immobilier.com/residence-services-etudiant/aquitaine/gironde/bordeaux/les-laureades-LAUREADES22.html,,,,-0.574915,44.823185
Résidence hôtelière,Non Classé,Résidence de la Gare,21, rue Charles Domercq,,33800,BORDEAUX,+33 5 56 33 63 00,www.residencedelagare.com,,,,-0.5567931,44.82712
Résidence hôtelière,Non Classé,Résidence Séjours & Affaires Yser,183 cours de l'Yser,,33800,BORDEAUX,+33 5 56 94 32 06,www.sejours-affaires.com/residence-hoteliere-aparthotel-bordeaux-5.html,,,,-0.5710201,44.822876
Résidence hôtelière,Non Classé,ResidHotel Galerie Tatry,170, cours du Médoc,,33000,BORDEAUX,+33 5 56 07 71 80,www.residhotel.com/galerie-tatry.html,,,,-0.5722227,44.862846
Résidence hôtelière,Non Classé,Ténéo Suites Bordeaux,4, cours Barbey,,33000,BORDEAUX,+33 5 56 33 22 00,www.teneo.fr/concept/2/2/4/teneo-suites-bordeaux.html,,,,-0.562774,44.82777
Résidence hôtelière,Non Classé,Résidence hôtelière de loisirs,1 avenue de la République,,33820,BRAUD-ET-SAINT-LOUIS,+33 5 57 42 63 70;+33 5 57 42 61 07,www.mairie-braud.com,,,,-0.6282806,45.2445
Résidence hôtelière,Non Classé,Village de l'Océan,rue de la Forêt,,33121,CARCANS,+33 5 56 03 90 20,www.village-ocean-carcans.com,,,,-1.1867012,45.08297
Résidence hôtelière,Non Classé,Le Grand Pavois,3 allée du Mail,,33121,CARCANS-MAUBUISSON,+33 5 56 12 49 11;+33 5 57 70 19 65,www.topotel.com/residences-vacances/residences-mer/carcans-maubuisson-3,,,,-1.140089,45.06776
Résidence hôtelière,Non Classé,Résidence Igesa Carcans,avenue de l'Océan,,33121,CARCANS-MAUBUISSON,+33 5 56 03 40 60,www.igesa.fr/fiche-dvl/carcans-maubuisson,,,,-1.149702,45.074974
Résidence hôtelière,Non Classé,Les Hameaux de l'Océan,rue des Mouettes,,33121,CARCANS-OCEAN,+33 5 56 12 49 11;+33 5 57 70 19 65,www.topotel.com/residences-vacances/residences-mer/carcans-ocean-4/,,,,-1.1880254,45.08361
Résidence hôtelière,Non Classé,Les Lauréades de Bordeaux-Bastide,4 rue Pierre Curie,,33150,CENON,+33 8 25 33 23 32  ,www.icade-immobilier.com/residence-services-etudiant/aquitaine/gironde/cenon/les-laureades-LAUREADES1228842.html,,,,-0.5325208,44.85809
Résidence hôtelière,Non Classé,Résidence hôtelière La Farguaise,24 route des Garres,,33210,FARGUES,+33 5 56 62 93 18,www.lafarguaise.com,,,,-0.2727439,44.538025
Résidence hôtelière,Non Classé,Centre naturiste Euronat,,,33590,GRAYAN-ET-L'HOPITAL,+33 5 56 09 33 33;+33 5 56 73 24 51,www.euronat.fr,,,,-1.003042,45.456223
Résidence hôtelière,Non Classé,La Baie des Landes,140 cours de Verdun,,33470,GUJAN-MESTRAS,+33 5 56 66 08 38,www.labaiedeslandes.com,,,,-1.0865501,44.6365
Résidence hôtelière,Non Classé,Village Khélus,Agence Kaliséa - Village Khélus,La Hume,33470,GUJAN-MESTRAS,+33 5 56 66 88 88,www.kalisea.fr,,,,-1.112216,44.619556
Résidence hôtelière,Non Classé,Les Rives du Lac,22 avenue de la plage,,33680,LACANAU,+33 4 89 06 66 30 ,www.mmv.fr  ,,,,-1.1293996,45.00358
Résidence hôtelière,Non Classé,Villas d'Atlantic Green,Golf de l'Ardilouse,route du Baganais,33680,LACANAU OCEAN,+33 5 57 14 20 87,www.estivel.com,,Famille Plus,,-1.1637032,44.991695
Résidence hôtelière,Non Classé,Villas de Green Parc,Domaine Résidentiel,rue des Gemmeurs,33680,LACANAU OCEAN,+33 5 56 12 49 11;+33 5 56 26 32 55,www.topotel.com,,Famille Plus,,-1.1716961,45.00438
