CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,TEL__INFORMATIONS,SITE_WEB,COMMUNE,CHAINES,LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Non classé,Résidence L'Océane,Avenue Franck Cazenave,,33510,+33 5 56 26 12 12;+33 4 92 28 38 48,www.franceloc.fr/appartement/residence-mer-ete-andernos-site-FR.html,ANDERNOS-LES-BAINS,,,,-1.0897064,44.729904
2 étoiles,Résidence Maeva la Jetée des Marins,398 boulevard de la Plage,,33120,+33 5 56 83 09 52,www.maeva.com,ARCACHON,Maeva,,,-1.17903,44.66301
3 étoiles,Le Jardin Mauresque,120 cours Desbiey,,33120,+33 5 57 14 20 87,www.estivel.com,ARCACHON,,,,-1.171441,44.659462
4 étoiles,Résidence Le Trianon,161 boulevard de la Plage,,33120,+33 5 56 22 34 00,www.meretgolf.fr,ARCACHON,Mer et Golf,,,-1.16402,44.662548
4 étoiles,Résidhome Apparthotel Arcachon Plazza,49 avenue Lamartine,,33120,+33 5 57 15 48 00,www.residhome.com/residence-hoteliere-aparthotel-arcachon-210.html,ARCACHON,,,,-1.1691141,44.66144
3 étoiles,Résidence Les Rives de Saint-Brice,Avenue de la Libération,,33740,+33 5 57 26 99 31,www.residence-nemea.com,ARES,,,,-1.1183309,44.757248
3 étoiles,Ténéo Apparthotel Bordeaux-Bègles,256 avenue du Maréchal Leclerc,,33130,+33 5 56 12 30 30,www.teneo.fr/concept/2/2/17/teneo-apparthotel-bordeaux-begles.html,BEGLES,,Qualité Tourisme,,-0.540459,44.813255
2 étoiles,Aparthotel Adagio Access Bordeaux Rodesse,1 bis rue Jean-Renaud Dandicolle,,33000,+33 5 56 56 18 00,www.adagio-city.com/fr/hotel-8385-adagio-access-bordeaux-rodesse-ex-citea/index.shtml,BORDEAUX,Adagio,,,-0.589845,44.83121
3 étoiles,Apart'hotel Citadines Centre Mériadeck,25 rue Jean Fleuret,,33000,+33 5 57 01 62 70,www.citadines.com/france/bordeaux/centre-meriadeck.html,BORDEAUX,,,,-0.584752,44.8365
3 étoiles,Appart¿hôtel Victoria Garden Bordeaux,127 cours de la Somme,,33800,+33 5 56 33 48 48,www.victoriagarden.com,BORDEAUX,,,,-0.5726515,44.82581
3 étoiles,City Résidence Bordeaux Centre,14 bis place Paul Avisseau,,33000,+33 5 57 85 47 50,www.city-residences.eu,BORDEAUX,,,,-0.567156,44.855595
3 étoiles,All Suites Appart Hôtel Bordeaux Lac,Rue du Professeur Georges Jeanneney,,33300,+33 5 35 31 01 01,www.allsuites-apparthotel.com/Nos-residences/appart-hotel-bordeaux-Lac,BORDEAUX,,,,-0.555995,44.88699
3 étoiles,Appart'City Bordeaux Centre,36 rue du Général de Larminat,,33000,+33 5 56 10 10 50,www.appartcity.com/appart-hotel-bordeaux-centre/accueil-residence.htm?res=37,BORDEAUX,Appart'City,,,-0.5935479,44.833393
3 étoiles,Residhotel Galerie Tatry,174 cours du Médoc,,33300,+33 5 56 07 71 80,www.residhotel.com/galerie-tatry.html,BORDEAUX,,,,-0.5722227,44.862846
4 étoiles,Adagio City Aparthotel Bordeaux Gambetta,40 rue Edmond Michelet,,33000,+33 5 57 30 47 47;+33 1 55 26 32 00,www.adagio-city.com/fr/hotel-6643-adagio-bordeaux-gambetta/index.shtml,BORDEAUX,Adagio,,Handicap auditif;Handicap mental;Handicap moteur,-0.5821535,44.840023
2 étoiles,Résidence Maeva Les Grands Pins,La Baynasse,,33121,+33 8 91 70 13 06;+33 5 57 70 15 15,www.maeva.com,CARCANS-MAUBUISSON,Maeva,Famille Plus,,-1.1508607,45.073914
2 étoiles,Centre naturiste Euronat,Lieu-dit Dépée,,33590,+33 5 56 09 33 33;+33 5 56 73 24 51,www.euronat.fr,GRAYAN-ET-L'HOPITAL,,,,-1.1344242,45.416046
3 étoiles,Odalys Vacances-Résidence Les Greens du Bassin,Golf de Gujan-Mestras,Route des Lacs,33470,+33 5 56 22 72 01;+33 8 25 56 25 62 (0,15/min),www.odalys-vacances.com/location-vacances-Gujan-Mestras.html,GUJAN-MESTRAS,Odalys Vacances,,,-1.090736,44.6035
3 étoiles,Odalys Vacances-Résidence du Port,Place du Port,,33990,+33 5 56 09 17 51,www.odalys-vacances.com/location-vacances-Hourtin.html,HOURTIN,Odalys Vacances,Famille Plus;Accueil Vélo,,-1.0846424,45.182278
3 étoiles,All Suites Appart Hôtel La Teste de Buch,1246 avenue Gustave Eiffel,,33260,+33 5 56 22 05 00,www.allsuites-apparthotel.com/Nos-residences/All-suites-appart-hotel-La-Teste-de-Buch,LA TESTE-DE-BUCH,,,,-1.1181807,44.6099
4 étoiles,Quality Suites & Spa Arcachon,960 avenue de l'Europe,,33260,+33 5 57 15 22 22,www.qualityarcachon-spa.fr,LA TESTE-DE-BUCH,,,,-1.1153697,44.616257
3 étoiles,Les Rives du Lac,22 avenue de la plage,,33680,+33 5 56 26 50 33,www.mmv.fr,LACANAU,,,,-1.1293996,45.00358
3 étoiles,Résidence Maeva Bleu Marine,Rue Pasteur,,33680,+33 8 91 701 305;+33 5 56 03 12 67,www.maeva.com,LACANAU OCEAN,Maeva,,,-1.1995536,44.99665
3 étoiles,Village Club Pierre & Vacances,Domaine du Golf,Route du Baganais,33680,+33 5 57 17 05 05,www.villages-clubs-pierreetvacances.com,LACANAU OCEAN,Pierre et Vacances,Famille Plus,,-1.1750864,44.997154
3 étoiles,Appart'Vacances Lacanau,Marina de Talaris,Avenue de l'Océan,33680,+33 5 57 70 12 90,www.appartcity.com/apparthotel-lacanau/_R_12_3_/accueil-residence.htm,LACANAU VILLE,Appart'City,,,-1.0897815,44.99571
3 étoiles,Madame Vacances - Résidence Les Rives Marines,Rue du Port,,33470,+33 4 79 65 07 65,www.madamevacances.com/le-teich-bassin-d-arcachon-residence-les-rives-marines.html,LE TEICH,Madame Vacances,,,-1.0191535,44.6395
3 étoiles,Madame Vacances - Le Domaine du Phare,Chemin de Grayan,21 rue Ausone,33123,+33 4 79 65 07 65,www.madamevacances.com/location-vacances-france/cote-aquitaine/le-verdon-sur-mer.html,LE VERDON-SUR-MER,Madame Vacances,,,-1.0770202,45.543243
3 étoiles,Odalys Vacances - Résidence Les Vertmarines,Rue du Capitaine Henri de Bournazel,,33123,+33 5 56 09 38 51,www.odalys-vacances.com/location-vacances-Le-Verdon-sur-Mer.html,LE VERDON-SUR-MER,Odalys Vacances,,,-1.066855,45.547173
