CATEGORIE,NOM_DU_SITE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LONGITUDE,LATITUDE
Domaine du Conservatoire de l'Espace Littoral;ZNIEFF,Sites des Quinconces, Saint-Brice et Le Coulin,près du Port Ostréicole,,33510,ANDERNOS-LES-BAINS,+33 5 56 82 02 95;+33 5 56 82 46 16,www.quinconces.org,-1.1168289,44.74417
Forêts,Forêt dunaire de Camicas,,,33120,ARCACHON,+33 5 57 52 97 97,www.arcachon.com,-1.1747217,44.65116
Non classé,Banc de sable de Pereire,,,33120,ARCACHON,+33 5 57 52 97 97,www.arcachon.com,-1.1939477,44.65919
Sites classés ou inscrits,Parc des Abatilles,,,33120,ARCACHON,+33 5 57 52 97 97,www.arcachon.com,-1.1902141,44.651558
Sites classés ou inscrits,Source Sainte Anne des Abatilles,157 boulevard de la Côte d'Argent,,33120,ARCACHON,+33 5 57 52 97 97,www.arcachon.com,-1.1895641,44.648773
Domaine du Conservatoire de l'Espace Littoral,Domaine de Saint-Brice,,,33740,ARES,+33 5 56 60 18 07;+33 5 56 82 02 95,www.conservatoire-du-littoral.fr,-1.1258625,44.75219
Reserve naturelle,Réserve naturelle des Prés salés d'Arès et de Lège-Cap Ferret,,,33740,ARES,+33 5 56 03 94 49;+33 5 56 60 18 07,www.ares-tourisme.com/index2.html,-1.1506032,44.766846
Domaine du Conservatoire de l'Espace Littoral;Parc Naturel Régional;Natura 2000;Forêts;Lacs, étangs, plans d'eau, marais;ZNIEFF,Domaines de Certes - Graveyron,Avenue de Certes,,33980,AUDENGE,+33 5 56 82 71 79;+33 5 56 91 33 81;+33 5 56 26 95 97,www.gironde.fr;www.conservatoire-du-littoral.fr,-1.0225868,44.69044
Forêts;Reserve naturelle,Sentier botanique de Monco,,,33124,AUROS,+33 5 56 65 47 69,www.pays-auros-tourisme.com,-0.146575,44.49585
Lacs, étangs, plans d'eau, marais;ZNIEFF,Lac de la Prade,,,33430,BAZAS,+33 5 56 25 25 84,www.tourisme-bazadais.com ,-0.17017,44.442688
Forêts;Parc Naturel Régional,Forêt des Landes de Gascogne,Maison du Parc,33, route de Bayonne,33830,BELIN-BELIET,+33 5 57 71 99 99,www.parc-landes-de-gascogne.fr;www.ecotourisme-landes-de-gascogne.fr,-0.791675,44.49364
Parc Naturel Régional,Parc Naturel Régional des Landes de Gascogne,Maison du Parc,33, route de Bayonne,33830,BELIN-BELIET,+33 5 57 71 99 99,www.parc-landes-de-gascogne.fr,-0.792936,44.482132
Sites classés ou inscrits;Parc Naturel Régional,Les vallées de la Leyre,,,33830,BELIN-BELIET,+33 5 57 71 99 99,www.ecotourisme-landes-de-gascogne.fr,-0.853776,44.49588
Forêts,Forêt à chênes de Bellebat,,,33760,BELLEBAT,+33 5 56 23 96 33;+33 5 56 23 63 69,www.targon-tourisme.com,-0.586586,45.08703
Domaine du Conservatoire de l'Espace Littoral;Parc Naturel Régional;ZNIEFF;Natura 2000,Ile de Malprat,,,33380,BIGANOS,+33 6 71 63 01 14,www.tourisme-coeurdubassin.com,-1.0169219,44.652046
Lacs, étangs, plans d'eau, marais,Delta de la Leyre,,,33380,BIGANOS,+33 5 57 70 67 56 ,www.tourisme-coeurdubassin.com ,-0.9982109,44.643253
Forêts;Lacs, étangs, plans d'eau, marais,Domaine Départemental de Blasimon,,,33540,BLASIMON,+33 5 56 71 59 62,www.gironde.fr/jcms/c_5113/le-domaine-de-blasimon ,-0.096397,44.701534
Domaine du Conservatoire de l'Espace Littoral,L'Estuaire de la Gironde et ses îles,,,33390,BLAYE,+33 5 57 42 12 09;+33 5 57 68 31 76,www.estuaire-gironde.net,-0.6663465,45.12517
Domaine du Conservatoire de l'Espace Littoral,L'Ile Nouvelle,,,33390,BLAYE,+33 5 57 42 12 09,www.cg33.fr/cg33/jcms/c_23830/visitez-lile-nouvelle,-0.6866455,45.14427
Domaine du Conservatoire de l'Espace Littoral,L'Estuaire de la Gironde et ses îles,,,33710,BOURG,+33 5 57 68 31 76,www.bourg-en-gironde.fr,-0.5599594,45.038475
Sites classés ou inscrits,La Route de la Corniche,Le Pain de Sucre,,33710,BOURG,+33 5 57 68 31 76,www.bourg-en-gironde.fr,-0.582447,45.04163
Lacs, étangs, plans d'eau, marais,Marais de Braud-et-Saint-Louis,,,33820,BRAUD-ET-SAINT-LOUIS,+33 5 57 32 88 80 ,www.terresdoiseaux.fr/,-0.6420993,45.245224
Reserve naturelle;Lacs, étangs, plans d'eau, marais,Terres d'Oiseaux,2 les Nouvelles Possessions,,33820,BRAUD-ET-SAINT-LOUIS,+33 5 57 32 88 80,www.terresdoiseaux.fr,-0.6990265,45.28434
Reserve naturelle,Réserve naturelle des Marais de Bruges,Le Baron,,33520,BRUGES,+33 5 56 57 09 89;+33 5 56 91 33 65,www.sepanso.org/reserves/bruges_p.php,-0.5920027,44.895775
Forêts,Parc des Floralies,,,33650,CABANAC-ET-VILLAGRAINS,+33 5 56 68 72 13,www.otmontesquieu.com,-0.5472564,44.60333
Natura 2000,Bocage humide des bords de Garonne,,,33140,CADAUJAC,+33 5 56 91 33 81;+33 5 56 72 27 98;+33 5 56 78 47 72,www.otmontesquieu.com,-0.4736888,44.711773
Lacs, étangs, plans d'eau, marais,Lac de Carcans-Hourtin,,,33121,CARCANS,+33 5 56 03 21 01,www.medococean.com,-1.1254119,45.074005
Sites classés ou inscrits;Patrimoine mondial (UNESCO),Canal de Garonne,,,33210,CASTETS-EN-DORTHE,+33 5 56 63 68 00,www.sauternais-graves-langon.com,-0.153546,44.56365
Non classé,Embouchure du Dropt,,,33490,CAUDROT,+33 5 56 62 81 23,www.valleedudropt.com,-0.1378333,44.578922
Lacs, étangs, plans d'eau, marais,Canal des Landes,,,33260,CAZAUX,+33 5 56 22 91 75;+33 5 56 54 63 14,wwww.tourisme-latestedebuch.fr,-1.1549376,44.538948
Lacs, étangs, plans d'eau, marais,Lac de Cazaux,,,33260,CAZAUX,+33 5 56 22 91 75;+33 5 56 54 63 14,www.tourisme-latestedebuch.fr,-1.1690998,44.52564
Lacs, étangs, plans d'eau, marais,Lac de Laubesc,Laubesc,,33760,CESSAC,+33 5 56 23 97 78,www.targon-tourisme.com ,-0.181961,44.74647
Natura 2000,L'Isle et la Dronne,,,33230,COUTRAS,+33 5 57 69 36 53,www.pays-de-coutras.com,-0.118324,45.056057
Non classé,Carrières de Frontenac,Piquepoche,,33760,FRONTENAC,+33 57 34 20 89;+33 5 56 23 63 69,www.targon-tourisme.com,-0.159239,44.72673
