TYPES_DE_PRODUITS,STATUT,AOC,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TELEPHONE,SITE_WEB,MARQUES_ET_LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
Vins,Producteur,Blaye Côtes de Bordeaux;Bordeaux Rosé;Bordeaux Clairet;Crémant de Bordeaux,Château Crusquet Sabourin,49 Le Bourg,,33390,CARS,+33 5 57 42 15 27,www.sabourin-freres.com,Vignobles et Chais en Bordelais,,-0.587792,45.104763
Vins,Producteur,Blaye Côtes de Bordeaux;Bordeaux Rosé;Bordeaux Clairet,Château du Grand Barrail,Bracaille,,33390,CARS,+33 5 57 42 33 04,www.denislafon.com,Vignobles et Chais en Bordelais,,-0.625529,45.13521
Vins,Producteur,Blaye Côtes de Bordeaux;Blaye;Bordeaux Rosé,Château Petit Boyer,La Pistolette,,33390,CARS,+33 5 57 42 19 40,www.petit-boyer.com,Vignobles et Chais en Bordelais,,-0.597639,45.138218
Vins,Producteur,Blaye Côtes de Bordeaux,Château Peybonhomme-Les-Tours,,,33390,CARS,+33 5 57 42 11 95,www.vignobles-hubert.com,Vignobles et Chais en Bordelais,,-0.619715,45.128937
Vins,Producteur,Blaye Côtes de Bordeaux;Bordeaux Rosé,Château Peymelon,Les Petits,,33390,CARS,+33 5 57 42 19 09,http://vignoblesmichelchapard.com,Vignobles et Chais en Bordelais,,-0.619537,45.13497
Vins,Coopérative,Blaye Côtes de Bordeaux;Bordeaux Rosé,Châteaux Solidaires (Cave du Blayais),9 Le Piquet,BP 94,33390,CARS,+33 5 57 42 13 15;+33 5 57 42 97 94,www.chateaux-solidaires.com,Vignobles et Chais en Bordelais,,-0.631558,45.129612
Vins,Producteur,Blaye Côtes de Bordeaux;Blaye,Château Chasserat,21 rue du Moulin de Chasserat,,33390,CARTELEGUE,+33 5 57 64 63 14,www.chateau-chasserat.com,Vignobles et Chais en Bordelais,,-0.582435,45.181545
Vins,Producteur,Graves,Château de Castres,Route de Pommarède,,33640,CASTRES-GIRONDE,+33 5 56 67 51 51,www.chateaudecastres.fr,Vignobles et Chais en Bordelais,,-0.46665,44.68326
Vins,Producteur,Graves,Château du Grand Bos,Le Grand Bos,,33640,CASTRES-GIRONDE,+33 5 56 67 39 20,www.vin-grand-bos.com,Vignobles et Chais en Bordelais,,-0.464432,44.677597
Vins,Producteur,Graves,Château Saint Hilaire,SARL Guérin H.G,,33640,CASTRES-GIRONDE,+33 5 56 67 12 12,,Vignobles et Chais en Bordelais,,-0.438963,44.695847
Vins,Producteur,Bordeaux Supérieur;Côtes de Bordeaux Saint-Macaire;Bordeaux Rosé;Bordeaux,Château Gayon,6 Château Gayon,,33490,CAUDROT,+33 5 56 62 81 19,www.chateau-gayon.com;http://chateaugayon.canalblog.com,Vignobles et Chais en Bordelais,,-0.149803,44.584972
Vins,Producteur,Graves;Cérons,Château de Cérons,1 Latour,,33720,CERONS,+33 5 56 27 01 13,www.chateaudecerons.com,Vignobles et Chais en Bordelais,,-0.3335863,44.63514
Vins,Producteur,Graves;Graves Supérieures;Sainte-Croix-du-Mont;Loupiac;Bordeaux;Crémant de Bordeaux,Château de l'Emigré,,,33720,CERONS,+33 5 56 27 25 38,,Vignobles et Chais en Bordelais,,-0.337996,44.631405
Vins,Producteur,Graves;Cérons,Château Huradin,Huradin,,33720,CERONS,+33 5 56 27 09 97,,Vignobles et Chais en Bordelais,,-0.353788,44.630264
Vins,Producteur,Graves;Cérons,Vignobles Uteau,Clos du Barrail,,33720,CERONS,+33 5 56 27 14 38,www.vignoblesuteau.com,Vignobles et Chais en Bordelais,,-0.333548,44.63516
Vins,Producteur,Blaye Côtes de Bordeaux;Côtes de Bourg;Bordeaux Supérieur;Bordeaux;Bordeaux Clairet;Crémant de Bordeaux,Château La Baronnerie,1 La Baronnerie,,33620,CEZAC,+33 5 57 68 12 22,www.labaronnerie.net,Vignobles et Chais en Bordelais,,-0.415906,45.095444
Vins,Producteur,Blaye Côtes de Bordeaux;Bordeaux;Bordeaux Supérieur;Bordeaux Rosé;Crémant de Bordeaux,Château Tayat,Tayat,,33620,CEZAC,+33 5 57 68 62 10,www.chateautayat.com,Vignobles et Chais en Bordelais,,-0.418832,45.090683
Vins,Producteur,Haut-Médoc,Château d'Osmond,36 route des Gûnes,,33250,CISSAC-MEDOC,+33 5 56 59 59 17,www.chateaudosmond.com,Vignobles et Chais en Bordelais,,-0.8389091,45.227028
Vins,Producteur,Haut-Médoc,Château Lamothe-Cissac,Lamothe,,33250,CISSAC-MEDOC,+33 5 56 59 58 16,www.domaines-fabre.fr,Vignobles et Chais en Bordelais,,-0.829983,45.226135
Vins,Producteur,Haut-Médoc,Château Puy Castéra,8 route de castéra,,33250,CISSAC-MEDOC,+33 5 56 59 58 80,www.puycastera.com,Vignobles et Chais en Bordelais,,-0.8016157,45.227543
