CATEGORIE,RAISON_SOCIALE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,CHAINES,MARQUES_ET_LABELS,TOURISME_ET_HANDICAP,LONGITUDE,LATITUDE
3 étoiles,Village Club Les Dunes,Domaine de Bombannes,,33121,CARCANS-MAUBUISSON,+33 5 56 03 95 00,www.vacances-pour-tous.org,Vacances pour Tous,Loisirs de France;Famille Plus,,-1.1472988,45.105453
Non classé,VTF les Oyats-Sylvadoures,,,33121,CARCANS-MAUBUISSON,+33 5 56 03 43 87,www.vtf-vacances.com/village-vacances-familles-lieu-gironde-aquitaine-carcans---les-oyats,303.html,,Loisirs de France,,-1.1538648,45.081158
Non classé,Club Belambra Les Cavales,Route de Bombannes,,33121,CARCANS-MAUBUISSON,+33 5 56 03 34 43;+33 825 808 808,www.belambra.fr/Cote_atlantique-Carcans_Cavales-Les_Cavales/Ete,Belambra Clubs,,,-1.1505603,45.088974
Non classé,Club Belambra Les Sentes,Route de Bombannes,,33121,CARCANS-MAUBUISSON,+33 8 25 80 88 08;+33 5 56 03 36 38,www.belambra.fr/Cote_atlantique-Carcans_Sentes-Les_Sentes/Ete,Belambra Clubs,Famille Plus,,-1.1488437,45.079216
Non classé,VTF les Bruyères,,,33121,CARCANS-MAUBUISSON,+33 8 25 81 31 23;+33 5 56 03 31 16,www.vtf-vacances.com,,Loisirs de France;Famille Plus;Eco-label Européen,Handicap auditif;Handicap mental,-1.151719,45.08534
2 étoiles,Village de vacances Les Brigantins,Au Port,,33990,HOURTIN,+33 5 56 09 10 70;+33 5 56 52 90 47,www.vacances-pour-tous.org,Vacances pour Tous;Vacances Loisirs Activ',Loisirs de France;Famille Plus,,-1.0815525,45.185802
3 étoiles,Azureva Lacanau,Allée du Vieux Port,,33680,LACANAU,+33 5 56 03 51 68,www.azureva-vacances.com,,Famille Plus,,-1.0908614,44.976124
Non classé,Résidence de vacances La Forestière,60 route du Lion,,33680,LACANAU-OCEAN,+33 5 56 03 20 50;+33 8 25 81 31 23,www.vtf-vacances.com,VTF L'esprit Vacances,Loisirs de France;Famille Plus,,-1.1980998,44.99255
Non classé,Village de vacances Le Roumingue,60, avenue de la Libération,B.P. 19,33138,LANTON,+33 5 56 82 97 48,www.roumingue.fr,,,,-1.0453641,44.706173
Non classé,VVF Villages Claouey,Avenue Edouard Branly,Claouey,33950,LEGE-CAP FERRET,+33 5 56 60 72 26,www.vvfvillages.fr/villages-vacances/vacances-lege-cap-ferret-vvf-villages.html,VVF Village,Loisirs de France,,-1.1905145,44.751945
Non classé,VVF Villages Les Châteaux,2 boulevard de l'Ospédaletti,,33780,SOULAC-SUR-MER,+33 56 09 81 35;+33 0 825 003 211,www.vvfvillages.fr,VVF Village,Loisirs de France,,-1.1333084,45.505566
3 étoiles,Naturissimo CHM de Montalivet,46 avenue de l'Europe,,33930,VENDAYS-MONTALIVET,+33 5 56 73 73 73,www.chm-montalivet.com,,,,-1.1447429,45.37217
