Annee,Region,id_departement,Departement,Cultures,Surfaces certifiées bio,Surfaces C1,Surfaces C2,Surfaces C3
2008,AQUITAINE,24,DORDOGNE,Autres,"426,23","64,72","36,53",0
2008,AQUITAINE,24,DORDOGNE,Céréales,"748,9","62,52","106,51",0
2008,AQUITAINE,24,DORDOGNE,Cultures fourragères,"1656,36","213,5","174,06",0
2008,AQUITAINE,24,DORDOGNE,Fruits,"364,1","34,67","32,71","0,4"
2008,AQUITAINE,24,DORDOGNE,Légumes frais,"39,65","2,33","2,07",0
2008,AQUITAINE,24,DORDOGNE,Légumes secs,"7,21",0,0,0
2008,AQUITAINE,24,DORDOGNE,Oléagineux,"254,96","33,88","6,28",0
2008,AQUITAINE,24,DORDOGNE,PPAM,"7,1","0,35",0,0
2008,AQUITAINE,24,DORDOGNE,Protéagineux,"30,29","11,78","4,11",0
2008,AQUITAINE,24,DORDOGNE,STH,"1945,36","155,22","193,89",0
2008,AQUITAINE,24,DORDOGNE,Vigne,"302,62","88,3","183,09",65
2008,AQUITAINE,33,GIRONDE,Autres,"412,33","54,11","31,11","14,83"
2008,AQUITAINE,33,GIRONDE,Céréales,"306,56","3,31","5,9",0
2008,AQUITAINE,33,GIRONDE,Cultures fourragères,"102,04","0,62","43,49",0
2008,AQUITAINE,33,GIRONDE,Fruits,"182,31","51,96","29,7","18,61"
2008,AQUITAINE,33,GIRONDE,Légumes frais,"61,86","1,35","1,34",0
2008,AQUITAINE,33,GIRONDE,Légumes secs,s,s,s,s
2008,AQUITAINE,33,GIRONDE,Oléagineux,"167,21",0,"4,27",0
2008,AQUITAINE,33,GIRONDE,PPAM,"2,18",0,0,0
2008,AQUITAINE,33,GIRONDE,Protéagineux,"39,81",0,0,0
2008,AQUITAINE,33,GIRONDE,STH,"1075,5","271,38","8,24",0
2008,AQUITAINE,33,GIRONDE,Vigne,1718,"582,9","334,44","146,17"
2008,AQUITAINE,40,LANDES,Autres,"478,87","45,14","17,21",0
2008,AQUITAINE,40,LANDES,Céréales,"850,66","36,46",85,0
