Annee;Region;id_departement;Departement;Cultures;Surfaces certifiées bio;Surfaces C1;Surfaces C2;Surfaces C3
2008;ALSACE;67;BAS-RHIN;Autres;192,44;16,61;15,95;5,03
2008;ALSACE;67;BAS-RHIN;Céréales;899,16;111,21;60,79;0
2008;ALSACE;67;BAS-RHIN;Cultures fourragères;1509,34;88,18;28,73;0
2008;ALSACE;67;BAS-RHIN;Fruits;49,83;4,43;2,7;0,95
2008;ALSACE;67;BAS-RHIN;Légumes frais;92,55;3,16;2,71;0
2008;ALSACE;67;BAS-RHIN;Oléagineux;48,65;6,09;2,46;0
2008;ALSACE;67;BAS-RHIN;PPAM;1,25;0,69;0,32;0
2008;ALSACE;67;BAS-RHIN;Protéagineux;17,68;1,93;5,01;0
2008;ALSACE;67;BAS-RHIN;STH;3792,42;146,65;65,82;0
2008;ALSACE;67;BAS-RHIN;Vigne;189,23;79,31;91,47;28,9
2008;ALSACE;68;HAUT-RHIN;Autres;110,06;14,85;2,43;2,99
2008;ALSACE;68;HAUT-RHIN;Céréales;278,91;25,77;19,42;0
2008;ALSACE;68;HAUT-RHIN;Cultures fourragères;104,18;3,21;31,86;0
2008;ALSACE;68;HAUT-RHIN;Fruits;53,54;0,4;0,99;0,73
2008;ALSACE;68;HAUT-RHIN;Légumes frais;78,12;3,31;2,53;0
2008;ALSACE;68;HAUT-RHIN;Légumes secs;s;s;s;s
2008;ALSACE;68;HAUT-RHIN;Oléagineux;62,2;0;0;0
2008;ALSACE;68;HAUT-RHIN;PPAM;2,1;0;0;0
2008;ALSACE;68;HAUT-RHIN;Protéagineux;11,69;0;1,27;0
2008;ALSACE;68;HAUT-RHIN;STH;2790,81;14,38;2,93;0
2008;ALSACE;68;HAUT-RHIN;Vigne;590,67;161,1;70,18;49,93
2008;AQUITAINE;24;DORDOGNE;Autres;426,23;64,72;36,53;0
2008;AQUITAINE;24;DORDOGNE;Céréales;748,9;62,52;106,51;0
2008;AQUITAINE;24;DORDOGNE;Cultures fourragères;1656,36;213,5;174,06;0
2008;AQUITAINE;24;DORDOGNE;Fruits;364,1;34,67;32,71;0,4
2008;AQUITAINE;24;DORDOGNE;Légumes frais;39,65;2,33;2,07;0
2008;AQUITAINE;24;DORDOGNE;Légumes secs;7,21;0;0;0
2008;AQUITAINE;24;DORDOGNE;Oléagineux;254,96;33,88;6,28;0
2008;AQUITAINE;24;DORDOGNE;PPAM;7,1;0,35;0;0
2008;AQUITAINE;24;DORDOGNE;Protéagineux;30,29;11,78;4,11;0
2008;AQUITAINE;24;DORDOGNE;STH;1945,36;155,22;193,89;0
2008;AQUITAINE;24;DORDOGNE;Vigne;302,62;88,3;183,09;65
2008;AQUITAINE;33;GIRONDE;Autres;412,33;54,11;31,11;14,83
